Region,Year,Sample_size,Accuracy
zhongnan,2002_2004,35.00,0.9583333333333334
zhongnan,2002_2004,40.00,0.9583333333333334
zhongnan,2002_2004,45.00,0.9607843137254902
zhongnan,2002_2004,5.00,0.928921568627451
zhongnan,2002_2004,50.00,0.9607843137254902
zhongnan,2002_2004,55.00,0.9632352941176471
zhongnan,2002_2004,60.00,0.9632352941176471
zhongnan,2002_2004,65.00,0.9632352941176471
zhongnan,2002_2004,70.00,0.9656862745098039
zhongnan,2002_2004,75.00,0.9607843137254902
zhongnan,2002_2004,80.00,0.9632352941176471
zhongnan,2002_2004,85.00,0.9607843137254902
zhongnan,2002_2004,90.00,0.9656862745098039
zhongnan,2002_2004,95.00,0.9632352941176471
zhongnan,2005_2007,0.10,0.8378995433789954
zhongnan,2005_2007,0.40,0.8881278538812786
zhongnan,2005_2007,0.70,0.908675799086758
zhongnan,2005_2007,1.00,0.9155251141552512
zhongnan,2005_2007,1.50,0.9155251141552512
zhongnan,2005_2007,10.00,0.9246575342465754
zhongnan,2005_2007,15.00,0.9292237442922374
zhongnan,2005_2007,2.00,0.9292237442922374
zhongnan,2005_2007,20.00,0.9383561643835616
zhongnan,2005_2007,25.00,0.9360730593607306
zhongnan,2005_2007,30.00,0.9383561643835616
zhongnan,2005_2007,35.00,0.9360730593607306
zhongnan,2005_2007,40.00,0.9360730593607306
zhongnan,2005_2007,45.00,0.9383561643835616
zhongnan,2005_2007,5.00,0.9223744292237442
zhongnan,2005_2007,50.00,0.9360730593607306
zhongnan,2005_2007,55.00,0.9360730593607306
zhongnan,2005_2007,60.00,0.9383561643835616
zhongnan,2005_2007,65.00,0.9337899543378996
zhongnan,2005_2007,70.00,0.9360730593607306
zhongnan,2005_2007,75.00,0.9406392694063926
zhongnan,2005_2007,80.00,0.9406392694063926
zhongnan,2005_2007,85.00,0.9406392694063926
zhongnan,2005_2007,90.00,0.9406392694063926
zhongnan,2005_2007,95.00,0.9429223744292238
zhongnan,2008_2010,0.10,0.883248730964467
zhongnan,2008_2010,0.40,0.9467005076142132
zhongnan,2008_2010,0.70,0.9213197969543148
zhongnan,2008_2010,1.00,0.9416243654822335
zhongnan,2008_2010,1.50,0.934010152284264
zhongnan,2008_2010,10.00,0.9441624365482234
zhongnan,2008_2010,15.00,0.9517766497461929
zhongnan,2008_2010,2.00,0.9365482233502538
zhongnan,2008_2010,20.00,0.9568527918781726
zhongnan,2008_2010,25.00,0.9568527918781726
zhongnan,2008_2010,30.00,0.9593908629441624
zhongnan,2008_2010,35.00,0.9517766497461929
zhongnan,2008_2010,40.00,0.9619289340101523
zhongnan,2008_2010,45.00,0.9593908629441624
zhongnan,2008_2010,5.00,0.9543147208121827
zhongnan,2008_2010,50.00,0.9619289340101523
zhongnan,2008_2010,55.00,0.9568527918781726
zhongnan,2008_2010,60.00,0.9644670050761421
zhongnan,2008_2010,65.00,0.9695431472081218
zhongnan,2008_2010,70.00,0.9619289340101523
zhongnan,2008_2010,75.00,0.9670050761421319
zhongnan,2008_2010,80.00,0.9644670050761421
zhongnan,2008_2010,85.00,0.9670050761421319
zhongnan,2008_2010,90.00,0.9644670050761421
zhongnan,2008_2010,95.00,0.9644670050761421
zhongnan,2011_2013,0.10,0.8474025974025974
zhongnan,2011_2013,0.40,0.8701298701298701
zhongnan,2011_2013,0.70,0.9123376623376623
zhongnan,2011_2013,1.00,0.9025974025974026
zhongnan,2011_2013,1.50,0.9155844155844156
zhongnan,2011_2013,10.00,0.922077922077922
zhongnan,2011_2013,15.00,0.9285714285714286
zhongnan,2011_2013,2.00,0.9123376623376623
zhongnan,2011_2013,20.00,0.9253246753246753
zhongnan,2011_2013,25.00,0.948051948051948
zhongnan,2011_2013,30.00,0.935064935064935
zhongnan,2011_2013,35.00,0.9448051948051948
zhongnan,2011_2013,40.00,0.9383116883116883
zhongnan,2011_2013,45.00,0.9448051948051948
zhongnan,2011_2013,5.00,0.9188311688311688
zhongnan,2011_2013,50.00,0.948051948051948
zhongnan,2011_2013,55.00,0.9545454545454546
zhongnan,2011_2013,60.00,0.9512987012987013
zhongnan,2011_2013,65.00,0.9512987012987013
zhongnan,2011_2013,70.00,0.9512987012987013
zhongnan,2011_2013,75.00,0.9545454545454546
zhongnan,2011_2013,80.00,0.9577922077922078
zhongnan,2011_2013,85.00,0.9545454545454546
zhongnan,2011_2013,90.00,0.9577922077922078
zhongnan,2011_2013,95.00,0.9545454545454546
zhongnan,2014_2016,0.10,0.8478260869565217
zhongnan,2014_2016,0.40,0.875
zhongnan,2014_2016,0.70,0.9184782608695652
zhongnan,2014_2016,1.00,0.9483695652173914
zhongnan,2014_2016,1.50,0.9619565217391305
zhongnan,2014_2016,10.00,0.9456521739130435
zhongnan,2014_2016,15.00,0.9483695652173914
zhongnan,2014_2016,2.00,0.9456521739130435
zhongnan,2014_2016,20.00,0.9538043478260869
zhongnan,2014_2016,25.00,0.967391304347826
zhongnan,2014_2016,30.00,0.9592391304347826
zhongnan,2014_2016,35.00,0.9592391304347826
zhongnan,2014_2016,40.00,0.9646739130434783
zhongnan,2014_2016,45.00,0.967391304347826
zhongnan,2014_2016,5.00,0.9483695652173914
zhongnan,2014_2016,50.00,0.9646739130434783
zhongnan,2014_2016,55.00,0.9619565217391305
zhongnan,2014_2016,60.00,0.9619565217391305
zhongnan,2014_2016,65.00,0.9565217391304348
zhongnan,2014_2016,70.00,0.9592391304347826
zhongnan,2014_2016,75.00,0.967391304347826
zhongnan,2014_2016,80.00,0.9592391304347826
zhongnan,2014_2016,85.00,0.9565217391304348
zhongnan,2014_2016,90.00,0.9619565217391305
zhongnan,2014_2016,95.00,0.967391304347826
zhongnan,2017_2019,0.10,0.8716475095785441
zhongnan,2017_2019,0.40,0.9042145593869731
zhongnan,2017_2019,0.70,0.9329501915708812
zhongnan,2017_2019,1.00,0.9310344827586207
zhongnan,2017_2019,1.50,0.9367816091954023
zhongnan,2017_2019,10.00,0.9501915708812261
zhongnan,2017_2019,15.00,0.9578544061302682
zhongnan,2017_2019,2.00,0.9444444444444444
zhongnan,2017_2019,20.00,0.9616858237547893
zhongnan,2017_2019,25.00,0.9655172413793104
zhongnan,2017_2019,30.00,0.9655172413793104
zhongnan,2017_2019,35.00,0.9674329501915708
zhongnan,2017_2019,40.00,0.9712643678160919
zhongnan,2017_2019,45.00,0.9636015325670498
zhongnan,2017_2019,5.00,0.9482758620689655
zhongnan,2017_2019,50.00,0.9693486590038314
zhongnan,2017_2019,55.00,0.9636015325670498
zhongnan,2017_2019,60.00,0.9616858237547893
zhongnan,2017_2019,65.00,0.9636015325670498
zhongnan,2017_2019,70.00,0.9636015325670498
zhongnan,2017_2019,75.00,0.9636015325670498
zhongnan,2017_2019,80.00,0.9674329501915708
zhongnan,2017_2019,85.00,0.9655172413793104
zhongnan,2017_2019,90.00,0.9712643678160919
zhongnan,2017_2019,95.00,0.9655172413793104
