Region,Year,Sample_size,Accuracy
dongbei,1990_1992,0.10,0.8475177304964538
dongbei,1990_1992,0.40,0.8723404255319149
dongbei,1990_1992,0.70,0.8528368794326241
dongbei,1990_1992,1.00,0.9024822695035462
dongbei,1990_1992,1.50,0.9024822695035462
dongbei,1990_1992,10.00,0.9627659574468085
dongbei,1990_1992,15.00,0.9645390070921985
dongbei,1990_1992,2.00,0.9361702127659575
dongbei,1990_1992,20.00,0.9663120567375887
dongbei,1990_1992,25.00,0.9609929078014184
dongbei,1990_1992,30.00,0.9645390070921985
dongbei,1990_1992,35.00,0.9680851063829787
dongbei,1990_1992,40.00,0.9645390070921985
dongbei,1990_1992,45.00,0.9716312056737588
dongbei,1990_1992,5.00,0.9468085106382979
dongbei,1990_1992,50.00,0.9663120567375887
dongbei,1990_1992,55.00,0.9680851063829787
dongbei,1990_1992,60.00,0.9698581560283688
dongbei,1990_1992,65.00,0.9716312056737588
dongbei,1990_1992,70.00,0.9698581560283688
dongbei,1990_1992,75.00,0.9716312056737588
dongbei,1990_1992,80.00,0.973404255319149
dongbei,1990_1992,85.00,0.973404255319149
dongbei,1990_1992,90.00,0.973404255319149
dongbei,1990_1992,95.00,0.9716312056737588
dongbei,1993_1995,0.10,0.8634751773049646
dongbei,1993_1995,0.40,0.9414893617021277
dongbei,1993_1995,0.70,0.950354609929078
dongbei,1993_1995,1.00,0.9308510638297872
dongbei,1993_1995,1.50,0.9308510638297872
dongbei,1993_1995,10.00,0.9574468085106383
dongbei,1993_1995,15.00,0.9556737588652482
dongbei,1993_1995,2.00,0.9414893617021277
dongbei,1993_1995,20.00,0.9663120567375887
dongbei,1993_1995,25.00,0.9680851063829787
dongbei,1993_1995,30.00,0.9645390070921985
dongbei,1993_1995,35.00,0.9698581560283688
dongbei,1993_1995,40.00,0.973404255319149
dongbei,1993_1995,45.00,0.9716312056737588
dongbei,1993_1995,5.00,0.9468085106382979
dongbei,1993_1995,50.00,0.9698581560283688
dongbei,1993_1995,55.00,0.973404255319149
dongbei,1993_1995,60.00,0.9698581560283688
dongbei,1993_1995,65.00,0.9716312056737588
dongbei,1993_1995,70.00,0.973404255319149
