Region,Year,Sample_size,Accuracy
xinan,2002_2004,85.00,0.95
xinan,2002_2004,90.00,0.95
xinan,2002_2004,95.00,0.9516666666666667
xinan,2005_2007,0.10,0.53
xinan,2005_2007,0.40,0.88
xinan,2005_2007,0.70,0.9133333333333333
xinan,2005_2007,1.00,0.9616666666666667
xinan,2005_2007,1.50,0.9466666666666667
xinan,2005_2007,10.00,0.9266666666666666
xinan,2005_2007,15.00,0.9316666666666666
xinan,2005_2007,2.00,0.9383333333333334
xinan,2005_2007,20.00,0.93
xinan,2005_2007,25.00,0.935
xinan,2005_2007,30.00,0.9483333333333334
xinan,2005_2007,35.00,0.9533333333333334
xinan,2005_2007,40.00,0.95
xinan,2005_2007,45.00,0.9566666666666667
xinan,2005_2007,5.00,0.9216666666666666
xinan,2005_2007,50.00,0.9516666666666667
xinan,2005_2007,55.00,0.95
xinan,2005_2007,60.00,0.9483333333333334
xinan,2005_2007,65.00,0.9483333333333334
xinan,2005_2007,70.00,0.9516666666666667
xinan,2005_2007,75.00,0.9516666666666667
xinan,2005_2007,80.00,0.9566666666666667
xinan,2005_2007,85.00,0.9533333333333334
xinan,2005_2007,90.00,0.9516666666666667
xinan,2005_2007,95.00,0.9516666666666667
xinan,2008_2010,0.10,0.5448504983388704
xinan,2008_2010,0.40,0.8372093023255814
xinan,2008_2010,0.70,0.8471760797342193
xinan,2008_2010,1.00,0.8571428571428571
xinan,2008_2010,1.50,0.9368770764119602
xinan,2008_2010,10.00,0.9368770764119602
xinan,2008_2010,15.00,0.946843853820598
xinan,2008_2010,2.00,0.9368770764119602
xinan,2008_2010,20.00,0.9435215946843853
xinan,2008_2010,25.00,0.9518272425249169
xinan,2008_2010,30.00,0.9518272425249169
xinan,2008_2010,35.00,0.9518272425249169
xinan,2008_2010,40.00,0.9518272425249169
xinan,2008_2010,45.00,0.9485049833887044
xinan,2008_2010,5.00,0.946843853820598
xinan,2008_2010,50.00,0.9534883720930233
xinan,2008_2010,55.00,0.9534883720930233
xinan,2008_2010,60.00,0.9551495016611296
xinan,2008_2010,65.00,0.9534883720930233
xinan,2008_2010,70.00,0.9551495016611296
xinan,2008_2010,75.00,0.9551495016611296
xinan,2008_2010,80.00,0.9534883720930233
xinan,2008_2010,85.00,0.9584717607973422
xinan,2008_2010,90.00,0.9534883720930233
xinan,2008_2010,95.00,0.9551495016611296
xinan,2011_2013,0.10,0.5132890365448505
xinan,2011_2013,0.40,0.8205980066445183
xinan,2011_2013,0.70,0.9169435215946844
xinan,2011_2013,1.00,0.9019933554817275
xinan,2011_2013,1.50,0.9335548172757475
xinan,2011_2013,10.00,0.9235880398671097
xinan,2011_2013,15.00,0.9302325581395349
xinan,2011_2013,2.00,0.9302325581395349
xinan,2011_2013,20.00,0.9401993355481728
xinan,2011_2013,25.00,0.9418604651162791
xinan,2011_2013,30.00,0.9385382059800664
xinan,2011_2013,35.00,0.9451827242524917
xinan,2011_2013,40.00,0.9501661129568106
xinan,2011_2013,45.00,0.9568106312292359
