Year,In_Bands,Tree,Accuracy
1990_1992,Spectrum_Normalize,1,0.8878326996197718
1990_1992,Spectrum_Normalize,2,0.908745247148289
1990_1992,Spectrum_Normalize,3,0.9220532319391636
1990_1992,Spectrum_Normalize,4,0.9296577946768061
1990_1992,Spectrum_Normalize,5,0.9372623574144486
1990_1992,Spectrum_Normalize,6,0.9144486692015209
1990_1992,Spectrum_Normalize,7,0.9486692015209125
1990_1992,Spectrum_Normalize,8,0.9467680608365019
1990_1992,Spectrum_Normalize,9,0.935361216730038
1990_1992,Spectrum_Normalize,10,0.9372623574144486
1990_1992,Spectrum_Normalize,11,0.9334600760456274
1990_1992,Spectrum_Normalize,12,0.9391634980988594
1990_1992,Spectrum_Normalize,13,0.9315589353612167
1990_1992,Spectrum_Normalize,14,0.94106463878327
1990_1992,Spectrum_Normalize,15,0.9391634980988594
1990_1992,Spectrum_Normalize,16,0.9372623574144486
1990_1992,Spectrum_Normalize,17,0.9505703422053232
1990_1992,Spectrum_Normalize,18,0.9372623574144486
1990_1992,Spectrum_Normalize,19,0.9372623574144486
1990_1992,Spectrum_Normalize,20,0.9372623574144486
1990_1992,Spectrum_Normalize,21,0.9524714828897338
1990_1992,Spectrum_Normalize,22,0.9429657794676806
1990_1992,Spectrum_Normalize,23,0.94106463878327
1990_1992,Spectrum_Normalize,24,0.9334600760456274
1990_1992,Spectrum_Normalize,25,0.9467680608365019
1990_1992,Spectrum_Normalize,26,0.9486692015209125
1990_1992,Spectrum_Normalize,27,0.9448669201520913
1990_1992,Spectrum_Normalize,28,0.94106463878327
1990_1992,Spectrum_Normalize,29,0.9448669201520913
1990_1992,Spectrum_Normalize,30,0.9448669201520913
1990_1992,Spectrum_Normalize,31,0.9429657794676806
1990_1992,Spectrum_Normalize,32,0.94106463878327
1990_1992,Spectrum_Normalize,33,0.9448669201520913
1990_1992,Spectrum_Normalize,34,0.9486692015209125
1990_1992,Spectrum_Normalize,35,0.9486692015209125
1990_1992,Spectrum_Normalize,36,0.9486692015209125
1990_1992,Spectrum_Normalize,37,0.9505703422053232
1990_1992,Spectrum_Normalize,38,0.94106463878327
1990_1992,Spectrum_Normalize,39,0.9486692015209125
1990_1992,Spectrum_Normalize,40,0.9448669201520913
1990_1992,Spectrum_Normalize,41,0.9429657794676806
1990_1992,Spectrum_Normalize,42,0.9486692015209125
1990_1992,Spectrum_Normalize,43,0.9524714828897338
1990_1992,Spectrum_Normalize,44,0.9467680608365019
1990_1992,Spectrum_Normalize,45,0.9429657794676806
1990_1992,Spectrum_Normalize,46,0.9448669201520913
1990_1992,Spectrum_Normalize,47,0.9448669201520913
1990_1992,Spectrum_Normalize,48,0.9505703422053232
1990_1992,Spectrum_Normalize,49,0.9467680608365019
