system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000ec5,37,36,36,47,44,199,37,1,22,7,106,-65,18,-9,-37,21,5,0,-9,190,5,-60,-55,19,-29,8,-1,6,237,-57,3,-9,-39,16,10,-1,1.5211469,304.83334,0.06416778,100788.0,0.0065890006,165.25,283.74,3.7439973,"{""type"":""Point"",""coordinates"":[121.71440056117005,39.73710959194291]}"
1_00000000000000000f2c,38,34,34,42,31,181,27,1,17,5,110,-59,-2,-1,-26,11,0,0,-9,289,-22,-30,-4,41,0,12,-2,5,79,-60,-5,-1,-22,6,5,0,3.7603908,307.75,0.06750112,101300.0,0.006501334,147.58333,283.38998,2.5953307,"{""type"":""Point"",""coordinates"":[120.34213450747738,40.32703528401065]}"
1_00000000000000000f2d,37,32,32,32,27,182,25,1,20,4,-58,-56,7,1,-29,16,0,0,-15,779,-15,-63,-27,-2,-20,29,-6,3,10,-48,-3,2,-29,8,9,0,1.5273136,302.83334,0.06166778,101076.664,0.006497667,161.5,282.84,3.6179972,"{""type"":""Point"",""coordinates"":[122.13696727249987,40.17665656008423]}"
1_00000000000000000f2f,35,29,28,30,26,180,22,1,81,4,21,-74,0,-6,-22,-8,0,0,-13,304,-50,-89,-25,23,19,-14,-3,3,14,-63,-5,-1,-16,-6,7,0,1.8543341,299.33334,0.09583445,100314.664,0.0063753338,149.91667,281.50333,2.4133306,"{""type"":""Point"",""coordinates"":[123.28070439720345,40.27960382610513]}"
1_00000000000000000f31,35,30,29,41,34,199,25,1,53,10,171,-100,9,13,-57,31,14,0,-13,389,3,-94,-44,38,29,-5,-3,8,40,-84,5,-3,-40,10,29,0,0.92740995,301.83334,0.11416778,100562.664,0.006635334,151.33333,282.14667,2.0919974,"{""type"":""Point"",""coordinates"":[124.27486989527131,40.264242222976016]}"
1_00000000000000000f92,34,31,31,38,34,191,29,1,356,6,207,-53,5,5,-30,20,-6,-1,-8,435,-43,-57,-10,31,-14,0,-3,6,145,-56,0,6,-27,13,1,0,2.222181,292.41666,0.069167785,97104.664,0.0056800004,162.83333,281.66666,1.7153305,"{""type"":""Point"",""coordinates"":[119.79317457678765,40.8199398553575]}"
1_00000000000000000f94,36,31,30,34,25,180,21,1,4,5,-110,-70,0,0,-46,27,-3,1,-18,505,-29,-72,-50,28,-34,12,-4,5,-9,-72,-2,-3,-48,24,-1,0,0.92740995,304.08334,0.076667786,101548.0,0.006664334,164.5,283.14334,3.6999974,"{""type"":""Point"",""coordinates"":[122.37465965415379,40.682496983587136]}"
1_00000000000000000f95,42,37,38,36,30,177,22,1,59,6,-144,-77,-1,-6,-35,19,7,1,-10,755,-70,-106,-68,15,-10,25,-6,5,5,-65,-1,-4,-27,11,4,0,1.5353407,300.0,0.08416778,99754.0,0.0061600003,160.5,282.44,2.9999974,"{""type"":""Point"",""coordinates"":[122.81986522153194,40.73316128975639]}"
1_00000000000000000f98,34,31,30,40,36,194,27,1,71,6,558,-38,-18,5,-37,0,21,-3,-12,195,-9,-91,-56,45,0,-39,-2,5,628,-44,-26,11,-33,2,22,-4,1.2188158,302.33334,0.116667785,100738.0,0.0065990007,148.16667,282.02664,1.7633306,"{""type"":""Point"",""coordinates"":[124.06331230489162,40.45962665383485]}"
1_00000000000000000ff8,36,36,37,47,43,200,37,1,520,6,-116,-45,14,3,-24,21,-8,1,-9,-473,8,-40,0,-7,-14,34,2,5,-149,-48,11,-1,-20,18,-2,1,1.8543341,281.91666,0.07000112,93491.336,0.0052030003,169.91667,280.16333,1.3419973,"{""type"":""Point"",""coordinates"":[119.22049668759465,40.96250177513722]}"
1_00000000000000000ff9,33,28,28,33,28,186,24,1,299,5,26,-52,2,2,-22,11,4,0,-12,65,-2,-52,6,39,-3,-8,-1,5,-38,-60,0,5,-20,10,8,0,1.5410967,290.16666,0.065001115,96460.664,0.005519667,166.0,281.46664,1.6153306,"{""type"":""Point"",""coordinates"":[119.74223826545413,41.12177640566525]}"
1_00000000000000000ffa,37,38,39,50,48,201,40,1,109,6,64,-31,4,-1,-18,10,6,0,-9,0,14,-57,15,41,0,20,0,5,155,-36,0,1,-17,8,4,0,0.92740995,296.08334,0.06833445,99251.336,0.006000667,161.0,282.14667,2.1706638,"{""type"":""Point"",""coordinates"":[120.61782734830877,40.92154047286026]}"
1_00000000000000000ffb,36,30,29,32,25,182,21,1,43,4,-251,-67,-3,9,-22,17,8,2,-14,-36,-19,-52,4,41,-12,20,0,3,-254,-63,-8,6,-21,8,15,2,2.6297524,298.16666,0.072501116,100006.664,0.0060606673,164.25,282.74,2.8293304,"{""type"":""Point"",""coordinates"":[121.10803862261933,41.13012830193834]}"
1_00000000000000000ffc,36,31,29,29,20,178,16,1,27,1,-100,-41,-11,12,-15,8,3,0,-15,-215,-65,-71,19,24,-6,19,0,1,-230,-44,-12,10,-13,3,3,1,2.4608595,298.16666,0.072501116,100006.664,0.0060606673,164.25,282.74,2.8293304,"{""type"":""Point"",""coordinates"":[121.13983647223147,41.120157751982845]}"
1_00000000000000000ffe,37,32,30,31,26,182,22,1,7,3,-152,-67,8,-3,-24,21,-2,1,-15,703,-22,-51,-45,24,-24,22,-6,3,-109,-66,1,0,-26,21,1,1,2.2222998,303.0,0.075834446,101346.0,0.0066356673,164.41667,283.02667,3.7053306,"{""type"":""Point"",""coordinates"":[122.13130867326304,40.8317966050586]}"
1_00000000000000000fff,38,30,30,31,25,180,20,1,32,4,-134,-58,2,-9,-29,5,3,1,-12,100,-48,-95,-72,6,-20,-8,-1,3,38,-55,-1,-5,-29,1,4,0,0.92740995,303.41666,0.083334446,100973.336,0.006304334,162.16667,283.21332,3.1699972,"{""type"":""Point"",""coordinates"":[122.74548741596044,40.846351110897054]}"
1_00000000000000001001,35,30,28,32,22,183,19,1,240,6,81,-80,8,18,-33,14,12,0,-18,328,-83,-120,-39,12,-13,-18,-3,5,105,-80,0,21,-34,8,19,0,3.7081428,291.66666,0.09833445,97264.0,0.005787334,152.0,280.36,2.0413306,"{""type"":""Point"",""coordinates"":[123.73668761182778,41.02987879205479]}"
1_00000000000000001003,37,32,31,33,27,185,21,1,267,6,251,-38,17,9,-19,12,8,-1,-14,-92,-52,-85,-23,10,-26,-21,0,5,67,-38,7,6,-14,2,15,0,1.8543341,291.75,0.12416778,96802.664,0.0059133335,151.33333,280.22998,1.1093305,"{""type"":""Point"",""coordinates"":[124.77370061191822,40.71995789153713]}"
1_00000000000000001004,33,33,30,37,31,194,25,1,175,11,243,-87,46,4,-21,23,-5,-1,-16,-255,-106,-176,-67,7,-70,-19,0,8,3,-75,15,3,-18,16,0,0,1.5382916,293.75,0.10416778,97886.0,0.0059426674,153.91667,280.78665,1.7633306,"{""type"":""Point"",""coordinates"":[125.33506130263757,40.933397222561375]}"
1_00000000000000001068,39,40,41,51,43,201,38,1,67,5,115,-35,-9,5,-33,14,5,0,-13,-73,7,-71,19,47,-16,39,0,4,102,-39,-10,5,-31,12,10,0,2.643872,296.66666,0.06750111,100622.664,0.005864334,166.58333,282.71332,2.652664,"{""type"":""Point"",""coordinates"":[121.2414370897342,41.52870950870166]}"
1_00000000000000001069,39,33,31,30,25,178,22,1,8,3,-305,-42,5,2,-20,5,7,2,-12,258,-34,-59,-25,14,-23,26,-2,2,-274,-39,3,2,-17,5,5,2,1.8543341,301.16666,0.07583445,101310.0,0.0064563337,162.41667,282.75333,3.464664,"{""type"":""Point"",""coordinates"":[122.0507282581262,41.186990758571895]}"
1_0000000000000000106a,41,35,35,36,29,177,25,1,13,4,-32,-63,0,-8,-23,23,-6,0,-11,514,-45,-81,-30,19,-18,17,-4,3,-81,-49,-6,-2,-18,16,0,0,3.7047918,300.58334,0.07750112,101286.0,0.0062713334,160.25,282.59,3.3346639,"{""type"":""Point"",""coordinates"":[122.42640306277796,41.385340491631275]}"
1_0000000000000000106b,37,31,30,32,26,179,22,1,38,4,49,-65,8,-13,-9,-7,2,0,-16,561,7,-65,-16,26,-2,-38,-5,4,49,-62,2,-1,-11,-6,1,0,0.0,302.33334,0.084167786,100473.336,0.005980334,161.5,283.24664,2.9253306,"{""type"":""Point"",""coordinates"":[122.97590254469517,41.11449915274603]}"
1_0000000000000000106c,35,30,29,34,26,177,22,1,66,7,178,-85,-7,7,-39,18,24,0,-22,-224,-62,-102,-43,23,-19,-8,0,6,176,-82,-4,13,-29,10,20,0,2.2256432,293.58334,0.08500111,97662.664,0.005661667,157.66667,281.21,2.6319973,"{""type"":""Point"",""coordinates"":[123.42595961401945,41.15707910870539]}"
1_0000000000000000106d,38,31,30,31,24,181,21,1,161,3,128,-53,15,0,-7,4,5,0,-17,172,-48,-73,-24,10,3,-8,-2,2,77,-47,5,7,-8,0,10,0,4.447606,292.58334,0.09000111,98003.336,0.0057216673,154.83333,280.81665,2.2779973,"{""type"":""Point"",""coordinates"":[123.7719903148679,41.30233432552138]}"
1_0000000000000000106e,37,34,34,41,29,196,23,1,283,7,359,-66,12,15,-27,16,10,-2,-17,544,-86,-142,-51,8,20,4,-4,5,103,-64,2,7,-23,12,9,0,2.226696,288.33334,0.10333445,97334.664,0.005667667,151.58333,279.64,1.4906639,"{""type"":""Point"",""coordinates"":[124.35409920278893,41.258140174980674]}"
1_0000000000000000106f,39,37,37,42,28,181,24,1,292,8,167,-81,3,41,-43,56,9,0,-19,648,-97,-134,-84,-6,20,37,-6,6,23,-68,-1,13,-31,30,13,0,0.92740995,289.66666,0.105001114,97919.336,0.005725667,151.41667,279.88333,1.4339972,"{""type"":""Point"",""coordinates"":[124.47375472045711,41.249516273543314]}"
1_00000000000000001070,40,33,34,35,28,181,24,1,243,6,-99,-44,11,12,-14,3,13,1,-13,-24,-33,-122,-20,-14,-20,2,0,5,23,-47,0,8,-20,9,6,0,0.92740995,292.75,0.09166778,98274.664,0.0058573335,155.08333,280.69666,2.0399973,"{""type"":""Point"",""coordinates"":[125.36039345572217,41.26245212569936]}"
