system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000519,38,32,28,43,30,200,20,1,229,11,62,-110,4,-30,-44,-10,22,0,-13,219,44,23,1,22,-1,-26,-1,7,-139,-113,17,-44,-31,-8,20,1,5.547545,380.0,0.11750112,98483.336,0.011242,120.25,291.65668,1.3573306,"{""type"":""Point"",""coordinates"":[106.264275357936,29.996497641359923]}"
1_0000000000000000051a,35,31,28,37,30,196,27,1,249,8,38,-77,-7,-28,-9,-1,0,0,-12,-457,18,-4,-25,-35,-15,16,1,6,87,-66,-10,-22,-9,-3,3,0,7.690812,374.91666,0.109167784,97790.664,0.010815667,122.166664,290.97665,1.2273306,"{""type"":""Point"",""coordinates"":[106.7717344351213,30.381607903840774]}"
1_0000000000000000051b,35,30,27,48,33,202,26,1,394,11,58,-103,13,-23,-17,10,11,0,-17,-1859,76,31,8,-35,37,51,8,8,500,-94,5,-31,-3,-6,12,-2,0.92740995,372.58334,0.11833445,96804.0,0.010766667,124.583336,290.63998,0.8359972,"{""type"":""Point"",""coordinates"":[107.22097994805385,30.137445366558293]}"
1_0000000000000000051c,33,30,29,40,35,200,31,1,430,11,-1151,-69,11,-19,-11,0,43,6,-12,-1236,37,-3,-19,-63,16,58,5,9,-1247,-73,-39,-33,-73,11,89,7,5.4406977,368.83334,0.11916778,96226.0,0.010589668,129.41667,290.32,1.0873306,"{""type"":""Point"",""coordinates"":[107.53790609632647,30.418796806626517]}"
1_00000000000000000566,37,32,30,42,35,200,29,1,282,9,741,-89,25,-17,-14,13,-30,-3,-16,351,-4,0,-29,4,-62,-13,-2,6,529,-90,31,-24,-4,0,-14,-2,3.5109766,377.25,0.10333445,97907.336,0.011008333,123.583336,291.46332,0.7579972,"{""type"":""Point"",""coordinates"":[105.6870179719611,30.29779464044021]}"
1_00000000000000000567,37,31,27,37,29,198,22,1,288,7,-91,-75,-5,-18,-16,-15,11,0,-12,-31,32,10,-14,7,-4,-27,0,5,228,-86,6,-32,-15,-25,13,0,5.6300297,376.33334,0.10333445,97909.336,0.010903667,120.166664,291.11,1.1913306,"{""type"":""Point"",""coordinates"":[106.28745376521181,30.349805595127595]}"
1_0000000000000000056b,36,35,36,48,42,202,36,1,312,13,448,-82,-22,-4,-18,22,-20,-1,-11,-1054,28,9,-16,-35,23,53,4,9,476,-82,-16,-22,-21,2,-18,-1,4.284841,364.83334,0.12916778,95350.664,0.010584667,133.41667,289.81,1.1559972,"{""type"":""Point"",""coordinates"":[107.95643286210186,30.810105219571653]}"
1_000000000000000005c1,35,31,28,45,35,202,25,1,296,11,310,-103,13,-2,2,11,4,-1,-18,-1839,60,66,-1,27,41,45,8,7,568,-97,24,-31,-6,1,2,-2,9.346163,352.33334,0.11833445,92327.336,0.009368334,129.16667,287.73666,1.6479973,"{""type"":""Point"",""coordinates"":[107.4306468795869,31.1445467167822]}"
1_000000000000000005c2,32,27,25,36,27,197,21,1,459,9,205,-84,17,-3,5,4,-7,0,-17,-842,22,24,2,-21,36,43,3,7,527,-87,27,-15,10,-1,-8,-2,1.0828954,364.91666,0.13166778,95720.0,0.010347334,131.75,289.9,1.5259973,"{""type"":""Point"",""coordinates"":[107.86103039506337,31.086333152529463]}"
1_000000000000000005c3,34,31,28,37,29,199,25,1,189,8,48,-43,22,-21,-8,11,2,0,-14,-343,41,70,0,-14,54,27,1,5,-76,-61,17,-18,-18,12,8,0,2.1653464,369.16666,0.13083445,96888.664,0.010387667,130.66667,290.55,1.1599972,"{""type"":""Point"",""coordinates"":[108.21891784561295,31.100887658367913]}"
