system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000db6,28,22,20,39,36,187,21,0,519,19,1159,-150,0,-21,-80,-23,10,-4,-16,665,126,-36,-8,-15,17,-64,-4,16,1633,-119,-21,-35,-100,-37,-7,-7,8.576874,333.33334,0.076667786,94946.0,0.0081566665,159.16667,287.09665,1.0079972,"{""type"":""Point"",""coordinates"":[110.33849356305475,33.11697655856135]}"
00000000000000000c50,32,26,21,51,27,194,14,0,-2,18,-1131,-30,-18,-3,-116,-40,47,7,-21,562,64,-16,25,70,10,-28,-4,15,-1442,-24,-17,-1,-104,-34,46,8,0.92740995,399.5,0.2641678,101384.0,0.013657001,167.66667,296.75,2.570664,"{""type"":""Point"",""coordinates"":[113.52473084349134,22.645495649813306]}"
00000000000000001311,38,35,28,19,5,190,3,0,0,-6,840,7,-18,-2,0,-4,-1,-4,-27,1265,-25,-31,0,56,-14,1,-8,-5,1123,6,-24,-3,11,-9,3,-6,0.0,395.41666,0.2641678,100356.0,0.013311334,169.5,296.25,2.7633307,"{""type"":""Point"",""coordinates"":[113.54925144018425,22.57919773535067]}"
00000000000000000a3e,29,24,18,40,24,194,11,0,140,15,1321,-48,-18,17,-53,2,3,-5,-20,95,40,-33,7,31,-37,8,-1,12,1152,-38,13,26,-51,0,0,-4,23.777966,395.41666,0.2641678,100356.0,0.013311334,169.5,296.25,2.7633307,"{""type"":""Point"",""coordinates"":[113.4727154297029,22.471938518611083]}"
00000000000000001038,28,21,16,46,20,193,8,0,748,18,205,-190,72,-11,-51,-13,22,0,-14,-709,-35,-15,-8,-5,-77,14,2,13,371,-95,25,9,-45,-11,46,0,18.162254,366.16666,0.13916779,91567.336,0.0106706675,136.5,290.26666,0.48599717,"{""type"":""Point"",""coordinates"":[106.75340752979163,24.973119645105733]}"
00000000000000001313,35,30,27,41,29,217,19,0,43,25,149,-124,28,20,35,45,-70,0,-16,-447,57,36,2,1,-17,31,1,17,89,-109,26,28,22,23,-50,0,2.831121,365.83334,0.13916779,100516.664,0.010317666,141.66667,290.66333,1.8906639,"{""type"":""Point"",""coordinates"":[111.74876007592492,29.993536798260433]}"
0000000000000000101b,27,23,17,58,38,195,17,0,266,28,380,-195,41,0,-7,-82,20,0,-17,-544,125,23,-13,15,0,-14,1,22,602,-168,36,7,-29,-71,18,-1,16.74332,363.5,0.13916779,99492.664,0.009994667,139.5,290.28665,1.8219973,"{""type"":""Point"",""coordinates"":[111.5390931443919,30.10106356106323]}"
0000000000000000093e,27,24,20,61,53,192,25,0,1206,34,-27,-238,78,17,-75,-29,40,2,-15,-264,150,-9,5,59,8,-52,0,24,118,-174,65,-7,-62,-18,21,1,36.981983,324.33334,0.13916779,85376.0,0.0074030003,132.25,283.28998,1.3439972,"{""type"":""Point"",""coordinates"":[109.91215445223372,30.52982842285731]}"
00000000000000000e8e,31,28,29,56,44,211,27,0,23,31,-54,-159,-20,-53,-25,153,-199,1,-15,171,147,-18,5,-77,-8,104,-1,21,-450,-102,-51,-53,-28,131,-155,3,1.0711315,367.08334,0.13916779,101074.0,0.010618667,144.33333,291.03,2.000664,"{""type"":""Point"",""coordinates"":[113.43606607814462,30.02614174516323]}"
00000000000000001338,29,24,20,41,28,194,13,0,76,22,-1037,-91,-23,31,-83,-1,-6,6,-19,-177,39,-8,-1,71,43,1,0,19,-1453,-29,-12,33,-87,3,-32,9,22.61307,395.25,0.20166779,99381.336,0.013669334,173.16667,296.07333,2.1519973,"{""type"":""Point"",""coordinates"":[111.37551102224622,22.095996167896114]}"
