system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000016fa,35,201,198,30,26,23,70,56,34,25,0,0,27,40,2692,-166,5,-6,-83,13,-17,-7,-17,-56,75,19,9,-16,25,10,0,23,1244,-115,7,-12,-103,9,-8,-3,2.9808178,373.25,0.15000111,101344.0,0.0125835,147.0,292.055,2.8639975,"{""type"":""Point"",""coordinates"":[114.9503545003896,30.519050775611134]}"
00000000000000000b42,34,195,193,28,25,20,64,41,18,24,0,0,397,43,2108,-147,93,-14,-121,21,-59,-5,-16,-1140,106,-30,22,38,19,45,3,20,3164,-86,73,6,-75,-26,-20,-9,8.98622,356.25,0.15000111,92185.0,0.010031,130.5,288.15,1.3579972,"{""type"":""Point"",""coordinates"":[110.4285049769196,26.89704338562549]}"
00000000000000000b33,37,198,194,31,26,25,32,25,22,28,0,0,192,21,-1206,-107,10,-30,13,-1,-14,4,-10,484,54,10,-19,2,-25,-4,-1,11,1547,-74,9,-10,-37,-8,3,-4,6.9137917,373.375,0.15000111,97659.0,0.0125065,136.25,291.03998,2.9849973,"{""type"":""Point"",""coordinates"":[111.91827280247166,26.878444475131566]}"
0000000000000000176e,31,193,191,25,22,16,72,42,20,20,0,0,1078,45,2039,-179,13,76,-4,-103,30,-5,-16,-162,42,-40,-47,-32,13,-51,0,18,1333,-71,49,83,46,-126,102,-3,12.100016,341.5,0.15000111,88695.0,0.0092705,132.875,285.65,1.5739973,"{""type"":""Point"",""coordinates"":[110.15146548757006,26.817270067779344]}"
000000000000000013a1,33,197,194,28,23,18,72,45,21,21,0,0,46,47,1003,-247,41,3,-74,0,-5,-1,-20,-212,125,-27,-24,-5,5,10,0,31,483,-186,26,-1,-97,5,3,0,12.511656,372.5,0.15000111,101130.0,0.0128165,147.75,292.025,2.8409972,"{""type"":""Point"",""coordinates"":[115.25542389896108,30.480782770370464]}"
000000000000000010a6,32,196,194,28,26,24,73,59,35,28,0,0,471,44,908,-205,23,3,-72,0,2,-1,-16,-440,165,33,-23,62,-30,-13,0,29,-15,-118,-2,6,-66,-24,15,1,19.087301,346.5,0.15000111,96406.0,0.0103925,154.25,288.28998,2.1139972,"{""type"":""Point"",""coordinates"":[115.52680478907378,30.99632173866461]}"
000000000000000012cd,30,192,190,24,18,12,70,34,16,16,0,0,958,42,-267,34,7,29,-2,-10,41,2,-22,1008,-38,19,-21,12,11,2,-4,17,-1779,135,-27,35,7,-13,61,6,21.306175,365.875,0.15000111,89776.0,0.013079001,200.5,292.055,4.2459974,"{""type"":""Point"",""coordinates"":[108.82851709152848,18.742404365822647]}"
00000000000000000b5a,33,192,190,26,20,13,44,20,8,17,0,0,246,45,2872,-147,-63,38,-109,0,-43,-8,-26,15,-7,-24,-25,63,13,41,-1,27,1415,-38,-20,70,-129,-26,-104,-3,17.525715,379.75,0.15000111,98571.0,0.011828501,155.875,293.20502,2.0059972,"{""type"":""Point"",""coordinates"":[114.37902771881576,25.269025591012404]}"
000000000000000014e1,34,188,187,27,19,14,35,18,8,17,0,0,761,45,-718,-195,40,26,-34,18,-32,3,-26,-2181,33,-36,-26,31,-20,-17,6,20,2244,-50,71,13,26,24,-66,-6,34.99433,348.625,0.15000111,91430.0,0.009296501,132.625,287.215,1.3189971,"{""type"":""Point"",""coordinates"":[111.04376282207195,27.4341465666141]}"
000000000000000017dc,36,187,186,29,21,16,47,27,14,19,0,0,483,46,1172,-93,86,-9,-35,29,-33,-2,-20,-2508,-8,-71,-27,55,-6,-52,7,19,4307,16,113,0,1,41,-37,-13,29.188251,348.625,0.15000111,91430.0,0.009296501,132.625,287.215,1.3189971,"{""type"":""Point"",""coordinates"":[111.06262481952803,27.469716815717444]}"
