system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000000,41,40,42,56,58,200,46,1,10,12,33,-10,-2,12,-26,20,-6,0,-5,-995,86,42,17,35,-17,-6,4,11,-388,-3,-1,0,-20,2,-4,2,0.0,414.33334,0.13250111,101440.0,0.015213334,198.25,299.41333,3.1806638,"{""type"":""Point"",""coordinates"":[108.73230752719932,18.580440897359384]}"
1_00000000000000000001,40,39,40,57,64,202,49,1,147,17,-781,-22,-18,22,-89,21,30,4,-5,936,41,42,-63,0,36,21,-4,13,-422,-4,-3,0,-75,4,22,2,0.97832334,400.16666,0.17416778,96964.664,0.014342334,191.5,297.16333,2.1259973,"{""type"":""Point"",""coordinates"":[109.08211062753901,18.567505045203344]}"
1_00000000000000000006,29,29,27,59,53,197,34,1,223,23,420,-13,-12,8,-112,13,5,0,-11,1136,17,28,-11,-3,24,29,-5,19,760,-22,24,-18,-77,28,-2,-2,8.221943,408.16666,0.20000112,98758.664,0.015386,182.75,297.72998,1.9319972,"{""type"":""Point"",""coordinates"":[109.40604202356657,18.79388022838362]}"
1_00000000000000000007,31,35,34,66,61,199,41,1,643,20,1060,-94,0,-15,-91,59,25,-3,-12,335,64,18,-51,27,8,25,-2,17,1037,-90,15,-42,-61,43,19,-3,5.8609614,394.25,0.2500011,95451.336,0.014221667,175.5,295.40665,1.4146639,"{""type"":""Point"",""coordinates"":[109.66367996423256,18.883352091021017]}"
1_00000000000000000008,34,33,33,53,53,200,38,1,195,17,-7,-94,-75,-15,-81,6,11,0,-12,321,2,-17,-61,15,-7,2,-1,13,-90,-91,-38,-44,-62,19,10,1,3.4753268,405.0,0.2641678,98308.664,0.014986333,169.33333,296.65332,1.4626639,"{""type"":""Point"",""coordinates"":[110.0557954744684,19.062835367523267]}"
1_00000000000000000009,46,46,47,54,52,201,43,1,8,8,531,-24,-9,0,-1,15,4,-1,-6,785,-13,-11,-6,13,20,12,-3,6,513,-22,-8,-2,4,13,8,-1,4.1898284,411.33334,0.12083445,101174.0,0.015378667,194.41667,298.65665,4.317331,"{""type"":""Point"",""coordinates"":[108.64768716650808,19.10083136759968]}"
1_0000000000000000000b,34,32,30,44,44,201,38,1,207,11,-1251,-46,-23,0,-45,0,0,6,-10,613,32,13,-64,29,18,-8,-3,8,-1165,-35,-5,-29,-34,4,-10,5,3.0863392,404.66666,0.20916778,98379.336,0.01482,176.25,297.00665,1.9039972,"{""type"":""Point"",""coordinates"":[109.44943353591766,19.225338387214]}"
1_0000000000000000000d,34,36,37,67,58,200,39,1,133,17,-407,-77,-36,-9,-25,-6,-4,2,-12,256,41,2,-23,45,26,-10,-1,14,-455,-78,-17,-22,-23,-5,-8,2,3.7047918,409.66666,0.23666778,99526.664,0.015026334,167.91667,297.38333,1.6139972,"{""type"":""Point"",""coordinates"":[110.04124096862995,19.43527732391128]}"
1_00000000000000000011,37,36,36,48,50,200,42,1,77,11,-18,-49,-17,21,-18,20,17,0,-8,984,12,55,-38,14,3,-13,-4,8,-575,-41,-2,1,-8,3,10,2,0.9851312,409.83334,0.17083445,100341.336,0.014878,174.25,297.72998,2.1799972,"{""type"":""Point"",""coordinates"":[109.69170541435346,19.71258435932403]}"
1_00000000000000000013,41,38,41,51,51,199,43,1,31,9,109,-37,0,-24,2,-5,11,0,-8,1659,-18,-3,-5,45,21,-1,-7,7,-123,-30,4,-14,1,-2,2,0,1.9683921,418.75,0.19250111,101220.0,0.015895668,161.5,298.34332,2.488664,"{""type"":""Point"",""coordinates"":[110.75432257269279,19.60748334749431]}"
