system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000026a,41,195,192,35,27,23,28,25,21,24,0,1,790,16,-744,-31,-9,-22,2,24,5,3,-14,37,-20,30,-7,16,-16,5,0,6,-891,-62,23,-9,0,-3,13,3,1.3889667,353.91666,0.17416778,87786.0,0.0100443335,124.0,287.61334,2.454664,"{""type"":""Point"",""coordinates"":[107.51230639717863,26.266423937344015]}"
1_0000000000000000026b,40,197,193,34,31,26,34,22,14,30,0,1,948,20,-212,-28,4,-19,20,-7,5,1,-10,738,-2,19,15,-5,-40,3,-2,8,332,-60,9,6,-19,-4,0,0,3.23339,366.83334,0.17833444,91642.0,0.011159001,124.833336,289.69333,2.1733305,"{""type"":""Point"",""coordinates"":[107.79365783724685,26.2006700332099]}"
1_0000000000000000026f,40,193,191,34,26,22,27,25,23,22,0,1,541,22,174,-91,15,-3,-48,-3,-5,0,-10,-505,-1,-28,1,35,-16,14,1,10,-193,-47,-22,-15,-2,12,-10,1,5.2379584,365.91666,0.17166778,94928.0,0.010639667,130.66667,289.75665,1.7413306,"{""type"":""Point"",""coordinates"":[109.12819543692636,26.235700731085775]}"
1_00000000000000000286,38,190,188,32,25,22,33,27,22,23,0,1,1247,20,1481,-66,0,-10,-56,-12,11,-4,-12,-48,6,-2,25,8,-22,-18,0,8,-20,-50,8,-3,0,-10,-15,0,3.7047918,360.91666,0.15500112,87076.664,0.010905667,133.25,289.19,2.1499972,"{""type"":""Point"",""coordinates"":[105.7422662340133,26.307657244785226]}"
1_00000000000000000287,38,196,194,32,25,23,30,26,22,25,0,1,1244,19,559,-62,10,12,-42,22,2,-1,-12,-1316,4,-13,42,17,-27,-31,4,7,-338,-55,7,0,-8,4,-12,1,4.24032,360.91666,0.15500112,87076.664,0.010905667,133.25,289.19,2.1499972,"{""type"":""Point"",""coordinates"":[105.74765282808586,26.311969195503913]}"
1_00000000000000000289,39,192,189,33,24,19,28,26,20,22,0,1,1105,22,-516,-107,43,9,-7,-4,5,2,-11,-1769,48,25,17,27,17,4,5,10,888,-83,39,-15,-9,-34,26,-2,2.07064,362.58334,0.15000111,88700.664,0.011054001,125.333336,289.00333,2.3546638,"{""type"":""Point"",""coordinates"":[106.67282711465482,26.432431810462756]}"
1_00000000000000000293,32,193,191,28,24,24,35,38,32,24,0,1,2110,17,-648,-36,-31,13,-15,-1,29,2,-11,370,118,-4,24,4,-51,-19,-1,10,958,28,-19,8,-25,-33,2,-2,2.2698426,326.5,0.10583445,77894.664,0.010001,184.5,286.83,2.4939973,"{""type"":""Point"",""coordinates"":[99.13883699317795,26.513551776827043]}"
1_000000000000000002a1,33,190,189,29,25,26,31,33,31,24,0,1,2090,10,21,-78,10,-4,-20,15,-18,0,-10,-172,93,18,-35,-9,-7,-10,0,7,-128,-39,13,-7,-25,1,0,0,2.7802167,328.0,0.101667784,79429.336,0.008950333,176.33333,286.81,3.4073308,"{""type"":""Point"",""coordinates"":[103.62565581877205,26.559636586214403]}"
1_000000000000000002a5,35,196,192,30,24,23,31,33,30,23,0,1,1787,18,-344,-68,0,5,-35,3,-2,1,-10,-77,23,-1,16,7,-21,-28,0,8,-460,-60,13,-16,-21,-9,-16,2,3.8463933,340.66666,0.14750111,80674.664,0.009764667,141.83333,286.44666,1.7773306,"{""type"":""Point"",""coordinates"":[104.88985109933343,26.57445863811606]}"
1_000000000000000002a9,42,187,185,38,34,37,41,57,36,35,0,1,1294,18,-646,-75,3,4,-35,11,-4,2,-6,861,67,-32,30,24,-26,19,-3,7,514,-49,5,-10,-10,-5,9,-1,7.4442654,360.25,0.15000111,87581.336,0.010935,126.916664,288.69333,2.188664,"{""type"":""Point"",""coordinates"":[106.3135930155871,26.47366511790397]}"
1_000000000000000002ab,40,189,188,34,26,24,34,29,22,25,0,1,1090,19,-233,-83,-2,7,-5,-20,34,1,-11,-239,6,-16,0,-2,11,7,0,8,78,-81,17,-12,25,-24,22,0,12.904596,357.0,0.14500111,87383.336,0.0105800005,124.166664,288.02,2.4513307,"{""type"":""Point"",""coordinates"":[106.71217422235041,26.59305308950892]}"
1_000000000000000002ad,47,193,190,41,32,26,38,24,17,29,1,1,937,29,604,-146,20,-17,-20,-10,-12,-1,-8,-711,42,15,13,9,-24,-9,2,11,-50,-70,26,-1,-23,-22,-12,0,0.0,365.5,0.16833444,91422.664,0.0106793335,122.0,289.48666,2.3546638,"{""type"":""Point"",""coordinates"":[107.58964950495066,26.497111071242987]}"
1_000000000000000002b9,34,195,193,30,28,28,46,45,36,27,0,1,2155,20,555,-50,23,-31,-33,29,-27,-1,-10,857,42,-35,30,21,-58,41,-3,14,406,0,-15,22,-21,10,7,0,4.244187,322.0,0.13250111,79265.336,0.0071480004,205.25,289.15332,2.378664,"{""type"":""Point"",""coordinates"":[100.76496858804543,26.75313035822658]}"
1_000000000000000002bf,34,194,192,30,26,26,33,45,40,27,0,1,1678,15,-455,-86,-2,3,-49,27,-9,2,-7,425,78,-4,-26,48,-43,31,-1,10,191,-17,-11,-9,-3,-13,-3,0,3.7047918,328.33334,0.13333444,81230.0,0.009030334,202.58333,288.58667,2.5579972,"{""type"":""Point"",""coordinates"":[102.57489541013383,26.63832634250456]}"
1_000000000000000002e5,37,192,191,32,26,25,33,38,35,27,0,1,2219,16,29,-90,16,-10,-27,0,0,0,-6,24,66,-13,-10,28,-16,-13,0,9,-234,-34,-3,-5,-7,-6,2,1,4.2451744,327.16666,0.115834445,78242.0,0.008940667,152.66667,284.87332,2.3479972,"{""type"":""Point"",""coordinates"":[104.2851078144651,26.863894428394175]}"
1_000000000000000002f0,39,197,193,35,31,26,37,23,15,30,0,1,792,24,-1786,-100,1,17,2,32,-2,7,-14,-167,10,18,9,3,14,6,0,9,-938,-51,5,7,-42,23,-30,3,4.245503,359.5,0.14333445,91038.664,0.010301334,122.833336,288.42334,1.7146639,"{""type"":""Point"",""coordinates"":[107.89525845474962,26.900543779952446]}"
1_0000000000000000030f,34,187,186,31,26,24,31,25,19,24,0,1,1556,21,55,-78,0,-4,-39,2,15,0,-13,-390,0,-24,2,10,-4,-48,0,8,222,-57,-1,-4,-8,-14,-15,0,5.881457,352.0,0.12750112,84478.664,0.010200667,129.41667,287.59,1.5886639,"{""type"":""Point"",""coordinates"":[105.19518804396813,27.009421650374435]}"
1_00000000000000000313,36,188,187,31,25,24,30,31,27,27,0,1,1335,23,-282,-88,-14,4,-15,0,-44,1,-13,-890,23,-2,-4,-11,-20,-18,2,8,1018,-60,12,-19,-14,0,-12,-3,2.0797641,350.33334,0.13083445,86077.336,0.009973001,122.833336,286.87,2.3819973,"{""type"":""Point"",""coordinates"":[106.69384731702075,26.934232288411238]}"
1_00000000000000000319,38,194,190,31,24,21,28,24,18,23,0,1,475,20,1289,-82,2,-14,-10,-22,28,-3,-15,-1836,12,-16,4,31,24,-28,5,8,-821,-59,-22,1,-21,3,0,3,8.2891,364.83334,0.14416778,93501.336,0.010588334,123.75,289.32,1.6073306,"{""type"":""Point"",""coordinates"":[108.42238662668169,27.05308070878872]}"
1_00000000000000000324,33,190,189,29,28,27,39,41,36,27,0,1,2259,14,-425,-125,27,21,-41,72,-36,2,-8,1107,78,46,-29,30,26,-69,-4,9,-79,-42,-1,8,-28,32,-30,0,9.101386,313.91666,0.09666778,75310.0,0.0086963335,185.66667,284.88998,2.5099971,"{""type"":""Point"",""coordinates"":[99.26496266647466,27.195103077340967]}"
1_00000000000000000342,39,196,192,34,27,31,44,43,33,29,0,1,385,18,-699,-72,-5,-23,0,-34,-37,3,-8,-203,48,31,57,9,64,20,0,9,-249,-59,1,3,-23,7,11,1,5.5188055,369.66666,0.15000111,96372.0,0.011086667,125.666664,290.11,1.6979972,"{""type"":""Point"",""coordinates"":[108.91825650022908,27.239836779109147]}"
1_0000000000000000037a,32,194,192,28,22,21,26,28,23,22,0,1,2540,12,-191,-85,8,9,-38,28,-15,1,-8,317,63,-10,18,54,-57,30,-1,9,6,-33,-20,10,-2,-16,14,0,6.360831,311.08334,0.087501116,76769.336,0.0064943335,202.0,287.08,2.036664,"{""type"":""Point"",""coordinates"":[101.50554055010276,27.422285357811937]}"
1_00000000000000000385,36,191,189,30,25,23,28,27,23,24,0,1,1694,15,-365,-66,19,15,4,5,24,1,-13,805,29,4,-13,22,-10,-46,-3,6,-46,-48,14,-12,-11,-8,6,0,9.421665,339.0,0.12500112,82276.0,0.009288333,129.25,285.34,1.5053306,"{""type"":""Point"",""coordinates"":[104.8723357503955,27.443038014114677]}"
1_00000000000000000389,41,199,195,36,30,29,39,34,31,30,0,1,919,22,335,-77,14,-11,-11,-12,6,0,-12,19,12,-8,5,-6,-17,-23,0,8,-23,-52,9,-8,-12,11,-14,0,1.0451884,363.58334,0.11916778,89813.336,0.010973333,120.583336,288.96,2.1713307,"{""type"":""Point"",""coordinates"":[106.21657635396728,27.46513731893555]}"
1_0000000000000000038f,44,194,190,43,34,30,40,31,27,31,0,1,462,22,-937,-70,19,3,11,-36,34,4,-8,-852,-33,-35,65,62,-17,29,2,9,-1113,-63,-6,37,16,-29,20,4,0.0,365.5,0.14333445,93066.664,0.010485333,121.0,289.36667,1.4959972,"{""type"":""Point"",""coordinates"":[108.22619509853217,27.5238859753147]}"
1_000000000000000003bd,37,199,196,32,25,23,35,44,37,20,0,1,378,20,607,-72,16,-11,6,3,0,-1,-16,-920,24,-5,28,47,0,35,2,6,354,-44,12,21,-11,-10,31,0,2.7959988,354.16666,0.16000111,91474.0,0.009716,121.583336,287.47,1.6553305,"{""type"":""Point"",""coordinates"":[108.84360668949334,27.69582445283452]}"
1_000000000000000003e8,46,188,185,40,34,32,41,32,22,34,1,1,770,21,-519,-82,59,-35,-28,16,-16,2,-13,-655,50,-26,13,-13,-8,-35,1,7,-103,-44,14,-9,-4,16,-13,0,6.2272673,345.5,0.13750112,86561.336,0.009463667,118.666664,285.78,1.2399971,"{""type"":""Point"",""coordinates"":[107.48212274214787,27.77020225840599]}"
1_0000000000000000040b,45,207,203,44,41,41,59,78,81,37,0,1,2282,19,429,-74,-1,-9,-24,19,4,0,-8,1244,55,8,20,29,-145,34,-4,11,227,-19,12,-11,-13,-19,15,0,6.9694896,323.25,0.094167784,78689.336,0.0077066673,200.0,288.76666,2.102664,"{""type"":""Point"",""coordinates"":[101.27862581569501,27.931363088679635]}"
1_0000000000000000040e,39,204,201,36,33,34,49,53,50,32,0,1,1514,20,-368,-86,33,1,-32,31,-22,2,-11,-887,88,-73,14,54,-37,30,2,11,-687,1,-24,-6,19,7,3,2,1.4003974,345.75,0.116667785,84994.664,0.0090706665,192.5,291.86,1.632664,"{""type"":""Point"",""coordinates"":[102.18601274816176,27.912496632122505]}"
1_00000000000000000458,36,193,190,30,25,21,37,23,16,23,0,1,350,21,328,-117,-17,7,0,-3,-7,0,-16,-1419,-55,-34,-39,10,11,-17,4,8,2,-118,28,-35,-30,1,-14,0,2.2983627,383.66666,0.16583444,96184.0,0.012794667,119.416664,291.97333,1.4699973,"{""type"":""Point"",""coordinates"":[105.43692483027755,28.17175322647091]}"
1_000000000000000004a7,43,195,193,37,28,23,37,25,20,26,0,1,534,23,-201,-58,2,30,-31,-3,-15,1,-15,188,34,-14,25,-10,6,2,-1,7,6,-53,9,4,-42,4,-2,0,4.258225,367.16666,0.15000111,93676.664,0.010373,116.833336,289.48666,1.4233305,"{""type"":""Point"",""coordinates"":[108.11327728255577,28.264725483435253]}"
1_000000000000000004df,34,206,203,32,31,32,54,48,40,29,0,1,1773,23,-1072,-90,29,1,-44,24,-8,4,-13,-357,73,-12,-20,38,-27,15,0,15,-916,-25,-42,14,-18,-10,36,3,3.1622176,334.16666,0.12583445,80006.0,0.009108,181.41667,288.60333,2.1866639,"{""type"":""Point"",""coordinates"":[102.1690369504513,28.47573906348641]}"
1_000000000000000004e7,37,194,191,32,26,22,42,26,16,24,0,1,341,29,-480,-113,-29,27,-15,12,-16,2,-15,946,59,5,-4,35,19,-12,-3,11,-1624,-93,-14,-4,-12,35,0,6,3.1598406,361.33334,0.13250111,91272.664,0.009677334,120.416664,288.78998,1.1913306,"{""type"":""Point"",""coordinates"":[104.56511260601519,28.396242209905584]}"
1_0000000000000000052b,42,204,202,40,40,42,51,48,42,43,0,1,1787,13,-516,-71,40,-5,-39,33,-22,2,-11,-809,47,-27,-28,40,-22,34,2,9,-782,-29,-1,-3,-15,16,10,3,2.1334717,344.0,0.12833445,82236.0,0.009980667,179.16667,289.94333,2.3139973,"{""type"":""Point"",""coordinates"":[102.1674182967689,28.552814625195236]}"
1_00000000000000000539,37,197,195,31,25,22,28,25,21,22,0,1,783,23,-311,-74,11,30,-74,12,-13,1,-14,11,-1,11,-15,31,-46,-8,0,9,1185,-71,-10,-20,-9,10,-13,-3,9.032553,374.75,0.15750112,94326.0,0.012468333,116.583336,290.3,1.5446639,"{""type"":""Point"",""coordinates"":[106.67202001736413,28.60725578995675]}"
1_0000000000000000053c,43,193,192,37,29,26,35,32,26,26,0,1,664,24,341,-93,5,2,-10,56,-7,0,-12,-1535,33,13,2,59,-2,11,5,8,-420,-52,8,-3,7,7,-15,1,8.354229,369.5,0.16000111,93416.664,0.0111896675,114.583336,289.54,1.3539972,"{""type"":""Point"",""coordinates"":[107.43981033225171,28.555240376168303]}"
1_00000000000000000581,40,205,201,35,29,27,49,53,52,29,0,1,274,23,-211,-88,14,11,-38,0,4,1,-13,-854,34,14,-2,17,17,-20,2,8,-1248,-69,9,-4,-10,29,-13,4,2.1343668,383.41666,0.13166778,98108.0,0.012366001,120.75,292.03,1.5259972,"{""type"":""Point"",""coordinates"":[105.06529443028126,28.73256990686174]}"
1_00000000000000000586,37,203,198,32,26,23,33,30,27,25,0,1,362,24,248,-58,-17,11,-39,-22,19,0,-15,420,30,-12,14,0,0,-24,-1,9,531,-55,1,3,-24,2,-10,-1,3.67145,375.83334,0.15916778,94666.0,0.012459001,116.75,290.47998,1.5453305,"{""type"":""Point"",""coordinates"":[106.65585131694434,28.766258415320525]}"
1_0000000000000000058e,45,181,180,38,30,26,32,28,23,28,0,1,326,23,-84,-159,-12,24,-4,-25,63,1,-14,627,0,-11,12,1,-13,-38,-2,10,580,-60,-13,6,-20,-24,-3,-1,5.6098566,360.25,0.17500111,94508.0,0.0102406675,117.833336,288.36667,1.8133305,"{""type"":""Point"",""coordinates"":[108.9611084613527,28.75682295749143]}"
1_0000000000000000059f,43,203,201,44,49,56,66,75,68,51,3,1,4028,9,-8,-46,10,-1,-19,21,-9,0,-2,7,75,-5,-7,-5,-7,20,0,8,113,-19,9,-3,-21,16,-5,0,3.4932902,258.08334,0.03083445,62581.332,0.0047243335,250.83333,279.59332,3.2539973,"{""type"":""Point"",""coordinates"":[89.6011542724362,28.91933043628321]}"
1_000000000000000005cf,37,198,193,32,26,23,31,26,20,24,0,1,271,19,340,-53,-3,8,-49,-6,23,0,-15,174,31,14,-8,14,18,-12,-1,6,-270,-48,16,-15,-12,16,-6,1,1.4073269,382.08334,0.124167785,97843.336,0.012102,121.416664,291.85666,1.4866638,"{""type"":""Point"",""coordinates"":[104.97851586468015,28.841715323346932]}"
1_000000000000000005d2,43,189,187,36,29,25,33,24,18,27,0,1,250,21,28,-87,-6,-1,-35,58,-11,0,-17,-1874,19,16,-11,25,59,-22,6,8,-105,-95,41,-27,-5,17,-26,0,7.4254274,387.5,0.15666778,98406.0,0.013501667,118.916664,292.36667,1.7559972,"{""type"":""Point"",""coordinates"":[105.83416384762377,28.808298820052414]}"
1_00000000000000000623,42,205,199,38,27,24,45,49,40,26,0,1,248,28,-249,-117,-7,-3,-40,-5,9,1,-12,96,-8,45,-17,-28,16,9,0,11,403,-93,36,-16,-35,4,-7,0,7.1924243,386.91666,0.16083445,97804.0,0.012961667,117.5,292.27,1.5253305,"{""type"":""Point"",""coordinates"":[106.6509998149982,29.033594900777768]}"
1_00000000000000000671,38,203,198,33,28,26,43,41,32,26,0,1,315,25,100,-84,-30,2,-38,-4,16,0,-14,408,41,11,-13,21,9,-63,-1,10,-434,-101,29,-23,-14,-2,-38,1,3.8533056,384.66666,0.15500112,97910.664,0.012714667,119.166664,292.01334,1.6813306,"{""type"":""Point"",""coordinates"":[106.04813827077443,29.203914724615178]}"
