system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000019d,31,26,28,51,56,196,42,0,28,16,1841,-150,8,17,-119,90,-26,-7,-9,-1195,22,-138,-100,101,-112,62,5,12,1091,-106,-31,23,-95,59,11,-4,2.6473908,305.08334,0.076667786,100980.0,0.0057663335,151.91667,283.18668,2.7593307,"{""type"":""Point"",""coordinates"":[123.18368327648257,41.62653772671322]}"
000000000000000000c4,34,27,22,42,17,172,10,0,1078,24,566,-185,35,31,-34,25,34,-1,-27,-530,-53,-44,27,-59,-43,25,0,17,77,-208,-1,43,-57,19,55,0,11.462219,270.91666,0.076667786,92304.0,0.0046090004,145.66667,275.56668,2.3619974,"{""type"":""Point"",""coordinates"":[127.7359884601476,43.425682442454395]}"
00000000000000000187,25,22,15,60,35,191,14,0,832,30,-1438,-266,151,-32,-31,32,43,8,-22,651,5,-112,57,1,-54,-15,-4,21,-1825,-285,96,0,-49,48,42,10,2.6747367,272.25,0.076667786,92820.0,0.005323667,156.33333,276.34,2.9093306,"{""type"":""Point"",""coordinates"":[128.4498771615011,42.37196119071671]}"
000000000000000003de,27,21,17,50,27,189,12,0,229,33,-661,-47,78,14,-57,37,4,4,-28,151,30,-76,12,0,-55,-11,-2,22,558,-68,-2,-25,-125,34,10,-1,4.904071,272.41666,0.076667786,97996.0,0.0048010005,144.33333,276.16,3.1313307,"{""type"":""Point"",""coordinates"":[129.56531683091953,46.64291047521244]}"
0000000000000000074e,35,32,28,58,40,198,22,0,89,15,757,-145,55,-26,-97,67,-22,-2,-14,707,0,-153,-45,38,-91,17,-3,12,441,-105,-2,-8,-81,38,7,-1,1.5530744,300.75,0.076667786,100584.0,0.0057573337,149.66667,281.94666,2.8419971,"{""type"":""Point"",""coordinates"":[123.53618413295958,41.90411676729022]}"
000000000000000006e9,26,21,16,44,33,192,15,0,379,23,302,-197,108,-35,-73,65,15,0,-25,-473,-31,-182,45,-6,-85,-1,1,13,-118,-204,54,-39,-104,37,57,1,1.8543341,257.5,0.076667786,90356.0,0.0040563336,142.5,272.69,3.1679974,"{""type"":""Point"",""coordinates"":[129.08507610656446,45.19734125930214]}"
00000000000000000737,29,24,18,45,37,186,17,0,407,25,1033,-226,123,-16,-97,82,-7,-3,-26,241,-21,-143,57,-9,-139,58,-2,17,353,-243,73,-4,-102,67,13,0,0.0,260.08334,0.076667786,96040.0,0.004064667,143.08333,273.69,2.2593305,"{""type"":""Point"",""coordinates"":[128.60672158195501,48.83039830169823]}"
000000000000000004c1,27,23,19,43,38,187,18,0,380,21,1517,-238,154,-34,-77,86,-48,-5,-29,388,-59,-160,68,-5,-101,-7,-3,13,1353,-247,90,-6,-90,92,-60,-5,3.0976398,267.16666,0.076667786,97138.0,0.0045906673,147.16667,274.99332,1.7859973,"{""type"":""Point"",""coordinates"":[128.1283715164466,47.32068937623516]}"
00000000000000000739,27,23,20,57,42,189,19,0,445,20,666,-186,137,-63,-64,60,-43,-2,-30,785,-90,-173,55,-32,-141,29,-4,12,108,-194,76,-43,-68,49,-15,0,4.273006,260.41666,0.076667786,95708.0,0.0041930005,146.41667,273.78333,2.2013307,"{""type"":""Point"",""coordinates"":[127.59207543274864,48.25772041250522]}"
000000000000000001aa,27,22,20,33,28,178,16,0,416,25,1040,-325,110,24,-59,48,6,-3,-22,-437,32,-131,-2,6,-86,-53,1,17,544,-302,60,25,-63,53,-5,-1,23.22345,282.25,0.076667786,95766.664,0.005138334,149.16667,277.91333,2.0699973,"{""type"":""Point"",""coordinates"":[127.1390575203249,42.935203622080614]}"
00000000000000000189,37,28,25,43,24,170,15,0,349,17,1337,-101,55,-2,-61,32,-22,-5,-25,426,-52,-152,53,-20,-111,-1,-3,13,959,-140,23,0,-60,19,-12,-3,1.6681212,262.41666,0.076667786,96584.664,0.0043253335,144.91667,274.13666,1.9326639,"{""type"":""Point"",""coordinates"":[128.339652642561,48.035657180043614]}"
00000000000000000560,28,25,22,51,52,191,31,0,47,21,1876,-132,65,85,-137,147,-113,-7,-29,-1823,-267,-194,-28,-12,-180,62,7,11,1138,-157,8,65,-129,115,-70,-4,1.3811145,269.5,0.076667786,100782.664,0.004570667,139.0,275.03333,4.206664,"{""type"":""Point"",""coordinates"":[132.65668673644407,47.82302494631005]}"
000000000000000001cb,27,23,20,54,49,195,24,0,313,27,1488,-153,17,58,-120,102,-58,-5,-29,479,-62,-264,-102,45,-117,-64,-3,16,861,-149,-61,41,-113,56,-30,-2,9.861112,268.33334,0.076667786,96355.336,0.0045480006,143.25,275.34668,2.738664,"{""type"":""Point"",""coordinates"":[129.77309756270697,46.93046006574495]}"
0000000000000000063a,25,21,16,57,40,191,16,0,182,27,313,-270,131,-6,-62,88,-3,0,-25,190,17,-163,20,-2,-88,-50,-2,21,-597,-272,75,5,-79,111,-3,4,1.6215814,276.33334,0.076667786,98729.336,0.0049993335,142.58333,276.71,3.6839974,"{""type"":""Point"",""coordinates"":[129.12280456057766,45.8125991044545]}"
000000000000000000ce,33,26,21,39,22,178,16,0,840,24,-498,-310,66,-27,-12,3,68,3,-25,4,16,-150,-10,18,-90,19,-1,19,-545,-288,41,-40,-29,-7,54,3,29.804626,284.58334,0.10333445,94216.664,0.0053313337,152.41667,278.75,1.2486639,"{""type"":""Point"",""coordinates"":[126.06107875885647,41.41714280034446]}"
000000000000000004b1,28,23,20,58,39,192,21,0,132,18,-76,-106,37,15,-103,85,-43,1,-26,532,-148,-179,-46,70,-126,-26,-3,11,-343,-123,-9,11,-109,73,-14,2,3.3023221,281.41666,0.06750111,99496.0,0.004718334,136.66667,278.01666,2.5133307,"{""type"":""Point"",""coordinates"":[130.3805386037126,47.32338267327144]}"
00000000000000000604,25,21,17,68,48,191,21,0,715,28,387,-221,177,-29,-111,69,-12,0,-25,-1509,41,-132,22,5,-156,-36,6,20,-61,-214,103,-4,-116,53,-2,1,11.948873,269.58334,0.06750111,94408.0,0.004643334,147.41667,275.87665,2.4613307,"{""type"":""Point"",""coordinates"":[130.62227539002203,43.57902646858135]}"
00000000000000000038,25,21,21,42,47,190,35,0,351,22,1409,-108,90,41,-101,105,-50,-5,-37,1628,-231,-232,78,-4,-250,38,-8,11,1011,-180,21,43,-106,88,-49,-3,3.1200125,259.33334,0.06750111,97544.0,0.0041090003,151.41667,274.00665,2.718664,"{""type"":""Point"",""coordinates"":[126.26158223772464,49.160527848190085]}"
00000000000000000602,26,22,22,55,39,187,17,0,404,27,1033,-218,116,-28,-52,41,7,-3,-23,-55,-94,-145,73,-31,-106,8,0,19,320,-241,54,-11,-66,42,21,0,5.6672454,254.91667,0.06750111,96170.0,0.0038356672,149.75,273.06332,2.912664,"{""type"":""Point"",""coordinates"":[125.2434312350903,49.77524614211498]}"
000000000000000004a1,26,22,19,39,34,187,19,0,708,19,482,-126,91,13,-52,57,-26,-1,-21,1181,36,-83,10,-49,-117,28,-6,14,806,-187,44,25,-74,64,-36,-2,4.7425833,247.58333,0.06750111,93108.0,0.0035286671,137.08333,270.86334,2.0113306,"{""type"":""Point"",""coordinates"":[124.63706929653956,51.37631312996104]}"
00000000000000000509,25,22,15,83,45,190,16,0,665,29,602,-273,118,21,-127,93,15,-1,-28,-1935,16,-96,37,-14,-134,11,7,20,79,-255,60,38,-117,66,15,0,22.42579,265.91666,0.06750111,92616.0,0.0044340007,147.83333,275.22665,2.7679973,"{""type"":""Point"",""coordinates"":[131.0553522025348,43.53887226359507]}"
0000000000000000075c,28,22,18,45,35,191,16,0,276,21,1893,-274,151,-28,-121,103,-70,-7,-19,-361,44,-194,25,5,-176,-28,0,16,1712,-286,97,-1,-120,90,-61,-6,4.1503625,271.91666,0.06750111,98250.0,0.004842667,148.25,276.03,2.3779972,"{""type"":""Point"",""coordinates"":[127.98634914789433,46.642638470048176]}"
