system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000000,43,44,48,67,77,199,62,1,10,16,551,2,-16,-10,-35,0,-6,-2,-2,-90,75,-10,-7,15,14,16,0,14,643,3,-10,8,-38,-6,0,-3,0.0,410.58334,0.13500111,101440.0,0.016147668,208.58333,298.76334,3.0773306,"{""type"":""Point"",""coordinates"":[108.73230752719932,18.580440897359384]}"
1_00000000000000000001,38,40,41,81,84,199,60,1,16,30,1382,-109,33,-31,-41,-68,9,-7,-3,-416,173,-35,67,18,25,-9,2,26,1235,-84,42,-22,-68,-61,14,-7,1.8543341,410.58334,0.14666778,101070.0,0.016149668,206.66667,298.72998,2.7113307,"{""type"":""Point"",""coordinates"":[108.95005880894226,18.455394326517602]}"
1_00000000000000000002,30,30,27,70,52,197,29,1,47,33,1087,-36,19,22,-126,-35,-45,-5,-15,189,114,-8,13,22,3,-15,-2,25,1202,-24,32,26,-141,-26,-58,-6,0.9772734,404.91666,0.19500111,99473.336,0.015867,205.25,297.91,1.9766638,"{""type"":""Point"",""coordinates"":[109.63134256339298,18.383437812818148]}"
1_00000000000000000003,37,38,42,62,65,200,50,1,8,13,-328,-10,-15,0,-41,-4,-14,3,-8,326,55,-3,8,25,0,-48,-2,12,-142,-9,-11,-7,-45,4,-22,2,2.0958264,411.75,0.2000011,101440.0,0.016515,206.91667,298.83334,2.0079973,"{""type"":""Point"",""coordinates"":[109.74830032492382,18.401764718147813]}"
1_00000000000000000005,30,28,28,40,51,196,40,1,247,17,-452,-17,-38,11,-17,5,-8,4,-3,685,120,-18,-40,-1,25,-31,-5,17,-131,4,-20,-14,-26,4,-12,2,1.8543341,391.83334,0.18000111,96480.0,0.0146573335,198.75,295.83,2.368664,"{""type"":""Point"",""coordinates"":[109.1422059324363,19.007319559407865]}"
1_00000000000000000006,32,29,27,47,45,198,35,1,317,18,58,-31,-22,16,-23,-34,-4,0,-8,604,80,-7,4,2,-21,-3,-4,15,1,-16,0,13,-49,-21,-10,1,11.301157,376.91666,0.2350011,92376.664,0.013453334,191.91667,293.42334,1.5006639,"{""type"":""Point"",""coordinates"":[109.51491989398856,18.78363767326386]}"
1_00000000000000000007,34,34,34,53,56,199,46,1,340,14,-19,-31,-58,-6,4,8,-5,1,-9,217,50,-38,26,20,-27,0,-2,12,62,-22,-36,0,1,0,-7,0,1.3495753,393.91666,0.2616678,97466.0,0.014972334,190.75,295.59332,1.2373306,"{""type"":""Point"",""coordinates"":[109.87496554944799,18.96177430124797]}"
1_00000000000000000008,32,30,26,40,25,197,14,1,27,16,613,-39,-32,4,-50,40,-10,-2,-12,-46,12,-2,4,21,26,-44,0,13,428,-47,-11,-6,-36,35,-16,-1,2.166407,405.08334,0.22750111,100646.664,0.016119333,198.75,297.35333,1.9673306,"{""type"":""Point"",""coordinates"":[110.31343341513437,18.752107369714945]}"
1_00000000000000000009,40,40,40,50,52,200,44,1,8,9,166,-19,-23,-1,-9,0,3,0,-4,-63,29,12,-3,5,3,-21,0,8,127,-14,-19,0,-10,1,2,0,4.1898284,408.83334,0.13000111,101174.0,0.01613,206.83333,298.39334,3.578664,"{""type"":""Point"",""coordinates"":[108.64768716650808,19.10083136759968]}"
1_0000000000000000000a,39,35,35,53,51,200,39,1,88,15,-298,-33,-15,-4,-48,17,-23,3,-9,673,51,0,5,20,-11,-24,-5,14,-197,2,-20,-6,-51,4,-11,2,2.0981722,405.58334,0.15583445,100100.0,0.015782334,199.41667,297.71,2.8299973,"{""type"":""Point"",""coordinates"":[109.04788256785275,19.26360639245467]}"
1_0000000000000000000b,35,33,33,47,48,200,39,1,207,14,80,-44,-22,-7,0,0,-6,0,-3,150,53,-6,-12,-23,2,-6,-1,12,234,-29,-22,-12,-18,7,1,0,3.0863392,399.58334,0.18916778,98376.0,0.015171001,191.83333,296.65332,1.8399972,"{""type"":""Point"",""coordinates"":[109.44943353591766,19.225338387214]}"
1_0000000000000000000c,40,41,42,61,67,200,58,1,171,14,472,-26,-53,5,-29,-16,8,-2,-5,503,31,-72,-10,7,-12,-13,-4,11,480,-29,-44,-8,-22,-13,13,-2,4.191044,402.75,0.21166779,99522.664,0.015611,188.83333,296.76666,1.4446639,"{""type"":""Point"",""coordinates"":[109.94449185307333,19.31939420573433]}"
1_0000000000000000000d,30,30,30,46,56,196,37,1,127,14,280,-53,-43,22,-31,5,-5,0,-8,817,27,-31,-25,35,-30,-12,-6,11,545,-53,-37,6,-21,2,6,-2,1.3508533,404.08334,0.22750111,99912.664,0.015846001,189.41667,296.91666,1.3853306,"{""type"":""Point"",""coordinates"":[110.08058807632555,19.25794779321784]}"
1_0000000000000000000e,38,36,38,47,51,199,41,1,21,11,-219,-33,-30,12,-7,45,-20,2,-9,-279,6,21,0,13,62,-5,1,9,-179,-23,-8,4,-9,35,-6,2,0.9822412,409.91666,0.20416778,101196.0,0.016593,192.0,297.69998,1.9499972,"{""type"":""Point"",""coordinates"":[110.46488678241467,19.236388039624433]}"
1_00000000000000000010,33,33,35,64,58,199,43,1,142,21,1101,-59,-21,14,-81,10,-23,-6,-8,373,82,-9,-23,16,-1,-27,-3,17,1406,-38,-14,-6,-77,6,-19,-8,1.9672,404.83334,0.15083444,100180.0,0.015483334,194.41667,297.53,2.4826639,"{""type"":""Point"",""coordinates"":[109.39526437632038,19.50965512948276]}"
1_00000000000000000011,34,34,35,47,55,200,43,1,77,11,226,-38,-8,0,-20,-7,-3,0,-2,594,53,-32,-45,-20,-3,2,-4,9,282,-29,-17,-12,-28,-7,6,-1,0.9851312,405.33334,0.15583445,100340.0,0.015585334,189.91667,297.32666,2.2099972,"{""type"":""Point"",""coordinates"":[109.69170541435346,19.71258435932403]}"
