system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000001,34,33,33,56,64,199,49,1,147,20,187,-20,5,-5,-62,-11,5,0,-5,142,58,1,13,12,7,-17,-1,16,227,-13,-8,16,-76,-15,12,0,0.97832334,400.75,0.18000112,96961.336,0.015286,190.5,296.92667,2.3906639,"{""type"":""Point"",""coordinates"":[109.08211062753901,18.567505045203344]}"
1_00000000000000000003,30,26,26,43,42,199,27,1,53,16,69,-25,-3,-3,-33,-32,5,0,-6,716,73,-1,15,-8,10,31,-4,12,78,-17,10,9,-31,-8,17,0,2.6949387,415.33334,0.22083445,100608.664,0.016838,184.91667,298.53333,1.7026639,"{""type"":""Point"",""coordinates"":[109.6987151212095,18.639729104966005]}"
1_00000000000000000007,33,32,32,46,48,200,38,1,262,10,-19,-29,-18,5,-2,-4,11,0,-10,-65,15,21,5,22,18,24,0,8,177,-26,-3,14,-7,0,18,0,1.3488652,401.83334,0.24583444,98149.336,0.015744,183.91667,296.46,1.4099972,"{""type"":""Point"",""coordinates"":[109.87388644699307,18.79441977961109]}"
1_00000000000000000008,35,35,36,48,56,199,44,1,33,11,-167,-30,-15,5,-13,-9,30,1,-10,-123,49,-3,18,40,-3,18,0,9,-70,-22,-10,6,-13,-6,19,1,3.0783336,409.16666,0.23666778,100180.0,0.016588667,190.66667,297.64667,1.7479973,"{""type"":""Point"",""coordinates"":[110.20940704665854,18.748874521451196]}"
1_0000000000000000000b,38,40,41,53,56,201,47,1,200,8,-34,-57,7,-13,-6,-5,-2,0,-8,539,11,15,2,36,3,-9,-3,6,217,-44,9,0,-10,-4,-1,0,1.9659983,408.0,0.24250111,99480.664,0.015688334,177.08333,297.35,2.0153306,"{""type"":""Point"",""coordinates"":[109.55130169948362,19.41048026295307]}"
1_0000000000000000000c,38,38,40,53,62,200,51,1,171,9,-426,-32,-21,1,-20,-3,14,3,-7,403,1,14,0,22,13,-7,-2,8,-243,-29,-11,9,-8,0,10,2,4.191044,408.0,0.27166778,99524.664,0.016035,175.25,297.03665,1.4666638,"{""type"":""Point"",""coordinates"":[109.94449185307333,19.31939420573433]}"
1_0000000000000000000d,32,30,28,42,45,200,36,1,121,10,-685,-56,6,6,-9,-2,0,4,-8,666,7,-1,0,12,9,-15,-4,9,-456,-63,6,13,-9,0,3,3,2.0984578,409.41666,0.27583444,99846.0,0.016240668,176.25,297.22333,1.5799972,"{""type"":""Point"",""coordinates"":[110.09675677674535,19.365207009957434]}"
1_0000000000000000001f,30,26,24,33,27,196,18,1,203,10,142,0,-2,-16,-46,1,13,0,-12,-126,60,-7,-43,-8,-2,20,0,8,254,-5,-6,-16,-51,17,14,0,1.3618468,374.41666,0.24250112,93104.0,0.012069001,147.41667,291.71667,1.7839973,"{""type"":""Point"",""coordinates"":[107.4958656915946,21.599586743121254]}"
1_00000000000000000022,36,34,33,48,55,200,44,1,10,11,367,-41,-26,40,-49,9,-7,-1,-7,265,63,-30,41,7,-21,-7,-1,8,833,-44,-32,43,-60,6,-16,-4,0.92740995,399.0,0.2616678,101125.336,0.014631334,167.5,295.79333,3.2613306,"{""type"":""Point"",""coordinates"":[108.96514840690712,21.634082348870713]}"
1_00000000000000000023,36,35,34,49,51,199,41,1,18,12,125,-21,7,4,-33,3,26,0,-13,422,68,-12,8,-9,-7,23,-2,9,586,-11,-5,5,-45,-10,13,-2,0.92740995,399.0,0.24416779,101148.664,0.014585334,168.08333,295.81332,3.0913308,"{""type"":""Point"",""coordinates"":[109.23141024901048,21.769367015731206]}"
