NDVI,Freq,Select_num
-19,4,0
-19,3,0
-18,3,0
-17,2,0
-17,4,0
-16,5,0
-15,8,0
-14,8,0
-14,9,0
-13,7,0
-13,14,0
-12,24,0
-11,24,0
-11,72,0
-10,120,0
-9,193,0
-9,340,0
-8,539,1
-7,775,1
-7,952,1
-6,1260,2
-6,1655,2
-5,1971,2
-4,2127,3
-4,2231,3
-3,1958,2
-2,1869,2
-2,1822,2
-1,1759,2
0,1906,2
0,2415,3
0,2273,3
0,2095,3
1,1880,2
2,1810,2
2,1648,2
3,1530,2
4,1493,2
4,1393,2
5,1286,2
6,1378,2
6,1437,2
7,1490,2
7,1536,2
8,1609,2
9,1737,2
9,1842,2
10,2129,3
11,2295,3
11,2548,3
12,2947,4
13,3421,4
13,3936,5
14,4782,6
15,5582,7
15,6517,8
16,7627,9
16,9286,11
17,11014,13
18,14571,18
18,21296,26
19,34994,42
20,61526,75
20,99486,121
21,139622,169
22,171913,209
22,192451,234
23,201018,244
23,193334,235
24,173557,211
25,148369,180
25,127492,155
26,108723,132
27,92939,113
27,81451,99
28,71910,87
29,65463,79
29,60643,74
30,56152,68
31,52848,64
31,50030,61
32,48941,59
32,48945,59
33,49141,60
34,48831,59
34,49747,60
35,49992,61
36,50856,62
36,51797,63
37,53470,65
38,55444,67
38,59049,72
39,63289,77
39,69277,84
40,74362,90
41,77006,93
41,76161,92
42,72377,88
43,69011,84
43,65912,80
44,64200,78
45,62782,76
45,61230,74
46,59553,72
47,58024,70
47,56708,69
48,54384,66
48,52230,63
49,49944,61
50,47454,58
50,44132,54
51,41386,50
52,38656,47
52,35748,43
53,32664,40
54,30145,37
54,27796,34
55,25075,30
55,23005,28
56,20696,25
57,18824,23
57,17305,21
58,15653,19
59,14151,17
59,12791,16
60,11511,14
61,10475,13
61,9552,12
62,8598,10
63,7709,9
63,7072,9
64,6425,8
64,5901,7
65,5123,6
66,4501,5
66,4002,5
67,3549,4
68,3119,4
68,2542,3
69,2176,3
70,1867,2
70,1530,2
71,1297,2
71,1043,1
72,882,1
73,712,1
73,537,1
74,436,1
75,333,0
75,268,0
76,213,0
77,128,0
77,98,0
78,63,0
79,38,0
79,23,0
80,12,0
80,20,0
81,8,0
82,1,0
