system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000083d,41,190,189,35,27,23,34,29,24,25,0,1,115,26,365,-74,0,6,-28,-16,-6,0,-10,-667,20,5,-9,-22,16,14,2,13,534,-69,0,16,-14,1,8,-1,2.278583,379.33334,0.26750112,99188.0,0.01133,148.16667,293.05,1.0126638,"{""type"":""Point"",""coordinates"":[118.32469895876581,27.03744710049535]}"
1_00000000000000000844,34,198,193,28,21,18,28,31,25,21,0,1,717,24,-546,-42,7,1,-16,-7,8,2,-11,-346,51,-20,0,27,1,11,0,11,-407,-23,2,16,6,-19,48,2,6.2069187,358.5,0.27333444,93122.664,0.009997667,143.75,289.43668,0.9919972,"{""type"":""Point"",""coordinates"":[119.15177748126,26.954984944713964]}"
1_00000000000000000847,35,200,196,30,24,22,39,42,36,22,0,1,77,31,1248,-61,-8,19,-56,-32,-18,-3,-11,949,35,5,-3,-6,7,-8,-3,15,2557,-59,6,22,-53,-14,-7,-8,2.2763352,386.58334,0.28166777,101200.664,0.012126001,141.75,293.65332,1.1133306,"{""type"":""Point"",""coordinates"":[119.5907804390728,26.904048633380455]}"
1_00000000000000000848,39,202,199,34,28,26,42,45,38,28,0,1,18,22,229,-29,-17,-30,-58,-38,-12,0,-10,885,7,-31,6,7,-5,4,-3,12,815,-60,-8,0,-25,-33,3,-2,8.57074,368.25,0.2750011,96502.664,0.010644001,141.91667,290.84,1.2106639,"{""type"":""Point"",""coordinates"":[119.67998475564697,26.964415943442006]}"
1_0000000000000000084b,47,204,200,44,36,34,52,54,49,35,0,1,21,23,-25,-48,-10,4,-19,-5,8,0,-8,401,-10,3,4,11,-7,-6,-1,11,731,-29,-1,10,-11,-13,-9,-2,1.3931241,369.75,0.25250113,97561.336,0.010628668,142.5,291.12,1.4619972,"{""type"":""Point"",""coordinates"":[119.99529225023716,26.882756425850243]}"
1_0000000000000000084d,37,202,199,32,29,29,43,45,37,28,0,1,174,20,555,-92,-8,1,-9,-7,0,-1,-14,-448,65,0,-13,-18,-21,45,1,11,45,-40,0,-1,-23,2,13,0,4.2475743,378.25,0.25083444,99021.336,0.011985,134.25,292.21664,2.9739974,"{""type"":""Point"",""coordinates"":[113.95510989986677,27.130156270497537]}"
1_00000000000000000856,45,188,187,40,33,31,42,38,33,34,0,1,54,21,-101,-86,-1,9,-31,5,-12,1,-8,-115,16,6,-5,-18,-7,4,0,13,-148,-52,4,-3,-40,18,-3,1,1.3945968,383.08334,0.21833445,100810.664,0.012191667,135.16667,292.87665,1.7359972,"{""type"":""Point"",""coordinates"":[114.97595865863849,27.096200215975546]}"
1_00000000000000000863,46,204,199,42,37,38,56,61,55,35,0,1,94,21,-148,-63,-11,25,16,18,-8,1,-10,-923,36,-43,14,-7,32,4,2,10,-303,-27,-10,1,-27,13,-7,1,12.103219,377.66666,0.2641678,100317.336,0.011949667,145.33333,292.40332,2.2859972,"{""type"":""Point"",""coordinates"":[116.51854453616856,27.23175242889925]}"
1_0000000000000000087d,36,196,194,30,24,20,37,33,26,21,0,1,168,29,-205,-65,22,18,-15,-13,-10,1,-11,536,21,7,-16,18,-7,7,-2,15,2082,-89,23,13,-50,-30,3,-6,11.927067,376.83334,0.2875011,98036.664,0.011621334,141.58333,292.17334,0.95999724,"{""type"":""Point"",""coordinates"":[119.56329454017934,27.191598223912965]}"
1_00000000000000000885,38,185,185,31,26,23,33,29,21,24,0,1,295,28,1324,-129,5,11,-19,-9,-7,-3,-17,-766,80,10,-28,-13,6,42,2,16,403,-58,10,-4,-41,19,12,0,7.6618986,370.0,0.25083444,97007.336,0.011343667,134.16667,290.91998,2.9493306,"{""type"":""Point"",""coordinates"":[113.90902954958047,27.284035388750898]}"
