system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
000000000000000013eb,29,189,188,23,18,15,48,33,15,16,1,0,1103,28,845,-83,93,-3,-65,26,-10,-1,-37,559,-100,-8,14,-71,-54,60,-3,15,653,-172,57,15,-67,17,10,-1,5.533133,234.0,0.038751118,89270.0,0.0032155006,135.0,266.95,2.2509973,"{""type"":""Point"",""coordinates"":[121.09833561872705,52.53756560360258]}"
000000000000000011f6,31,186,184,26,21,21,48,32,16,20,1,0,765,32,1725,-176,119,-9,-83,57,-7,-4,-30,263,-114,-69,21,-55,-83,61,-2,18,2775,-217,72,0,-95,59,-16,-8,10.7939,246.875,0.028751116,94919.0,0.0038070004,139.0,270.33002,2.3309972,"{""type"":""Point"",""coordinates"":[120.81078602819451,52.07484468728649]}"
00000000000000001256,33,180,179,27,21,20,45,31,15,20,1,0,827,33,354,-144,116,-15,-39,41,5,0,-30,-662,-61,-61,40,-41,-55,48,1,15,405,-160,21,3,-61,26,22,0,2.7802885,245.0,0.06375112,93355.0,0.0036165004,140.0,270.11,2.2459972,"{""type"":""Point"",""coordinates"":[125.03511095207541,51.48949849200066]}"
000000000000000013f2,48,167,168,38,26,20,34,19,13,22,1,0,788,30,836,-287,63,-75,-37,81,8,-1,-28,-728,-48,-82,36,-49,-56,73,1,20,1237,-262,26,-39,-64,36,21,-3,10.204188,240.875,0.031251118,92689.0,0.0036905003,141.0,269.03497,2.1129973,"{""type"":""Point"",""coordinates"":[122.08495631781247,52.08831563156895]}"
000000000000000013cb,32,177,177,26,21,19,44,33,16,20,1,0,856,32,58,-148,123,-19,-55,52,-11,0,-29,-392,-77,-86,51,-53,-45,55,0,18,825,-198,56,-9,-63,8,23,-1,6.0865417,241.625,0.035001118,92988.0,0.0037255003,141.0,269.21,2.1029973,"{""type"":""Point"",""coordinates"":[122.17739348265043,52.09451824113431]}"
000000000000000013e2,32,177,177,26,21,19,44,33,16,20,1,0,856,32,58,-148,123,-19,-55,52,-11,0,-29,-392,-77,-86,51,-53,-45,55,0,18,825,-198,56,-9,-63,8,23,-1,6.0865417,241.625,0.035001118,92988.0,0.0037255003,141.0,269.21,2.1029973,"{""type"":""Point"",""coordinates"":[122.17739348265043,52.09451824113431]}"
0000000000000000141b,29,190,189,23,19,16,51,37,18,17,0,0,904,36,2006,-170,133,-9,-73,45,-18,-5,-30,5,-51,-56,41,-55,-64,48,-1,20,2412,-202,64,2,-75,34,-8,-7,3.1353047,235.5,0.032501116,90310.0,0.0033670005,142.0,267.85498,2.3709974,"{""type"":""Point"",""coordinates"":[120.80997447180279,51.7797458386705]}"
000000000000000013dd,35,174,174,29,21,21,37,24,15,19,1,0,758,29,1192,-241,85,-28,-75,75,-30,-3,-28,306,-19,-90,29,-70,-68,76,-1,20,1771,-276,41,7,-107,69,-2,-4,14.313728,242.25,0.031251118,93284.0,0.0036725004,143.0,269.53998,2.2989972,"{""type"":""Point"",""coordinates"":[121.01775520359021,51.711026632335845]}"
0000000000000000135a,36,174,174,30,23,23,42,25,18,21,1,0,803,30,2335,-194,119,-15,-62,25,-6,-6,-27,127,13,-66,41,-27,-60,42,-1,19,3243,-230,76,-4,-76,33,-3,-9,4.5773115,240.0,0.032501116,92237.0,0.0035615005,143.0,268.99,2.355997,"{""type"":""Point"",""coordinates"":[120.82587562615937,51.72881398643804]}"
000000000000000013cc,35,174,174,28,19,16,34,20,11,17,1,0,768,33,786,-85,73,-8,-38,41,-9,-1,-29,-291,-73,-64,7,7,-45,34,0,19,1851,-106,-10,-32,-39,44,11,-5,6.561895,240.0,0.032501116,92237.0,0.0035615005,143.0,268.99,2.355997,"{""type"":""Point"",""coordinates"":[120.8293804795874,51.61400551161497]}"
000000000000000013e8,35,174,174,28,19,16,34,20,11,17,1,0,768,33,786,-85,73,-8,-38,41,-9,-1,-29,-291,-73,-64,7,7,-45,34,0,19,1851,-106,-10,-32,-39,44,11,-5,6.561895,240.0,0.032501116,92237.0,0.0035615005,143.0,268.99,2.355997,"{""type"":""Point"",""coordinates"":[120.8293804795874,51.61400551161497]}"
00000000000000001410,30,191,189,24,21,17,55,45,25,19,1,0,1111,33,1393,-66,35,10,-69,-3,20,-3,-40,187,-179,-89,53,-74,-66,83,-1,15,1005,-127,-20,32,-55,-50,66,-2,25.61438,233.75,0.041251116,89887.0,0.0033435004,143.0,267.485,2.1879973,"{""type"":""Point"",""coordinates"":[121.5987849890563,51.792414144763335]}"
0000000000000000142c,41,170,170,35,28,24,42,13,9,27,1,0,1286,30,-666,-98,8,-41,-20,6,37,3,-42,-1286,-193,-22,16,-62,-35,75,2,13,-202,-151,-36,-20,-72,-18,88,1,14.801585,233.75,0.041251116,89887.0,0.0033435004,143.0,267.485,2.1879973,"{""type"":""Point"",""coordinates"":[121.57048753377116,51.79348878811722]}"
0000000000000000144b,45,168,168,35,25,19,37,13,10,23,1,0,1035,29,3,-221,69,68,-51,8,-69,0,-38,-648,-159,-48,-4,-76,-20,86,0,13,-262,-307,-45,-7,-70,44,66,1,16.94969,236.0,0.04500112,90963.0,0.0035435003,144.0,268.13998,2.1209974,"{""type"":""Point"",""coordinates"":[122.33504500039497,51.83202879852215]}"
00000000000000001466,29,184,184,23,19,13,47,27,16,16,1,0,1012,30,477,-139,80,-5,-32,2,28,0,-37,36,-53,-38,30,-76,-55,62,-1,16,758,-214,38,-17,-56,-39,79,-1,9.302585,231.75,0.043751117,89315.0,0.0033740005,145.0,267.2,2.1289973,"{""type"":""Point"",""coordinates"":[122.22293428170924,51.62074321330674]}"
00000000000000001496,38,173,173,31,23,18,43,15,9,20,1,0,1144,33,1263,-51,111,49,4,84,122,-3,-35,-1626,-198,-39,38,-66,-32,18,3,14,327,-262,-46,-73,-91,-5,88,0,14.799824,230.25,0.051251113,88678.0,0.0033160006,145.0,266.85,2.1339972,"{""type"":""Point"",""coordinates"":[122.48219087605766,51.649847765882576]}"
00000000000000000602,31,192,190,25,24,19,92,56,25,21,0,0,405,30,-635,-182,151,-8,-97,87,-48,3,-34,2380,-193,-216,45,-89,-149,90,-8,14,1012,-199,72,-39,-103,60,-38,-2,1.741843,251.0,0.055001117,95901.0,0.0040065004,145.0,271.82,2.5259972,"{""type"":""Point"",""coordinates"":[125.44716756222222,51.03809923325928]}"
00000000000000000027,31,192,191,26,22,23,59,54,28,22,1,0,439,37,1414,-136,154,17,-65,54,-12,-3,-30,-295,-136,-153,109,3,-102,32,0,19,1900,-163,35,26,-59,30,-3,-5,5.210862,253.5,0.047501117,96672.0,0.0041335,146.0,272.43,2.6499972,"{""type"":""Point"",""coordinates"":[125.77595046019596,51.01492082598347]}"
000000000000000007ed,32,192,190,26,22,20,49,53,31,20,0,0,392,34,588,-147,147,25,-91,107,-56,0,-27,1183,-170,-195,95,-36,-148,78,-4,17,1263,-168,24,14,-91,66,-35,-3,2.3665786,253.5,0.047501117,96672.0,0.0041335,146.0,272.43,2.6499972,"{""type"":""Point"",""coordinates"":[125.90558098692068,50.93622661059225]}"
0000000000000000006b,34,203,201,29,24,25,55,45,32,25,0,0,737,23,62,-174,59,-24,-75,22,-21,0,-12,-217,123,-23,-10,50,-27,9,0,15,46,-132,31,-15,-51,-5,1,0,0.0,321.5,0.048751116,93357.0,0.0068825004,147.0,285.90997,2.5439973,"{""type"":""Point"",""coordinates"":[111.97810056130574,37.16720925911361]}"
000000000000000005d8,32,192,190,27,25,24,80,39,21,23,0,0,400,29,719,-170,155,-18,-70,64,-59,-1,-35,1936,-289,-246,45,-75,-117,99,-7,12,2109,-209,87,-58,-84,66,-61,-6,2.9239743,250.625,0.061251115,95759.0,0.0041085007,147.0,271.8,2.4469972,"{""type"":""Point"",""coordinates"":[125.16473701969909,50.665117725643796]}"
00000000000000000826,30,191,190,24,19,19,49,48,27,18,0,0,407,34,1585,-169,162,-15,-73,74,-41,-4,-24,1379,-110,-153,66,-49,-76,84,-5,17,3506,-181,70,-41,-97,62,-35,-10,3.4629788,250.625,0.061251115,95759.0,0.0041085007,147.0,271.8,2.4469972,"{""type"":""Point"",""coordinates"":[125.18468257871115,50.708776784058095]}"
0000000000000000069d,34,200,198,29,23,26,55,49,32,21,0,0,289,25,-523,-162,15,30,-115,64,-11,2,-10,-121,141,-10,-3,35,-37,-26,0,18,-336,-97,-26,39,-105,27,14,1,5.139345,322.375,0.06250112,98451.0,0.0073005008,147.0,285.945,2.3319974,"{""type"":""Point"",""coordinates"":[114.80698548331917,38.92323892676903]}"
000000000000000006e8,34,200,198,29,23,26,55,49,32,21,0,0,289,25,-523,-162,15,30,-115,64,-11,2,-10,-121,141,-10,-3,35,-37,-26,0,18,-336,-97,-26,39,-105,27,14,1,5.139345,322.375,0.06250112,98451.0,0.0073005008,147.0,285.945,2.3319974,"{""type"":""Point"",""coordinates"":[114.80698548331917,38.92323892676903]}"
00000000000000000034,40,176,176,33,25,22,33,25,18,23,1,0,877,24,1121,-187,43,-23,-48,62,-22,-2,-20,-550,10,-81,45,-12,-93,65,1,14,1486,-203,36,-11,-67,42,6,-4,2.3765218,235.75,0.042501118,90976.0,0.0035575004,147.0,268.36,2.1029973,"{""type"":""Point"",""coordinates"":[122.71584331215715,51.43371513782205]}"
00000000000000000886,29,191,189,24,19,18,37,49,29,18,1,0,887,28,853,-74,102,-8,-42,39,-12,-1,-24,-115,-92,-118,85,-54,-161,90,0,14,960,-132,17,5,-46,-6,20,-2,1.8543341,230.375,0.036251117,88835.0,0.0032670004,148.0,266.97998,2.1759973,"{""type"":""Point"",""coordinates"":[121.70335090875962,51.276598712203885]}"
000000000000000006dc,34,190,188,30,26,29,53,54,35,27,1,0,361,29,361,-201,92,40,-153,150,-97,0,-27,1231,-257,-264,0,-2,-176,53,-5,14,328,-198,36,-14,-109,75,-59,0,3.121292,261.125,0.07500111,97028.0,0.0045100003,148.0,274.20502,2.8369973,"{""type"":""Point"",""coordinates"":[124.739477011333,49.258895617429104]}"
000000000000000012f8,31,187,186,25,20,19,45,34,19,19,1,0,605,31,331,-197,116,1,-39,29,7,0,-26,-1118,-9,-103,63,-3,-62,8,2,17,260,-203,49,7,-48,11,31,0,7.0700526,246.75,0.052501112,94784.0,0.0039155004,148.0,271.05,2.0549972,"{""type"":""Point"",""coordinates"":[124.49774022502359,50.97638081557854]}"
00000000000000001115,30,192,190,25,20,18,60,49,25,18,0,0,476,39,1161,-185,155,-15,-82,71,-42,-2,-26,-445,-71,-184,58,-11,-84,48,0,21,1889,-215,67,2,-91,53,-16,-5,7.4393153,251.25,0.056251116,96274.0,0.0041345004,148.0,272.03998,2.2289972,"{""type"":""Point"",""coordinates"":[124.70228810854726,50.806332996905375]}"
00000000000000000851,31,189,188,26,20,18,50,44,22,19,0,0,330,35,1306,-167,150,29,-64,78,-19,-3,-23,1062,-64,-204,44,-5,-97,58,-4,20,1021,-200,37,-12,-88,65,-15,-2,1.7134106,258.25,0.058751114,97547.0,0.0044875005,149.0,273.555,2.6599975,"{""type"":""Point"",""coordinates"":[124.92650508681768,49.9452984198892]}"
