system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000096a,20,174,174,16,11,8,30,14,7,10,1,0,3921,23,-496,-130,-34,-23,-6,54,8,2,-26,-462,-136,-47,-21,-50,30,106,0,14,-1735,-53,-19,-85,18,52,22,6,28.866354,247.41667,0.091667786,60969.332,0.0037706671,198.5,272.95667,2.1373305,"{""type"":""Point"",""coordinates"":[101.47751064088081,30.857264672312898]}"
00000000000000000491,27,196,195,26,26,33,58,89,62,28,3,0,4037,27,-111,-110,18,19,-94,66,-29,1,0,-423,128,24,-19,35,-95,4,1,23,-724,-72,18,8,-107,44,-30,3,28.951496,253.91667,0.091667786,59579.332,0.0042543337,207.58333,275.23334,2.4199972,"{""type"":""Point"",""coordinates"":[100.70783412624763,29.457240714562495]}"
00000000000000000572,29,193,191,26,25,27,71,59,41,26,0,0,2196,36,-1947,-124,102,-25,-156,65,-47,8,-14,-33,139,-23,11,60,-14,38,0,26,-1986,-44,152,-64,-110,20,-60,8,8.974416,317.16666,0.091667786,77553.336,0.008278334,185.5,285.56332,4.032664,"{""type"":""Point"",""coordinates"":[103.35912197150442,26.432703815627015]}"
0000000000000000099a,28,191,189,22,20,16,57,33,17,18,0,0,2403,41,460,-23,49,-17,-123,1,-30,0,-25,136,18,-6,-12,68,1,5,-1,32,1504,48,65,-20,-139,-17,-28,-3,22.955128,317.16666,0.091667786,77553.336,0.008278334,185.5,285.56332,4.032664,"{""type"":""Point"",""coordinates"":[103.3728693800522,26.461536363038594]}"
000000000000000005e8,19,175,175,15,11,9,16,13,7,10,1,0,4095,16,-328,-164,6,0,-27,35,26,1,-14,-383,33,-18,-44,65,-23,-17,0,12,-349,-162,-65,-43,12,-16,56,1,41.13918,264.08334,0.091667786,62332.668,0.004568667,203.33333,277.19666,2.4739974,"{""type"":""Point"",""coordinates"":[100.79892464256743,29.19933522783329]}"
00000000000000000baa,21,185,184,17,16,13,74,37,18,15,1,0,3650,43,-1384,45,75,0,-61,1,7,6,-29,979,-13,-1,8,0,4,8,-4,26,-2610,103,77,3,-94,-33,63,10,33.79094,253.16667,0.091667786,61916.668,0.0037723337,202.58333,274.88998,2.570664,"{""type"":""Point"",""coordinates"":[101.28671016590492,30.47458461990617]}"
00000000000000000c9e,30,195,192,24,21,13,104,52,21,19,0,0,307,73,-815,119,-14,40,-204,33,4,5,-30,-1654,-6,-26,13,77,34,-8,4,48,-1462,146,-24,46,-171,25,-10,7,18.133589,373.25,0.2616678,95584.0,0.011874334,178.83333,294.01334,0.9593305,"{""type"":""Point"",""coordinates"":[95.02473212913613,27.8812338746368]}"
00000000000000000d2a,72,163,163,62,47,42,36,4,4,45,1,0,4907,-3,203,-80,-38,-31,-48,66,5,0,-47,44,-120,4,15,-12,66,48,-2,0,-266,-54,-37,-25,4,23,16,0,13.645926,253.5,0.11833444,58538.0,0.0033080005,168.0,272.03333,2.056664,"{""type"":""Point"",""coordinates"":[95.73808573836322,29.686041648715854]}"
0000000000000000085e,28,191,190,23,23,16,65,55,27,19,0,0,1746,39,-927,-167,-7,42,-21,-15,31,4,-21,925,88,-22,-17,5,-21,9,-3,10,-893,-98,-25,34,4,-16,14,3,35.36541,318.16666,0.11833444,76562.664,0.008414,152.83333,283.14667,1.7739972,"{""type"":""Point"",""coordinates"":[103.37718133077088,28.177951376935194]}"
0000000000000000064b,33,198,194,28,24,19,68,42,23,21,0,0,400,41,2125,-118,3,-48,-95,-8,-26,-6,-24,-118,59,-19,-20,21,-60,6,0,15,3033,-96,17,-24,-77,26,-67,-9,7.6723547,376.33334,0.11833444,96529.336,0.011276,124.916664,291.19998,1.7219971,"{""type"":""Point"",""coordinates"":[105.17632604651206,29.883040274156045]}"
