system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_000000000000000007bd,35,29,26,39,35,201,201,27,36,1,270,12,529,-59,0,-15,-17,-24,4,-1,-10,134,-47,6,15,25,-6,-31,0,7,465,-96,17,-5,0,-24,-1,-1,10.617022,379.33334,0.13333444,98145.336,0.011271667,123.666664,291.55667,1.6366639,"{""type"":""Point"",""coordinates"":[107.71334942727431,29.860133872044486]}"
1_000000000000000007f2,38,44,47,75,75,202,202,57,63,1,2500,17,526,-88,-11,20,-58,29,10,-1,0,413,75,43,-23,24,-21,12,-1,16,648,-70,-11,17,-56,17,19,-1,5.6456375,280.08334,0.044167783,68620.0,0.004706667,219.0,282.25333,1.3479972,"{""type"":""Point"",""coordinates"":[99.05394908642349,29.905411584141177]}"
1_00000000000000000800,43,35,31,36,27,198,198,20,35,1,465,19,1429,61,-33,41,54,51,-19,-4,-11,-859,36,-11,-38,-6,-8,2,2,8,970,7,-14,16,30,14,-18,-3,3.855345,374.83334,0.18000111,95154.664,0.012712334,128.58333,291.07666,1.8999972,"{""type"":""Point"",""coordinates"":[103.3747555797978,29.90675823265932]}"
1_00000000000000000803,36,30,27,45,34,188,189,22,36,1,371,30,1184,-160,19,-6,-51,-33,9,-3,-15,461,47,3,-15,-26,1,4,-2,17,752,-93,7,-4,-31,-31,21,-2,9.591966,374.91666,0.09833445,96728.664,0.010526667,125.75,291.22998,2.0219972,"{""type"":""Point"",""coordinates"":[104.42201113500799,29.99272524186871]}"
1_00000000000000000804,36,30,27,47,40,192,192,27,36,1,372,31,-427,-115,0,39,-49,8,22,2,-13,764,40,8,-9,-24,-8,13,-3,18,386,-63,-2,13,-22,-17,36,0,2.3326411,375.58334,0.09833445,97013.336,0.01066,126.5,291.37,1.9893305,"{""type"":""Point"",""coordinates"":[104.5106759003547,29.989759939668165]}"
1_00000000000000000805,32,29,28,51,44,197,197,26,40,1,389,29,84,-167,6,-44,-2,-32,50,0,-14,-1883,75,-70,10,-39,78,1,6,15,470,-87,-5,-44,-2,-19,22,-1,6.8039036,373.08334,0.10333445,96510.0,0.010661,126.5,290.88998,1.8459972,"{""type"":""Point"",""coordinates"":[104.84915734311967,29.914842582869216]}"
1_0000000000000000080a,40,35,35,50,48,204,204,37,43,1,375,20,-868,-32,1,-22,-59,-16,0,3,-11,611,4,-28,30,8,-16,-9,-2,11,-265,-47,7,-2,-17,-15,4,1,2.8294444,378.5,0.11083445,97685.336,0.010163667,124.833336,291.81665,1.4379972,"{""type"":""Point"",""coordinates"":[106.56072085507014,29.890317527075275]}"
1_0000000000000000080c,36,31,31,42,39,202,202,32,37,1,414,13,-914,-70,-8,23,-16,6,8,3,-7,-151,-41,2,-8,25,-18,-16,0,7,-309,-86,10,9,-3,-15,-9,1,3.3391223,375.41666,0.12750112,96662.664,0.010652667,124.916664,291.09332,1.5199972,"{""type"":""Point"",""coordinates"":[107.20373214517915,29.96119493831979]}"
1_0000000000000000080d,33,28,24,56,44,201,201,27,41,1,218,26,1215,-112,10,-11,-65,-46,18,-3,-11,-332,0,4,14,43,38,-13,0,14,485,-189,29,10,-13,-36,3,0,10.623084,375.66666,0.13000111,96778.0,0.010854667,124.416664,291.05,1.5806639,"{""type"":""Point"",""coordinates"":[107.51149484078691,29.951763939591746]}"
1_0000000000000000080f,37,32,30,36,27,195,195,19,33,1,546,18,-2691,-86,31,-21,-16,-12,-47,10,-14,754,-50,-3,0,50,-19,-19,-3,12,-2080,-88,-4,9,-7,-3,-23,8,3.3400338,348.0,0.1375011,90200.664,0.008988334,124.916664,286.55334,1.5866638,"{""type"":""Point"",""coordinates"":[108.10788622938215,29.99057149605989]}"
1_00000000000000000850,29,28,29,38,43,186,187,27,29,1,2512,19,-2090,-120,-14,7,1,-7,-3,8,-5,-158,92,48,-10,20,12,11,0,16,-1257,-100,17,-7,-30,6,-1,5,12.934187,286.83334,0.09250112,71680.0,0.0058730002,171.33333,279.02,2.9259973,"{""type"":""Point"",""coordinates"":[101.95775136523586,30.07114745209566]}"
1_00000000000000000852,36,29,26,36,26,193,193,18,34,1,765,25,358,-59,-61,77,14,39,-76,0,-11,-1247,-3,2,10,-16,-4,4,4,11,6,-108,9,2,16,2,-29,0,3.855807,359.66666,0.15583445,91758.0,0.009565334,126.833336,288.86667,1.5893306,"{""type"":""Point"",""coordinates"":[102.76569588510975,30.06198845853187]}"
1_00000000000000000854,45,36,31,45,34,196,196,24,39,1,583,27,74,-55,-56,79,32,4,-55,0,-12,-1226,7,-14,0,-6,14,2,4,11,315,-58,-23,13,25,0,-30,0,5.0992155,364.83334,0.16333444,94218.664,0.0099720005,118.083336,289.09668,1.1746639,"{""type"":""Point"",""coordinates"":[103.36262682493242,30.123969963174776]}"
1_00000000000000000855,41,33,29,34,25,197,197,15,31,1,422,19,1803,-78,37,-47,20,23,18,-6,-12,-30,6,-21,-46,3,-11,-15,0,9,1163,-49,10,-19,3,7,0,-4,2.141217,374.66666,0.11750111,96580.664,0.010769334,120.666664,290.8,1.8306639,"{""type"":""Point"",""coordinates"":[103.83208544294025,30.049052606375827]}"
1_00000000000000000858,38,33,30,49,42,192,192,29,38,1,391,30,214,-156,26,39,-36,-16,8,0,-11,-453,42,-16,0,-22,2,9,1,20,212,-76,-7,5,-26,-17,28,0,8.441233,373.91666,0.097501114,96716.664,0.010611667,127.083336,291.13,1.9799973,"{""type"":""Point"",""coordinates"":[104.63167806654103,30.045815299011032]}"
1_00000000000000000859,33,26,21,39,17,195,195,9,31,1,429,24,-130,-96,7,15,-64,-1,-4,1,-19,-157,68,-41,19,14,-24,46,0,16,276,-75,-5,-16,-52,31,18,0,2.9792602,371.75,0.101667784,96322.0,0.0105196675,126.916664,290.77667,1.9326639,"{""type"":""Point"",""coordinates"":[104.88473205132406,30.123969963174776]}"
1_0000000000000000085a,36,30,26,41,27,189,189,16,36,1,400,28,-144,-219,13,-5,-82,-9,-14,1,-16,244,13,-15,18,9,2,15,-1,16,1420,-137,65,-47,-26,-50,-26,-4,10.312185,375.83334,0.120834455,97577.336,0.010768001,125.5,291.29333,1.7566639,"{""type"":""Point"",""coordinates"":[105.32266036578298,30.039077597319274]}"
1_0000000000000000085e,30,26,22,60,49,200,200,30,40,1,787,30,-1286,-109,-2,20,-13,-43,48,5,-7,198,37,-4,-5,12,6,-16,-1,17,95,-167,20,-11,-4,-57,0,0,18.963768,361.75,0.11333445,93178.664,0.009154667,125.666664,289.13,1.3839972,"{""type"":""Point"",""coordinates"":[106.64857406402513,30.056864951421463]}"
1_0000000000000000085f,32,28,25,55,47,201,201,29,38,1,354,24,334,-142,54,-28,-28,-61,-20,0,-5,-149,12,-28,10,-1,22,6,0,15,-431,-151,72,-7,-2,-62,-20,2,6.464861,375.75,0.12083445,97022.664,0.010394667,125.666664,291.30667,1.3499972,"{""type"":""Point"",""coordinates"":[106.96711886598014,30.140410668758836]}"
1_00000000000000000862,32,28,26,47,38,201,201,27,35,1,311,20,-653,-119,13,6,-7,1,13,3,-8,58,23,-2,0,3,1,3,0,12,-507,-186,16,26,22,4,25,2,10.115539,363.5,0.14166778,94233.336,0.0100920005,125.083336,289.13666,1.6039972,"{""type"":""Point"",""coordinates"":[107.9060361019958,30.075998954041804]}"
1_00000000000000000880,29,32,36,61,69,196,196,51,46,1,4624,17,535,-109,16,-6,-34,52,-24,-1,0,-3119,67,-6,-32,49,-27,51,11,15,404,-60,7,-3,-42,41,-19,0,3.5095544,214.75,0.05000112,51784.668,0.0028013338,241.66667,268.08667,2.5133307,"{""type"":""Point"",""coordinates"":[90.54654166408044,30.190802969763823]}"
1_0000000000000000089e,30,22,22,36,34,182,182,25,30,1,3689,29,1074,-100,15,-18,-57,41,-68,-2,0,1002,137,44,-63,-12,-40,4,-3,22,1201,-54,66,-42,-65,21,-38,-3,1.0740954,255.33333,0.08083445,61805.332,0.0039706673,215.25,276.33,1.7979972,"{""type"":""Point"",""coordinates"":[100.28957936563651,30.29860173773088]}"
1_000000000000000008a8,43,34,30,46,34,197,198,26,38,1,553,29,343,-51,-2,34,0,31,-56,0,-14,-357,0,21,-24,42,-15,10,0,12,-293,-77,18,0,8,13,-30,1,4.6704774,361.41666,0.16500111,93920.664,0.008500334,116.333336,288.77332,0.91866386,"{""type"":""Point"",""coordinates"":[103.28501171199615,30.315042443314933]}"
1_000000000000000008aa,49,43,42,52,47,201,200,40,47,1,439,22,-4,-44,34,22,15,54,-23,0,-11,-786,40,-43,1,-15,-20,36,2,11,35,-37,-14,9,-5,26,-10,0,1.0730454,371.5,0.11166778,96318.0,0.010358,120.333336,290.32666,1.5746639,"{""type"":""Point"",""coordinates"":[103.85957580093475,30.202392173401734]}"
1_000000000000000008ab,31,27,25,41,36,196,196,29,34,1,446,23,803,-73,9,-37,-62,2,-30,-2,-11,-1042,75,-35,23,-7,-37,29,3,15,-292,-64,-21,-15,-41,10,-6,1,6.0268254,372.5,0.09666778,96242.0,0.010382,125.25,290.90332,2.0453305,"{""type"":""Point"",""coordinates"":[104.35598522570963,30.300759942640745]}"
1_000000000000000008ac,33,28,26,49,41,191,191,28,36,1,423,29,265,-154,11,15,-31,-26,-7,0,-13,1083,74,-4,13,-22,-13,18,-4,16,-633,-89,-9,10,-14,-19,0,3,4.670355,373.0,0.097501114,96526.0,0.010492001,126.583336,291.08,2.092664,"{""type"":""Point"",""coordinates"":[104.53061700026572,30.31207714111439]}"
1_000000000000000008b1,34,31,28,43,45,200,200,36,39,1,283,18,-130,-105,18,20,-77,37,-12,1,-9,-1106,-11,4,5,0,-20,-31,3,9,178,-61,-13,19,-36,15,-13,0,0.92740995,376.0,0.112501115,97666.0,0.010244667,127.583336,291.57333,1.3819972,"{""type"":""Point"",""coordinates"":[106.31547921533272,30.183530175945652]}"
1_000000000000000008b2,34,27,22,38,31,188,188,19,32,1,307,25,-151,-92,56,49,-40,32,-3,1,-11,55,1,-17,46,3,24,2,0,14,-187,-79,24,18,-15,-16,-9,1,1.4183207,374.33334,0.112501115,97091.336,0.010069334,126.833336,291.27667,1.3399972,"{""type"":""Point"",""coordinates"":[106.52352749318335,30.224759024285817]}"
1_00000000000000000900,40,32,26,36,29,194,194,21,31,1,480,23,-686,-103,20,6,46,16,-40,3,-13,-668,37,-14,7,15,-12,15,1,11,211,-89,0,8,24,6,-20,0,1.0752574,364.33334,0.12083445,95786.0,0.009189,118.083336,289.17334,0.9906639,"{""type"":""Point"",""coordinates"":[103.6226905165715,30.40451430595233]}"
