NDVI,Freq,Select_num
-19,1,0
-19,18,0
-18,37,0
-18,61,0
-17,85,0
-16,152,0
-16,194,0
-15,266,0
-15,393,0
-14,558,0
-13,772,0
-13,1142,0
-12,1637,1
-11,2487,1
-11,3361,1
-10,4383,2
-9,5363,2
-9,6526,2
-8,7521,3
-8,7977,3
-7,8216,3
-6,7979,3
-6,8631,3
-5,10617,4
-4,16295,6
-4,27815,10
-3,50533,18
-2,81664,29
-2,90214,32
-1,83676,30
0,78561,28
0,75159,27
0,68367,24
0,62914,22
1,66368,23
2,80194,28
2,120211,42
3,267081,94
4,571266,201
4,913438,322
5,1203370,424
6,1076841,380
6,780259,275
7,621852,219
7,524933,185
8,465537,164
9,417547,147
9,376335,133
10,340586,120
11,312378,110
11,298535,105
12,292088,103
13,284916,100
13,269699,95
14,253994,90
15,226517,80
15,203158,72
16,190426,67
16,179430,63
17,169787,60
18,162434,57
18,155675,55
19,150042,53
20,144777,51
20,140455,50
21,135949,48
22,132431,47
22,129633,46
23,127744,45
23,125529,44
24,122298,43
25,119297,42
25,115900,41
26,111057,39
27,105787,37
27,99752,35
28,95850,34
29,90065,32
29,84456,30
30,79867,28
31,76003,27
31,72186,25
32,68420,24
32,66845,24
33,64013,23
34,61967,22
34,60330,21
35,57936,20
36,55042,19
36,52297,18
37,48954,17
38,46222,16
38,44069,16
39,41717,15
39,39599,14
40,37733,13
41,36141,13
41,34654,12
42,33433,12
43,32530,11
43,31859,11
44,30540,11
45,29728,10
45,28703,10
46,27679,10
47,27023,10
47,26229,9
48,25634,9
48,24811,9
49,24438,9
50,23774,8
50,23606,8
51,23780,8
52,23650,8
52,23772,8
53,23740,8
54,23487,8
54,23948,8
55,23876,8
55,23336,8
56,23518,8
57,23316,8
57,23269,8
58,22742,8
59,22548,8
59,22119,8
60,21446,8
61,20932,7
61,20225,7
62,19453,7
63,18693,7
63,17748,6
64,17080,6
64,15862,6
65,14924,5
66,14193,5
66,12739,4
67,11943,4
68,10442,4
68,9309,3
69,8334,3
70,6932,2
70,5859,2
71,4764,2
71,3738,1
72,3042,1
73,2309,1
73,1685,1
74,1349,0
75,924,0
75,641,0
76,426,0
77,282,0
77,180,0
78,93,0
79,41,0
79,29,0
80,9,0
81,7,0
81,4,0
82,0,0
83,1,0
83,0,0
84,1,0
