Region,Year,Sample_size,Accuracy
NCP,1990_1992,0.10,0.6108296390120329
NCP,1990_1992,0.40,0.8062064597846739
NCP,1990_1992,0.70,0.8223559214692844
NCP,1990_1992,1.00,0.8027232425585814
NCP,1990_1992,1.50,0.8609879670677644
NCP,1990_1992,10.00,0.9116529449018366
NCP,1990_1992,15.00,0.9205193160227992
NCP,1990_1992,2.00,0.8872704243191893
NCP,1990_1992,20.00,0.9202026599113363
NCP,1990_1992,25.00,0.922419252691577
NCP,1990_1992,30.00,0.922419252691577
NCP,1990_1992,35.00,0.9262191260291324
NCP,1990_1992,40.00,0.9297023432552248
NCP,1990_1992,45.00,0.9300189993666877
NCP,1990_1992,5.00,0.9103863204559848
NCP,1990_1992,50.00,0.9278024065864471
NCP,1990_1992,55.00,0.9297023432552248
NCP,1990_1992,60.00,0.9335022165927802
NCP,1990_1992,65.00,0.9331855604813173
NCP,1990_1992,70.00,0.935085497150095
NCP,1990_1992,75.00,0.9344521849271691
NCP,1990_1992,80.00,0.9357188093730209
NCP,1990_1992,85.00,0.934768841038632
NCP,1990_1992,90.00,0.9366687777074097
NCP,1990_1992,95.00,0.935085497150095
NCP,1993_1995,0.10,0.6373801916932907
NCP,1993_1995,0.40,0.797923322683706
NCP,1993_1995,0.70,0.8742012779552716
NCP,1993_1995,1.00,0.8586261980830671
NCP,1993_1995,1.50,0.8773961661341853
NCP,1993_1995,10.00,0.9161341853035144
NCP,1993_1995,15.00,0.9153354632587859
NCP,1993_1995,2.00,0.9017571884984026
NCP,1993_1995,20.00,0.922923322683706
NCP,1993_1995,25.00,0.924520766773163
NCP,1993_1995,30.00,0.9241214057507987
NCP,1993_1995,35.00,0.9217252396166135
NCP,1993_1995,40.00,0.9225239616613419
NCP,1993_1995,45.00,0.9293130990415336
NCP,1993_1995,5.00,0.8989616613418531
NCP,1993_1995,50.00,0.9285143769968051
NCP,1993_1995,55.00,0.9285143769968051
NCP,1993_1995,60.00,0.9313099041533547
NCP,1993_1995,65.00,0.9317092651757188
NCP,1993_1995,70.00,0.9361022364217252
NCP,1993_1995,75.00,0.9329073482428115
NCP,1993_1995,80.00,0.9337060702875399
NCP,1993_1995,85.00,0.9341054313099042
NCP,1993_1995,90.00,0.9341054313099042
NCP,1993_1995,95.00,0.9361022364217252
NCP,1996_1998,0.10,0.6949602122015915
NCP,1996_1998,0.40,0.7327586206896551
NCP,1996_1998,0.70,0.8348806366047745
NCP,1996_1998,1.00,0.8607427055702918
NCP,1996_1998,1.50,0.853448275862069
NCP,1996_1998,10.00,0.9094827586206896
NCP,1996_1998,15.00,0.9134615384615384
NCP,1996_1998,2.00,0.863395225464191
NCP,1996_1998,20.00,0.9131299734748011
NCP,1996_1998,25.00,0.9190981432360743
NCP,1996_1998,30.00,0.9247347480106101
NCP,1996_1998,35.00,0.9220822281167109
NCP,1996_1998,40.00,0.9277188328912467
NCP,1996_1998,45.00,0.9237400530503979
NCP,1996_1998,5.00,0.871684350132626
NCP,1996_1998,50.00,0.9300397877984085
NCP,1996_1998,55.00,0.9316976127320955
NCP,1996_1998,60.00,0.9310344827586207
NCP,1996_1998,65.00,0.9323607427055703
NCP,1996_1998,70.00,0.9330238726790451
NCP,1996_1998,75.00,0.9346816976127321
NCP,1996_1998,80.00,0.9363395225464191
NCP,1996_1998,85.00,0.9366710875331565
NCP,1996_1998,90.00,0.9389920424403183
NCP,1996_1998,95.00,0.9336870026525199
NCP,1999_2001,0.10,0.6566181566181566
NCP,1999_2001,0.40,0.7785862785862786
NCP,1999_2001,0.70,0.8205128205128205
NCP,1999_2001,1.00,0.8270963270963271
NCP,1999_2001,1.50,0.8471933471933472
NCP,1999_2001,10.00,0.9133749133749134
