,Region,Year,Accuracy
0,xinan,1990_1992,0.804416403785489
1,xinan,1993_1995,0.8028391167192429
2,xinan,1996_1998,0.807570977917981
3,xinan,1999_2001,0.7945859872611465
4,xinan,2002_2004,0.7996845425867508
5,xinan,2005_2007,0.8091482649842271
6,xinan,2008_2010,0.8028391167192429
7,xinan,2011_2013,0.7996845425867508
8,xinan,2014_2016,0.8091482649842271
9,xinan,2017_2019,0.7902208201892744
