Region,Year,Accuracy
huadong,1990_1992,0.933253873659118
huadong,1993_1995,0.9420871559633027
huadong,1996_1998,0.9410112359550562
huadong,1999_2001,0.9424418604651162
huadong,2002_2004,0.9470246734397678
huadong,2005_2007,0.9457142857142857
huadong,2008_2010,0.935251798561151
huadong,2011_2013,0.9480440097799511
huadong,2014_2016,0.9528735632183908
huadong,2017_2019,0.9518072289156626
