Year,Size,Acc_type,Acc_value
Training_sample_huadong_1993_1995,50.00,acc_RF,0.9498316498316498
Training_sample_huadong_1993_1995,55.00,acc_test,0.9053899082568807
Training_sample_huadong_1993_1995,55.00,acc_RF,0.948270584634221
Training_sample_huadong_1993_1995,60.00,acc_test,0.9105504587155964
Training_sample_huadong_1993_1995,60.00,acc_RF,0.946969696969697
Training_sample_huadong_1993_1995,65.00,acc_test,0.911697247706422
Training_sample_huadong_1993_1995,65.00,acc_RF,0.9474229474229474
Training_sample_huadong_1993_1995,70.00,acc_test,0.9128440366972477
Training_sample_huadong_1993_1995,70.00,acc_RF,0.9482924482924483
Training_sample_huadong_1993_1995,75.00,acc_test,0.9105504587155964
Training_sample_huadong_1993_1995,75.00,acc_RF,0.9508417508417508
Training_sample_huadong_1993_1995,80.00,acc_test,0.9099770642201835
Training_sample_huadong_1993_1995,80.00,acc_RF,0.9501262626262627
Training_sample_huadong_1993_1995,85.00,acc_test,0.9111238532110092
Training_sample_huadong_1993_1995,85.00,acc_RF,0.9479001584786054
Training_sample_huadong_1993_1995,90.00,acc_test,0.9174311926605505
Training_sample_huadong_1993_1995,90.00,acc_RF,0.9513655069210625
Training_sample_huadong_1993_1995,95.00,acc_test,0.9174311926605505
Training_sample_huadong_1993_1995,95.00,acc_RF,0.950381003012582
Training_sample_huadong_1996_1998,0.10,acc_test,0.7421348314606742
Training_sample_huadong_1996_1998,0.10,acc_RF,0.6
Training_sample_huadong_1996_1998,0.40,acc_test,0.7893258426966292
Training_sample_huadong_1996_1998,0.40,acc_RF,0.9565217391304348
Training_sample_huadong_1996_1998,0.70,acc_test,0.7966292134831461
Training_sample_huadong_1996_1998,0.70,acc_RF,0.975609756097561
Training_sample_huadong_1996_1998,1.00,acc_test,0.8061797752808989
Training_sample_huadong_1996_1998,1.00,acc_RF,0.9322033898305084
Training_sample_huadong_1996_1998,1.50,acc_test,0.8337078651685393
Training_sample_huadong_1996_1998,1.50,acc_RF,0.9545454545454546
Training_sample_huadong_1996_1998,10.00,acc_test,0.8522471910112359
Training_sample_huadong_1996_1998,10.00,acc_RF,0.9372881355932203
Training_sample_huadong_1996_1998,15.00,acc_test,0.8792134831460674
Training_sample_huadong_1996_1998,15.00,acc_RF,0.9355932203389831
Training_sample_huadong_1996_1998,2.00,acc_test,0.854494382022472
Training_sample_huadong_1996_1998,2.00,acc_RF,0.9661016949152542
Training_sample_huadong_1996_1998,20.00,acc_test,0.8842696629213483
Training_sample_huadong_1996_1998,20.00,acc_RF,0.9338983050847458
Training_sample_huadong_1996_1998,25.00,acc_test,0.8904494382022472
Training_sample_huadong_1996_1998,25.00,acc_RF,0.9369491525423729
Training_sample_huadong_1996_1998,30.00,acc_test,0.8960674157303371
