Tree,CrossFolds,Accuracy,Year,In_Bands
1,split0_test_score,0.8611221647433347,1990_1992,Spectrum
1,split1_test_score,0.8646496815286624,1990_1992,Spectrum
1,split2_test_score,0.8550955414012739,1990_1992,Spectrum
1,split3_test_score,0.8761942675159236,1990_1992,Spectrum
2,split0_test_score,0.8603263032232391,1990_1992,Spectrum
2,split1_test_score,0.8539012738853503,1990_1992,Spectrum
2,split2_test_score,0.8578821656050956,1990_1992,Spectrum
2,split3_test_score,0.8610668789808917,1990_1992,Spectrum
3,split0_test_score,0.8921607640270592,1990_1992,Spectrum
3,split1_test_score,0.8813694267515924,1990_1992,Spectrum
3,split2_test_score,0.8805732484076433,1990_1992,Spectrum
3,split3_test_score,0.8913216560509554,1990_1992,Spectrum
4,split0_test_score,0.8869876641464385,1990_1992,Spectrum
4,split1_test_score,0.8857484076433121,1990_1992,Spectrum
4,split2_test_score,0.8805732484076433,1990_1992,Spectrum
4,split3_test_score,0.89171974522293,1990_1992,Spectrum
5,split0_test_score,0.8905690409868683,1990_1992,Spectrum
5,split1_test_score,0.8809713375796179,1990_1992,Spectrum
5,split2_test_score,0.8885350318471338,1990_1992,Spectrum
5,split3_test_score,0.8976910828025477,1990_1992,Spectrum
6,split0_test_score,0.9005173099880621,1990_1992,Spectrum
6,split1_test_score,0.8913216560509554,1990_1992,Spectrum
6,split2_test_score,0.8893312101910829,1990_1992,Spectrum
6,split3_test_score,0.8957006369426752,1990_1992,Spectrum
7,split0_test_score,0.8949462793473936,1990_1992,Spectrum
7,split1_test_score,0.8885350318471338,1990_1992,Spectrum
7,split2_test_score,0.8949044585987261,1990_1992,Spectrum
7,split3_test_score,0.8996815286624203,1990_1992,Spectrum
8,split0_test_score,0.8997214484679665,1990_1992,Spectrum
8,split1_test_score,0.8941082802547771,1990_1992,Spectrum
8,split2_test_score,0.8889331210191083,1990_1992,Spectrum
8,split3_test_score,0.8984872611464968,1990_1992,Spectrum
9,split0_test_score,0.9009152407481098,1990_1992,Spectrum
9,split1_test_score,0.8957006369426752,1990_1992,Spectrum
9,split2_test_score,0.8972929936305732,1990_1992,Spectrum
9,split3_test_score,0.9036624203821656,1990_1992,Spectrum
10,split0_test_score,0.8981297254277756,1990_1992,Spectrum
10,split1_test_score,0.8988853503184714,1990_1992,Spectrum
10,split2_test_score,0.9012738853503185,1990_1992,Spectrum
10,split3_test_score,0.8972929936305732,1990_1992,Spectrum
11,split0_test_score,0.8981297254277756,1990_1992,Spectrum
11,split1_test_score,0.8941082802547771,1990_1992,Spectrum
11,split2_test_score,0.8988853503184714,1990_1992,Spectrum
11,split3_test_score,0.8972929936305732,1990_1992,Spectrum
12,split0_test_score,0.8953442101074413,1990_1992,Spectrum
12,split1_test_score,0.8945063694267515,1990_1992,Spectrum
12,split2_test_score,0.8964968152866242,1990_1992,Spectrum
12,split3_test_score,0.9052547770700637,1990_1992,Spectrum
13,split0_test_score,0.8997214484679665,1990_1992,Spectrum
13,split1_test_score,0.9000796178343949,1990_1992,Spectrum
13,split2_test_score,0.901671974522293,1990_1992,Spectrum
13,split3_test_score,0.9008757961783439,1990_1992,Spectrum
14,split0_test_score,0.8949462793473936,1990_1992,Spectrum
14,split1_test_score,0.893312101910828,1990_1992,Spectrum
14,split2_test_score,0.9004777070063694,1990_1992,Spectrum
14,split3_test_score,0.901671974522293,1990_1992,Spectrum
15,split0_test_score,0.9052924791086351,1990_1992,Spectrum
15,split1_test_score,0.8945063694267515,1990_1992,Spectrum
15,split2_test_score,0.8964968152866242,1990_1992,Spectrum
15,split3_test_score,0.9036624203821656,1990_1992,Spectrum
16,split0_test_score,0.8985276561878233,1990_1992,Spectrum
16,split1_test_score,0.9008757961783439,1990_1992,Spectrum
16,split2_test_score,0.8960987261146497,1990_1992,Spectrum
16,split3_test_score,0.9044585987261147,1990_1992,Spectrum
17,split0_test_score,0.9064862713887784,1990_1992,Spectrum
17,split1_test_score,0.9004777070063694,1990_1992,Spectrum
17,split2_test_score,0.8988853503184714,1990_1992,Spectrum
17,split3_test_score,0.8984872611464968,1990_1992,Spectrum
18,split0_test_score,0.9025069637883009,1990_1992,Spectrum
18,split1_test_score,0.8972929936305732,1990_1992,Spectrum
18,split2_test_score,0.8960987261146497,1990_1992,Spectrum
18,split3_test_score,0.902468152866242,1990_1992,Spectrum
19,split0_test_score,0.9025069637883009,1990_1992,Spectrum
19,split1_test_score,0.901671974522293,1990_1992,Spectrum
19,split2_test_score,0.901671974522293,1990_1992,Spectrum
19,split3_test_score,0.9048566878980892,1990_1992,Spectrum
20,split0_test_score,0.9056904098686829,1990_1992,Spectrum
20,split1_test_score,0.8972929936305732,1990_1992,Spectrum
20,split2_test_score,0.9000796178343949,1990_1992,Spectrum
20,split3_test_score,0.9004777070063694,1990_1992,Spectrum
21,split0_test_score,0.9048945483485873,1990_1992,Spectrum
21,split1_test_score,0.9004777070063694,1990_1992,Spectrum
21,split2_test_score,0.9020700636942676,1990_1992,Spectrum
21,split3_test_score,0.9000796178343949,1990_1992,Spectrum
