system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
2_0000000000000000001c,28,25,24,58,42,195,195,28,38,0,1026,29,867,86,-32,-9,41,-59,28,-2,-12,-785,518,-335,95,232,-195,166,1,24,428,172,-75,-11,66,-91,39,0,24.46716,368.5,0.22166778,87906.0,0.012785667,173.5,292.19998,0.94866383,"{""type"":""Point"",""coordinates"":[101.52844695221431,22.26874174270661]}"
2_0000000000000000001e,22,19,11,67,37,190,190,14,37,0,1324,49,-576,20,-67,91,46,36,-39,3,-21,342,45,-9,28,40,-64,43,-2,35,-2737,33,15,-17,49,87,-10,11,14.817493,361.16666,0.17750111,88271.336,0.011902668,198.25,292.57333,1.2586639,"{""type"":""Point"",""coordinates"":[99.89988960637376,22.300811597482994]}"
2_00000000000000000020,26,22,18,56,50,194,194,23,39,0,1354,38,-508,160,-150,70,-108,45,11,3,-9,-207,66,-6,-21,174,-66,6,0,30,-1434,304,-260,110,-13,18,117,6,7.555416,365.75,0.1525011,88810.664,0.011933667,203.25,293.71,1.0906639,"{""type"":""Point"",""coordinates"":[100.62671861898438,22.432595870016527]}"
2_00000000000000000021,24,18,13,52,32,192,192,13,32,0,1142,41,338,40,-104,88,-37,70,-4,0,-20,418,-151,94,-38,20,23,-44,-2,38,256,334,-247,143,54,-34,103,0,17.80391,365.75,0.1525011,88810.664,0.011933667,203.25,293.71,1.0906639,"{""type"":""Point"",""coordinates"":[100.66902656977948,22.4414873175171]}"
2_00000000000000000022,24,19,13,69,39,192,192,14,41,0,903,42,-837,662,-443,20,264,-344,224,3,-19,-252,-197,147,50,-101,162,-106,0,34,-1004,954,-592,-35,469,-580,417,3,28.997072,374.83334,0.18333444,89948.664,0.013226001,190.08333,293.99332,1.0059972,"{""type"":""Point"",""coordinates"":[101.11854408787632,22.338272505432993]}"
2_00000000000000000023,25,23,23,52,50,196,196,26,38,0,1287,31,302,436,-252,60,19,-177,86,0,-10,-586,197,-103,53,195,-33,39,1,27,80,655,-377,50,159,-345,194,0,12.730123,359.91666,0.20166779,85970.664,0.012078667,181.5,291.38,0.96999717,"{""type"":""Point"",""coordinates"":[101.40421193776426,22.40133311253082]}"
2_00000000000000000025,24,20,16,51,33,191,190,15,33,0,1207,33,2547,-20,32,3,-118,32,-27,-8,-14,-2113,-69,-39,-20,96,41,16,7,29,2594,56,109,-74,-75,-6,-55,-8,18.09974,364.91666,0.18000111,88921.336,0.012222334,198.08333,293.18332,1.1979972,"{""type"":""Point"",""coordinates"":[99.91983516538582,22.517755781935243]}"
2_00000000000000000028,24,22,17,71,46,193,193,20,41,0,1248,49,1311,1498,-489,-55,716,-902,387,-6,-19,-513,6,46,-49,247,-113,26,0,44,1973,626,-414,127,-46,-138,194,-6,22.442226,357.58334,0.15666778,86335.336,0.011615667,201.75,292.27332,1.0486639,"{""type"":""Point"",""coordinates"":[100.79299403816634,22.536889784555573]}"
2_0000000000000000002c,25,20,14,61,29,190,190,10,38,0,1158,49,3034,-98,85,1,10,-39,-16,-9,-23,-4,164,-177,106,-65,46,-1,-1,33,2507,50,102,-41,111,-90,38,-7,15.927915,373.66666,0.26666778,88930.664,0.013002667,161.58333,292.38998,1.0066638,"{""type"":""Point"",""coordinates"":[102.13103649127385,22.52098863019899]}"
2_0000000000000000002f,23,19,14,62,42,190,190,18,38,0,1248,47,788,-65,99,-9,-103,29,-3,-1,-17,534,22,-66,17,72,11,26,-2,38,137,-20,179,-84,-88,52,-34,1,27.098278,366.08334,0.19000112,89407.336,0.012335667,195.33333,293.18668,1.1893306,"{""type"":""Point"",""coordinates"":[99.65572706909128,22.724724957330935]}"
2_00000000000000000031,24,20,15,83,46,192,192,17,45,0,1255,57,-184,-29,61,-14,-157,30,-65,2,-21,689,54,-54,38,86,16,28,-3,46,-699,-75,99,-83,-81,8,-57,4,39.644753,367.66666,0.17416778,89418.0,0.012413001,199.75,293.71667,1.1713306,"{""type"":""Point"",""coordinates"":[100.04972877907271,22.656005750996275]}"
2_00000000000000000032,29,27,31,59,53,195,196,35,39,0,939,25,-1439,-36,20,-13,-94,16,-34,6,-4,386,22,-23,19,89,6,24,-1,23,-1763,-45,58,-41,-77,22,-46,7,11.669664,365.91666,0.16166778,89019.336,0.011998334,204.33333,293.88666,1.1313306,"{""type"":""Point"",""coordinates"":[100.37527882878268,22.661664350233096]}"
2_00000000000000000033,22,16,10,43,21,191,191,8,29,0,1411,39,-291,206,-120,4,148,-224,134,1,-24,-97,53,14,-15,31,-27,-21,0,34,-1148,502,-198,-25,385,-449,271,4,16.851357,356.91666,0.1525011,86136.0,0.011547334,204.83333,292.41,1.1013305,"{""type"":""Point"",""coordinates"":[100.82910829759818,22.77296797162816]}"
2_00000000000000000035,26,22,18,58,37,192,192,17,36,0,955,40,-1384,81,-42,13,-46,-35,16,6,-17,2264,3,-23,-12,46,-42,44,-9,36,-1989,263,-90,19,18,-90,38,8,6.6136026,366.41666,0.19500111,87372.664,0.012620667,184.75,292.53998,1.0626638,"{""type"":""Point"",""coordinates"":[101.36297863032304,22.702897657674313]}"
2_00000000000000000036,24,21,15,67,46,194,194,20,40,0,1178,42,-288,-99,1,-19,-30,48,48,2,-15,19,73,-40,3,125,-62,38,-1,26,-2191,-99,23,-38,12,37,42,9,23.794771,364.08334,0.24916777,86435.336,0.012391,163.75,291.05,0.96933055,"{""type"":""Point"",""coordinates"":[101.85211080217869,22.63525309469354]}"
2_00000000000000000037,25,20,16,64,37,193,194,15,38,0,1192,45,-2697,-71,42,30,47,-24,27,11,-16,2243,-16,24,33,-109,69,-79,-9,26,-3672,-48,51,-1,209,-73,107,15,21.251196,372.66666,0.23916778,89052.0,0.012623333,167.66667,292.62332,1.2486639,"{""type"":""Point"",""coordinates"":[102.13885329542052,22.73631416096884]}"
2_00000000000000000039,24,20,16,49,45,191,192,21,31,0,953,36,1558,-711,334,-120,-223,130,-100,-2,-10,-1682,434,-259,88,167,-93,73,5,25,1255,-1601,973,-402,-205,198,-149,0,18.747297,381.08334,0.24666777,90989.336,0.012824667,156.66667,293.41333,1.3113306,"{""type"":""Point"",""coordinates"":[102.86190544943888,22.705323408647388]}"
2_0000000000000000003a,27,22,17,57,41,194,194,18,39,0,425,43,2277,-380,218,-28,-245,128,-91,-5,-14,-652,150,-90,7,107,-73,46,1,32,2100,-513,359,-87,-165,144,-67,-5,11.343851,399.0,0.21000111,95071.336,0.014369334,156.41667,296.03333,1.428664,"{""type"":""Point"",""coordinates"":[103.14730129416257,22.75194776926222]}"
2_0000000000000000003d,23,18,14,39,26,191,191,11,28,0,1710,32,15,-109,1,15,-106,55,-20,1,-12,-330,54,-67,19,57,13,-22,0,29,450,-11,41,-31,-106,82,-61,0,2.9563308,344.66666,0.17250112,84061.336,0.010726667,198.08333,290.16333,1.1459972,"{""type"":""Point"",""coordinates"":[99.8257793468655,22.86890553079305]}"
2_0000000000000000003e,28,23,18,16,7,192,192,4,20,0,671,19,8231,21,-2,-22,-97,-73,25,-30,-11,7753,158,-20,4,12,-134,-3,-30,18,9137,56,-20,-27,-70,-61,21,-33,20.442081,364.16666,0.15916778,88553.336,0.012017667,204.08333,293.57666,1.1413305,"{""type"":""Point"",""coordinates"":[100.33269887282333,22.859742078128214]}"
2_0000000000000000003f,27,24,25,51,58,194,195,36,34,0,1102,25,410,-38,47,16,-45,16,-47,0,-1,-568,3,24,-15,136,4,-1,1,24,-197,-58,43,34,-43,52,-24,1,8.7920475,379.75,0.15916778,92150.664,0.013102001,204.83333,295.88666,1.1313305,"{""type"":""Point"",""coordinates"":[100.38848668610298,22.781319867901264]}"
2_00000000000000000041,24,22,18,66,49,194,194,23,41,0,1389,46,875,-246,123,-71,-131,59,-7,-1,-14,-1802,99,-82,50,95,15,24,5,35,560,-384,246,-160,-85,59,-37,0,26.872183,360.0,0.16166778,86430.0,0.011934667,197.91667,292.41666,1.1859972,"{""type"":""Point"",""coordinates"":[101.22768950436149,22.882648480239766]}"
2_00000000000000000042,26,21,16,61,32,192,192,13,35,0,1034,42,-1775,119,-144,45,78,11,80,7,-17,503,36,73,4,17,-32,-44,-2,33,-771,163,-251,79,-22,47,89,4,28.683441,353.91666,0.19666778,84331.336,0.011563667,178.41667,290.35333,1.1606638,"{""type"":""Point"",""coordinates"":[101.54057570707968,22.80988486924964]}"
2_00000000000000000043,23,21,16,64,47,194,194,20,39,0,1614,49,453,-88,-15,59,-124,49,9,0,-14,-400,97,-16,-74,153,-73,29,0,32,-2750,8,-26,18,83,-3,30,11,34.474613,353.91666,0.21083444,84215.336,0.011509667,172.5,289.96667,1.1673305,"{""type"":""Point"",""coordinates"":[101.72948998230997,22.815008376360048]}"
2_00000000000000000044,25,19,13,64,35,192,192,13,35,0,1070,52,-1872,-161,65,-5,-69,7,-3,9,-19,1591,-17,-5,30,-38,62,-35,-6,35,-3871,-55,51,-50,106,-97,51,16,18.070312,390.58334,0.23416778,93154.0,0.014328667,168.0,295.22665,1.2233305,"{""type"":""Point"",""coordinates"":[102.02836123041719,22.800453870521604]}"
2_00000000000000000046,27,25,21,71,68,197,197,33,44,0,854,47,-241,71,-97,0,-13,-158,68,2,-5,411,-15,46,0,33,82,-16,-1,35,-2319,69,-76,-46,80,-182,121,10,31.152107,395.83334,0.23416777,94930.664,0.013873334,164.41667,296.02332,1.3659972,"{""type"":""Point"",""coordinates"":[102.70182818072124,22.784285170101807]}"
2_00000000000000000047,25,22,18,43,34,192,192,19,31,0,1362,35,2475,-155,-46,70,-114,-17,61,-7,-14,-98,70,-11,5,41,30,9,0,21,-1357,-101,3,-13,76,-107,70,6,9.481703,353.58334,0.16500111,84492.664,0.010495334,168.83333,289.97998,1.6099973,"{""type"":""Point"",""coordinates"":[103.17425210092962,22.937357191064496]}"
2_00000000000000000048,29,23,17,53,36,194,194,15,40,0,492,37,968,-241,-26,49,-231,69,-10,-1,-12,467,51,-13,14,134,-40,-15,-2,21,-541,-238,-13,43,-160,12,43,3,14.518325,410.16666,0.19750112,97218.664,0.015548,146.91667,297.15332,1.5433306,"{""type"":""Point"",""coordinates"":[103.51219845156815,22.881301831721633]}"
2_0000000000000000004a,31,27,23,58,48,200,200,23,42,0,281,33,3370,-117,5,124,-174,81,-55,-10,-10,-460,182,-207,100,-3,48,-43,0,18,2389,-149,57,80,-90,4,-46,-7,25.036003,396.66666,0.18416779,94382.664,0.014260334,147.0,295.18,1.5753306,"{""type"":""Point"",""coordinates"":[103.85364519653366,22.921188490644703]}"
2_0000000000000000004b,28,24,22,52,58,198,198,33,37,0,1028,29,4073,-144,2,45,-207,84,-122,-13,-6,-1316,86,62,-71,259,-139,-40,4,16,2184,-181,-26,111,-229,80,-64,-6,17.550259,366.41666,0.21333444,87758.664,0.011386001,143.5,290.41998,1.4266639,"{""type"":""Point"",""coordinates"":[104.28968731124698,22.850850630627647]}"
2_0000000000000000004e,26,24,24,50,52,193,193,27,38,0,1452,33,1175,-40,-43,-10,-187,39,-21,-3,-8,-1157,45,20,-11,128,6,5,3,35,2144,-20,19,-50,-177,-4,-18,-6,32.774025,352.33334,0.16500111,85872.664,0.011312667,198.41667,291.4,1.1306639,"{""type"":""Point"",""coordinates"":[99.85192305634185,22.958916944657908]}"
2_0000000000000000004f,24,21,17,67,40,195,195,17,40,0,1468,49,-208,-37,78,-14,-62,36,-25,2,-20,-557,68,-71,63,40,-12,-22,1,38,-147,-96,124,-80,32,52,0,2,20.377703,360.5,0.15083444,87918.0,0.0116736675,205.5,293.21667,1.1599972,"{""type"":""Point"",""coordinates"":[100.24160835650355,23.092587416937057]}"
2_00000000000000000050,24,20,14,62,36,191,191,14,31,0,1252,42,480,-21,22,19,-101,75,-4,0,-17,-1350,-82,-10,-9,66,-4,-16,4,34,167,-111,119,-14,-95,159,-26,1,7.0745425,355.66666,0.15166779,86766.664,0.011126,207.66667,292.69666,1.1426638,"{""type"":""Point"",""coordinates"":[100.51029594957998,22.939515395974365]}"
2_00000000000000000052,23,18,13,38,19,191,190,8,27,0,1462,35,250,259,-305,106,6,-89,142,0,-20,-1445,127,-91,69,19,-52,30,4,31,769,197,-180,30,94,-104,113,-1,27.863304,351.58334,0.13916779,84828.0,0.011084667,198.08333,291.24332,1.4073305,"{""type"":""Point"",""coordinates"":[101.2616455588835,23.046774612713953]}"
2_00000000000000000053,23,19,15,44,29,192,192,12,28,0,1286,30,729,-193,34,8,-153,143,-51,-1,-15,-1250,64,-79,29,89,-20,-5,3,29,244,-313,171,-82,-169,203,-72,1,17.846155,360.33334,0.14166778,86730.0,0.011765667,194.66667,292.34332,1.4533305,"{""type"":""Point"",""coordinates"":[101.34249352008351,23.03733915488486]}"
2_00000000000000000055,25,22,20,45,53,195,195,28,32,0,1055,30,-2997,679,-523,98,53,-206,129,10,0,1078,-991,653,-277,108,26,38,-1,28,-2718,-181,158,-157,183,-269,144,11,2.9567618,355.0,0.14750111,85744.664,0.010798333,181.0,290.83,1.6953306,"{""type"":""Point"",""coordinates"":[102.17684929549694,23.039497359794723]}"
2_00000000000000000056,19,15,10,55,29,190,189,13,26,0,1992,38,2351,146,-109,-10,97,-242,221,-7,-11,65,-102,33,45,-85,135,-105,0,22,-252,270,-115,-33,282,-301,280,1,38.66513,348.91666,0.18416777,84266.0,0.009929,175.16667,289.72665,1.5566639,"{""type"":""Point"",""coordinates"":[102.42748198840796,22.948946394702403]}"
2_00000000000000000058,24,20,13,49,29,191,191,14,32,0,969,34,1618,-235,32,33,-83,-66,22,-4,-13,-592,-17,10,16,-52,171,-115,1,20,-1328,122,-52,-78,298,-536,340,5,29.783525,389.41666,0.13916779,93359.336,0.013110334,175.5,295.81332,1.7099973,"{""type"":""Point"",""coordinates"":[103.1413706897615,23.069681014825505]}"
2_00000000000000000059,31,27,24,57,50,198,198,29,41,0,310,33,-1250,-235,132,-118,-84,-22,-39,6,-8,1714,41,-40,63,112,-57,43,-6,19,-1590,-239,155,-138,19,-117,20,7,23.061146,415.83334,0.17166778,98707.336,0.01605,157.08333,298.44666,1.6306639,"{""type"":""Point"",""coordinates"":[103.44913338536927,22.93762919622876]}"
2_0000000000000000005b,24,22,18,58,43,191,190,20,39,0,1855,33,1070,-61,-62,101,-115,19,10,-2,-10,-498,-32,36,-115,104,-28,30,1,23,4218,67,-43,142,-36,-42,0,-14,23.911127,344.91666,0.1675011,82190.0,0.010025334,153.58333,287.53665,1.6299973,"{""type"":""Point"",""coordinates"":[104.09322823703427,23.020363357174393]}"
2_0000000000000000005e,23,19,13,74,39,190,190,14,41,0,1547,57,4740,-66,115,20,-73,118,-101,-15,-23,-1359,-108,46,13,35,49,-18,4,38,2144,34,122,-93,-20,64,-51,-6,15.340124,331.83334,0.17416778,81689.336,0.009523667,192.83333,287.93,1.0439972,"{""type"":""Point"",""coordinates"":[99.09814323696419,23.175589123945898]}"
2_0000000000000000005f,25,22,21,57,58,194,194,33,40,0,1736,39,1292,-58,-24,-43,-126,45,-17,-3,-9,-737,40,-13,-9,106,23,-10,2,30,-679,23,5,-61,-38,-7,0,3,25.081848,336.41666,0.15750112,82474.664,0.009932334,193.41667,288.72,1.0433306,"{""type"":""Point"",""coordinates"":[99.4282772425571,23.18502458177499]}"
2_00000000000000000060,22,17,12,34,14,188,188,5,26,0,1570,36,839,-77,-37,51,-40,16,5,-1,-18,656,-58,-28,49,-28,-28,13,-3,26,-492,-13,28,-37,36,14,16,3,27.599379,346.33334,0.15166779,84520.0,0.010836334,197.83333,290.50333,1.0986639,"{""type"":""Point"",""coordinates"":[99.744391834438,23.150256970861268]}"
2_00000000000000000061,26,23,19,50,36,194,194,18,36,0,1404,30,-479,-81,10,6,-98,35,3,3,-8,-297,19,9,4,11,-1,-1,0,25,-1351,-59,40,-50,-9,0,39,6,10.096576,344.83334,0.14666778,84389.336,0.010471,206.08333,290.93,1.1753305,"{""type"":""Point"",""coordinates"":[100.25185091162331,23.224906781597003]}"
2_00000000000000000062,24,21,17,61,43,194,194,20,37,0,1310,39,1111,-6,-8,-33,-50,-26,-5,-2,-13,-1234,19,-5,-5,95,-3,11,3,40,1834,-10,34,-66,-19,-66,-4,-5,25.489931,352.33334,0.14666778,86282.664,0.010877,207.16667,292.22,1.1926639,"{""type"":""Point"",""coordinates"":[100.40330873800464,23.181252182283778]}"
