system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000001,36,35,33,57,56,199,41,1,25,-1179,-110,-40,37,-32,0,-35,7,24,11,9,1258,75,47,-49,40,-9,0,-6,-1105,-70,-49,9,-22,-12,-1,6,2.1623466,343.08334,0.094167784,101100.0,0.00872,164.5,289.02,2.4453306,"{""type"":""Point"",""coordinates"":[117.48737788115182,33.5740388756406]}"
1_00000000000000000008,33,32,30,68,54,199,37,1,16,204,-108,6,2,-32,-21,-25,0,21,7,8,-596,55,7,-27,14,-34,0,2,-104,-85,-7,-6,-35,-27,-13,1,3.813304,344.33334,0.105001114,101218.0,0.009154334,159.41667,288.65665,2.2799973,"{""type"":""Point"",""coordinates"":[118.34167475647625,33.536577967690604]}"
1_00000000000000000009,35,31,28,63,52,199,35,1,18,-47,-118,-2,48,-15,38,-56,1,23,6,11,-93,73,47,-50,21,-56,-46,0,-935,-94,-26,34,-31,14,-9,6,1.8543341,343.91666,0.105001114,101182.0,0.009171334,159.5,288.58,2.2539973,"{""type"":""Point"",""coordinates"":[118.43060706788616,33.54682052281036]}"
1_0000000000000000000c,30,28,28,53,46,190,32,1,14,112,-94,0,47,-45,-1,-36,0,21,9,8,-707,68,20,-15,41,-35,0,3,-195,-64,-7,31,-31,-17,-15,2,1.4488847,342.75,0.10750111,101174.664,0.009236334,162.33333,288.49,2.1799972,"{""type"":""Point"",""coordinates"":[118.79119227457306,33.59829638537135]}"
1_0000000000000000000d,31,27,24,44,29,194,19,1,20,-88,-127,19,14,-3,-8,9,1,18,9,7,-553,122,0,-29,3,-48,-3,2,-173,-108,15,12,-3,-16,6,1,1.4478194,343.08334,0.11166778,101184.664,0.009306334,162.41667,288.53,2.220664,"{""type"":""Point"",""coordinates"":[118.8979119400852,33.490497617404294]}"
1_0000000000000000001a,38,32,28,47,30,199,18,1,0,339,-73,-29,53,-27,78,-86,0,24,3,11,659,109,20,-82,26,-90,27,-4,44,-50,-19,46,-50,78,-72,0,1.111955,343.25,0.10083445,101598.0,0.009287667,159.75,288.35666,3.2859974,"{""type"":""Point"",""coordinates"":[120.45397322099883,33.48779986126696]}"
1_0000000000000000002d,36,35,34,57,47,200,38,1,134,311,-116,0,0,25,35,-87,0,13,7,2,3051,-59,13,-59,7,-74,-118,-16,71,-101,-10,8,15,30,-55,0,2.162708,346.08334,0.094167784,100136.664,0.008614667,146.58333,288.44333,2.382664,"{""type"":""Point"",""coordinates"":[113.10916937991651,33.62847558130106]}"
1_00000000000000000031,34,31,28,58,44,200,31,1,80,607,-146,-28,46,-16,37,-50,-2,21,5,8,1894,1,-41,-44,-18,-57,-41,-10,1001,-142,-25,44,-12,22,-37,-4,1.4498622,344.33334,0.101667784,100499.336,0.008573,149.5,288.3,2.518664,"{""type"":""Point"",""coordinates"":[113.57970710037927,33.696659695509304]}"
1_00000000000000000032,37,35,36,56,49,203,39,1,72,666,-69,-39,32,13,18,-65,-2,15,7,3,33,0,-13,-49,12,-43,-20,0,528,-61,-44,28,18,11,-43,-2,1.4492017,343.75,0.10583445,100553.336,0.008693334,151.5,288.28665,2.522664,"{""type"":""Point"",""coordinates"":[113.7581112744266,33.63036624014773]}"
1_00000000000000000034,40,36,35,39,34,201,28,1,62,235,-38,-36,10,27,3,-58,0,6,3,-3,-238,-1,-35,-34,-27,-88,-3,0,-595,-14,-31,0,19,-13,-59,3,0.0,343.75,0.11083445,100668.0,0.008825,152.91667,288.31998,2.4099972,"{""type"":""Point"",""coordinates"":[113.99904096344534,33.62901513252854]}"
1_00000000000000000035,35,31,28,50,41,201,27,1,66,451,-104,-48,47,10,20,-53,-1,16,3,4,1042,10,-17,-9,-7,-38,0,-6,80,-91,-50,58,12,12,-26,0,2.1626267,343.83334,0.11333445,100688.0,0.0089340005,153.5,288.31332,2.1833305,"{""type"":""Point"",""coordinates"":[114.12462262641351,33.61635128553675]}"
1_00000000000000000037,37,36,36,62,55,200,44,1,56,104,-66,-38,32,3,41,-74,0,18,9,6,-1526,46,-20,21,-3,-1,29,7,-210,-74,-46,54,-4,19,-53,1,0.0,344.16666,0.11000112,100770.0,0.0089960005,153.58333,288.36,2.0513306,"{""type"":""Point"",""coordinates"":[114.28928385101412,33.65704504175049]}"
1_00000000000000000038,32,28,27,65,48,200,29,1,53,-582,-141,-56,81,-35,32,-83,4,25,4,13,-950,122,-23,-30,69,36,34,4,-539,-114,-92,75,-14,21,-50,4,1.4492183,344.58334,0.100834444,100775.336,0.009057,153.5,288.37,1.8293306,"{""type"":""Point"",""coordinates"":[114.440202126168,33.63198043472908]}"
1_00000000000000000039,38,36,37,59,57,203,42,1,54,190,-101,-41,39,-22,28,-68,0,19,8,7,-1412,97,-55,10,29,20,13,6,131,-72,-74,42,-5,20,-52,0,1.4498678,344.58334,0.09833445,100762.664,0.009073,153.5,288.37,1.7853307,"{""type"":""Point"",""coordinates"":[114.53398593952407,33.69719924673678]}"
1_0000000000000000003a,37,32,30,51,42,201,29,1,55,-162,-51,-65,32,-12,-22,-45,1,14,2,2,-457,94,-43,25,0,28,-2,1,-525,-36,-65,27,-22,-10,-26,3,6.558482,344.75,0.09666778,100778.664,0.009089667,153.41667,288.38998,1.7993306,"{""type"":""Point"",""coordinates"":[114.63881940529058,33.618237485282364]}"
1_0000000000000000003b,32,26,23,46,35,193,25,1,51,664,-129,-62,63,-16,15,-93,-2,21,4,10,-703,85,25,-10,14,5,9,2,-553,-86,-115,27,-56,-4,-31,4,1.4496077,344.91666,0.10166778,100804.0,0.009099,153.33333,288.42334,1.854664,"{""type"":""Point"",""coordinates"":[114.78731192947137,33.67105553726042]}"
