system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000001,40,38,37,63,58,199,40,1,25,194,-106,-23,33,-18,31,-19,0,19,10,5,453,65,32,-66,-5,-20,36,-3,-211,-72,-45,34,-35,44,12,2,2.1623466,342.75,0.12833445,101100.0,0.009081,162.91667,288.79333,2.4299972,"{""type"":""Point"",""coordinates"":[117.48737788115182,33.5740388756406]}"
1_00000000000000000002,42,41,41,69,63,201,49,1,23,659,-83,-15,39,17,2,-32,-2,16,12,4,200,76,38,-64,-13,0,49,-1,830,-60,-27,34,-20,13,-7,-3,1.1121691,342.91666,0.13000111,101089.336,0.009081667,162.08333,288.78333,2.4313307,"{""type"":""Point"",""coordinates"":[117.54935938579472,33.504508112914216]}"
1_00000000000000000003,40,37,36,67,60,200,44,1,24,373,-75,-36,39,4,15,-21,-1,17,13,5,425,77,12,-42,-9,-8,37,-2,466,-62,-41,39,-18,26,-3,-1,2.161902,343.41666,0.13083445,101125.336,0.0091263335,161.41667,288.78665,2.4399972,"{""type"":""Point"",""coordinates"":[117.68761381395683,33.5069338638873]}"
1_00000000000000000008,30,28,24,57,42,191,27,1,16,-744,-113,-27,46,-31,18,-6,5,21,9,8,61,82,14,-24,14,-7,22,0,-414,-97,-34,43,-25,0,11,3,3.813304,344.33334,0.12666778,101218.0,0.009280667,158.25,288.63333,2.2953305,"{""type"":""Point"",""coordinates"":[118.34167475647625,33.536577967690604]}"
1_00000000000000000009,35,32,29,59,40,198,23,1,13,-947,-75,-47,66,7,19,-14,6,18,11,5,-364,60,27,-53,-11,-41,5,1,-737,-60,-52,54,11,6,6,5,3.4594634,344.33334,0.12666778,101218.0,0.009280667,158.25,288.63333,2.2953305,"{""type"":""Point"",""coordinates"":[118.38371516120814,33.51097826854277]}"
1_0000000000000000000c,29,25,22,64,39,195,23,1,14,-130,-119,-20,31,-26,11,-18,1,19,7,6,-864,70,17,-21,45,-18,11,4,-332,-94,-39,31,-22,-3,16,2,1.4488847,343.16666,0.120001115,101175.336,0.009245001,160.75,288.53333,2.0786638,"{""type"":""Point"",""coordinates"":[118.79119227457306,33.59829638537135]}"
1_00000000000000000011,33,30,30,71,50,200,33,1,4,-497,-73,-41,56,32,-12,-28,4,19,10,7,-12,57,33,-20,-48,-74,34,0,-647,-49,-35,47,41,-27,-7,4,1.1130629,342.41666,0.11833445,101346.0,0.009356334,163.5,288.41,2.1539972,"{""type"":""Point"",""coordinates"":[119.43016361912765,33.5737713295774]}"
1_00000000000000000014,31,25,21,52,33,194,18,1,4,-592,-130,-70,93,-15,22,-51,4,25,3,13,-397,64,63,-46,-9,-63,1,1,-393,-105,-70,82,-9,-8,-19,3,2.161847,342.66666,0.12500112,101346.0,0.009498,162.66667,288.28,2.488664,"{""type"":""Point"",""coordinates"":[119.7902092745871,33.498581967614186]}"
1_0000000000000000001a,34,32,29,67,61,200,37,1,0,73,-140,-35,39,-52,48,-37,1,25,7,14,-460,78,42,-55,9,-19,39,2,66,-100,-36,26,-62,25,7,1,1.111955,340.5,0.13500112,101598.0,0.009338667,162.58333,287.91998,3.1759973,"{""type"":""Point"",""coordinates"":[120.45397322099883,33.48779986126696]}"
1_00000000000000000031,36,34,34,56,57,201,46,1,76,38,-60,-31,3,11,0,9,0,13,10,0,53,1,-47,-49,-20,-40,10,0,-32,-50,-39,1,-6,0,27,0,1.4488021,344.33334,0.09916778,100467.336,0.009012334,147.75,288.21667,2.5853307,"{""type"":""Point"",""coordinates"":[113.59398960105345,33.58994002999719]}"
