system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000bb6,28,24,20,41,32,191,18,0,541,1478,-64,-16,18,-76,-10,15,-9,19,5,6,1,75,-17,-21,10,2,0,-1,1660,-33,-48,0,-129,-8,18,-10,31.140583,358.0,0.2541678,97731.336,0.011498667,144.0,290.05,4.2339973,"{""type"":""Point"",""coordinates"":[118.44974107050652,30.101603112290693]}"
000000000000000018e3,42,46,54,68,83,203,72,0,107,-257,-30,-10,18,2,3,-10,2,10,13,0,-107,41,26,-20,48,-32,1,0,16,-23,-9,11,10,-10,-6,0,2.158674,341.41666,0.09250111,99502.664,0.008715667,148.0,287.54666,2.2199972,"{""type"":""Point"",""coordinates"":[113.52688458930017,33.0107964442767]}"
00000000000000001bc9,28,25,19,67,36,197,16,0,82,1038,-138,0,122,-17,76,-176,-5,28,2,13,-733,102,7,-73,-18,-60,57,3,1441,-122,-16,112,-18,54,-171,-8,1.101428,345.33334,0.109167784,100398.664,0.009016667,148.0,288.23666,2.3746638,"{""type"":""Point"",""coordinates"":[114.09875092210142,32.65048324275405]}"
00000000000000000939,31,29,28,62,53,200,34,1,86,237,-124,-13,44,-17,4,-24,0,19,5,7,16,52,4,-11,-10,-33,-6,-1,587,-122,-10,32,-13,-8,-18,-2,1.4452097,341.5,0.09333445,100310.664,0.008763667,149.0,287.62332,2.1313305,"{""type"":""Point"",""coordinates"":[113.8252162861799,33.22396822923773]}"
000000000000000013ce,33,32,33,69,60,201,42,1,90,56,-122,-16,45,-23,13,-20,1,20,5,8,217,65,0,-4,0,-34,-2,-2,285,-117,-10,32,-20,-5,-7,0,4.7966113,341.5,0.09333445,100310.664,0.008763667,149.0,287.62332,2.1313305,"{""type"":""Point"",""coordinates"":[113.84407828363598,33.23717162745698]}"
00000000000000001547,29,28,24,67,43,200,25,0,86,1629,-64,-33,79,32,30,-113,-9,27,0,13,-1190,19,20,-63,-63,-35,82,7,1498,-89,-28,69,17,14,-96,-8,0.0,341.5,0.09333445,100310.664,0.008763667,149.0,287.62332,2.1313305,"{""type"":""Point"",""coordinates"":[113.89016309302333,33.26573662880536]}"
000000000000000016ed,33,38,40,61,64,200,42,0,150,3,-92,-28,31,-33,50,-34,1,14,12,2,71,25,2,-33,11,-38,15,0,280,-84,-20,18,-41,41,-27,-1,1.8543341,341.75,0.083334446,99600.664,0.008801667,149.0,287.61002,2.096664,"{""type"":""Point"",""coordinates"":[113.0501487183731,33.21723052754597]}"
00000000000000000910,34,36,39,64,72,200,53,1,110,-327,-35,-24,0,28,62,-49,3,15,12,3,-287,59,-37,53,-68,-55,-35,1,70,-32,-34,27,-1,34,-57,0,2.3837996,345.25,0.11000111,100000.664,0.009036,149.0,288.28333,2.4719973,"{""type"":""Point"",""coordinates"":[113.87803433815796,32.41925655762761]}"
00000000000000001b69,37,32,30,29,16,183,10,0,89,-681,-52,1,-9,30,0,24,5,3,1,-5,-979,30,4,-2,5,-45,84,5,-697,-44,-4,0,42,2,16,5,6.3627844,345.25,0.11000111,100000.664,0.009036,149.0,288.28333,2.4719973,"{""type"":""Point"",""coordinates"":[113.85405329269254,32.41655880149028]}"
00000000000000001e7c,31,31,31,64,61,201,40,0,99,633,-76,-35,43,-8,11,-50,-3,16,9,4,-199,65,12,6,-4,-37,-27,0,943,-67,-54,43,-14,0,-45,-5,1.4378675,345.25,0.11000111,100000.664,0.009036,149.0,288.28333,2.4719973,"{""type"":""Point"",""coordinates"":[113.80958267788652,32.45213350969467]}"
00000000000000001dc6,28,26,22,66,40,199,24,0,82,480,-190,-5,45,-9,-11,-2,-1,23,0,11,-339,87,4,-15,9,-17,-20,1,950,-173,-3,32,-13,-28,7,-5,0.0,341.83334,0.090834446,100426.664,0.008747667,149.0,287.68332,2.2066638,"{""type"":""Point"",""coordinates"":[113.6492334040046,33.36545104656251]}"
00000000000000001543,28,26,21,77,43,199,23,0,72,1072,-99,-42,38,46,49,-141,-5,25,5,11,-481,95,39,-49,-69,-21,27,2,978,-90,-44,53,13,37,-130,-5,1.8543341,346.25,0.11750112,100540.0,0.009134,149.0,288.47665,2.4539974,"{""type"":""Point"",""coordinates"":[114.36905716886027,32.454291714604544]}"
00000000000000001770,28,27,22,74,47,200,26,0,71,1067,-106,-65,47,18,65,-135,-5,25,6,11,-178,104,42,-37,-61,-40,44,0,872,-91,-61,59,-3,41,-121,-4,0.0,346.25,0.11750112,100540.0,0.009134,149.0,288.47665,2.4539974,"{""type"":""Point"",""coordinates"":[114.36204746200424,32.46803466405126]}"
00000000000000001533,32,31,30,59,46,200,28,0,108,1411,-81,-80,53,12,9,-53,-8,16,2,4,-196,-1,91,-28,-9,-24,31,0,1547,-74,-74,42,-9,-6,-26,-10,1.1102847,341.25,0.087501116,99843.336,0.008714001,149.0,287.58,2.1859972,"{""type"":""Point"",""coordinates"":[113.27706345278084,33.35709469118835]}"
00000000000000000a9e,30,27,23,66,39,199,22,0,65,1564,-50,-34,130,2,28,-154,-9,28,3,14,-1920,23,64,-62,-49,6,48,12,985,-54,-36,108,5,17,-139,-5,0.0,342.83334,0.09583445,100634.0,0.008867667,149.0,287.8333,2.0579972,"{""type"":""Point"",""coordinates"":[114.04835862109644,33.1137437102976]}"
000000000000000013db,30,27,24,60,44,200,27,1,66,592,-137,1,69,-19,2,-66,-2,20,7,9,-633,91,20,-11,13,4,-10,3,522,-136,-4,62,-13,-7,-65,-2,1.1070354,342.83334,0.09583445,100634.0,0.008867667,149.0,287.8333,2.0579972,"{""type"":""Point"",""coordinates"":[114.06182956537889,33.10080785814156]}"
0000000000000000190c,32,31,30,65,53,201,28,0,90,1114,-137,-41,69,-31,58,-88,-6,20,4,6,-1280,39,16,-42,-64,-71,85,8,1554,-120,-41,50,-38,35,-69,-10,0.92740995,350.16666,0.08500112,100448.664,0.009519667,150.0,288.84,1.6326638,"{""type"":""Point"",""coordinates"":[112.31119540999815,32.36966689481224]}"
00000000000000001a49,32,33,32,68,65,200,43,0,83,1593,-116,-25,41,-18,56,-74,-10,19,5,5,-1310,48,19,-56,-61,-63,54,8,1830,-108,-32,31,-29,29,-49,-12,0.0,349.41666,0.08416778,100375.336,0.009459667,150.0,288.71332,1.6333306,"{""type"":""Point"",""coordinates"":[112.35889441396685,32.442162959739164]}"
00000000000000001b94,30,26,22,54,49,200,24,0,90,1423,-166,-37,35,-73,96,-95,-8,22,3,8,-752,48,39,-49,-27,-82,57,4,1693,-141,-48,36,-67,58,-64,-10,2.874469,349.41666,0.08416778,100375.336,0.009459667,150.0,288.71332,1.6333306,"{""type"":""Point"",""coordinates"":[112.30391815707893,32.481510067434776]}"
