system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000001,34,32,29,53,47,200,36,1,90,12,-123,-97,-2,24,-7,-26,12,1,-12,-550,7,-5,35,16,-36,-15,1,9,-427,-103,-7,21,-8,-22,-3,2,2.1331038,366.33334,0.21916778,99526.664,0.009847667,153.58333,291.66333,1.5406638,"{""type"":""Point"",""coordinates"":[117.90239979349923,28.478436819623752]}"
1_00000000000000000002,37,32,28,35,30,197,24,1,78,7,516,-51,-6,1,-18,-19,0,-1,-10,-1769,-6,-12,4,25,-20,-22,6,6,595,-67,-5,3,-21,-18,-2,-2,2.7802885,370.66666,0.21666779,100416.664,0.010205334,153.33333,292.3033,1.5239972,"{""type"":""Point"",""coordinates"":[117.98863880787285,28.470080464249595]}"
1_0000000000000000000e,33,31,27,53,43,200,29,1,148,23,-83,-88,-29,19,-43,1,2,1,-13,83,73,10,15,17,-20,15,0,18,69,-87,-37,28,-32,-7,38,0,3.488566,351.33334,0.18000111,95511.336,0.009101333,153.5,289.15,2.0593305,"{""type"":""Point"",""coordinates"":[119.40941096282491,28.53233397405675]}"
1_0000000000000000001c,30,28,24,56,41,197,27,1,12,25,906,-83,-27,-8,-33,-27,4,-2,-10,-171,44,28,-13,34,-12,-4,0,20,610,-67,-46,-33,-26,-20,-12,-1,2.1123946,366.58334,0.20166779,100037.336,0.0109003335,148.25,290.88666,1.2373306,"{""type"":""Point"",""coordinates"":[121.07354301686985,28.6285435383859]}"
1_0000000000000000001e,41,35,31,37,41,199,37,1,8,8,772,-22,-3,1,-7,-6,-16,-2,-2,1533,20,-33,-17,13,-15,-11,-6,6,506,-12,-13,0,-5,-2,-17,-1,2.3068628,369.58334,0.19666779,101232.0,0.011149334,152.25,291.48666,1.5799972,"{""type"":""Point"",""coordinates"":[121.26461103790898,28.638786093505665]}"
1_00000000000000000020,34,29,24,35,24,197,17,1,3,16,-769,-44,-33,-13,-38,0,-8,3,-11,-16,42,-28,-7,24,-24,-18,0,14,-531,-42,-35,-23,-34,1,-18,2,2.1332834,368.66666,0.18416777,101268.0,0.011224001,156.91667,291.46667,2.716664,"{""type"":""Point"",""coordinates"":[121.52737248568538,28.514818625118817]}"
1_00000000000000000028,30,30,29,52,52,194,36,1,548,20,-1306,-88,39,-18,-20,32,-45,6,-6,-1690,153,10,-5,14,-24,1,6,18,-1420,-96,53,-23,4,-15,-22,6,11.740533,340.16666,0.20750111,92610.664,0.008823,149.66667,287.05,1.4199972,"{""type"":""Point"",""coordinates"":[115.0508760154374,28.783234213030987]}"
1_0000000000000000002b,36,30,26,32,30,194,25,1,49,8,266,-20,-18,-4,-17,11,-17,0,-8,-1365,26,12,-22,28,-39,11,5,7,-416,-29,-11,-6,-6,-2,-9,1,0.92740995,368.66666,0.20833445,100366.664,0.010772667,152.41667,291.76334,1.6939973,"{""type"":""Point"",""coordinates"":[115.38451041535731,28.708851948358465]}"
1_0000000000000000002c,37,34,31,65,51,199,33,1,43,20,45,-123,28,-10,-44,-6,25,0,-9,-577,113,-17,-19,25,3,-15,2,17,-274,-96,12,-10,-33,-10,14,1,3.6685889,370.0,0.20500112,100757.336,0.010825334,153.58333,292.06,1.7879972,"{""type"":""Point"",""coordinates"":[115.49096253480617,28.65657344760786]}"
1_0000000000000000002f,42,37,36,41,39,200,33,1,22,3,182,-37,-3,4,-8,-10,-2,0,-5,396,4,-16,-22,4,11,-14,-1,3,169,-33,-6,4,-8,-9,-3,0,2.133934,369.25,0.18333444,101184.664,0.010752,158.58333,292.13,1.9713305,"{""type"":""Point"",""coordinates"":[115.86609778823049,28.645791341260633]}"
1_00000000000000000030,42,39,36,69,54,200,33,1,21,13,1313,-102,-3,21,-42,-23,21,-4,-9,354,52,-28,-11,13,-3,11,-1,10,1338,-84,14,1,-21,-34,3,-4,2.3079386,369.75,0.18583444,101134.664,0.010945333,158.08333,292.17,2.2219973,"{""type"":""Point"",""coordinates"":[115.96365400107778,28.697267203821614]}"
1_00000000000000000036,38,34,31,60,49,201,33,1,22,16,-5,-96,-24,21,-61,1,35,0,-14,1056,49,-52,-21,37,15,7,-4,12,325,-62,-31,4,-52,-1,31,0,3.6699195,369.5,0.18500112,101150.0,0.010501001,151.25,291.79666,1.7506639,"{""type"":""Point"",""coordinates"":[116.695869607761,28.70777730500458]}"
1_00000000000000000037,29,25,21,53,42,198,25,1,46,22,801,-71,-1,-8,-90,25,13,-2,-13,1938,51,-53,-49,42,25,-3,-8,18,1982,-33,-10,-26,-69,17,3,-7,12.67778,367.16666,0.19250111,100226.0,0.010270334,151.0,291.42667,1.6126639,"{""type"":""Point"",""coordinates"":[116.79908887894615,28.647409994943025]}"
1_00000000000000000039,34,32,29,59,45,201,31,1,69,19,189,-124,-12,9,-58,4,17,0,-13,978,75,-13,-40,15,-11,-12,-4,16,63,-108,-9,0,-53,-3,6,0,1.4061083,367.16666,0.20416778,100153.336,0.010198334,151.0,291.48666,1.2859972,"{""type"":""Point"",""coordinates"":[117.02869691039015,28.681633595528226]}"
1_00000000000000000043,36,32,30,39,37,200,31,1,103,9,-434,-69,-14,7,-7,9,-3,2,-11,-576,-30,-9,17,10,-16,9,1,7,-340,-76,-16,4,0,-10,-3,1,5.6073136,364.91666,0.21000111,99855.336,0.010149667,155.33333,291.29333,1.9753306,"{""type"":""Point"",""coordinates"":[118.23630173948224,28.672470142863396]}"
1_00000000000000000044,30,27,24,55,44,196,31,1,140,21,486,-161,10,-3,-21,-37,8,-1,-12,-1065,30,-23,-1,29,-17,5,3,15,297,-173,10,-6,-6,-50,-7,0,6.3249745,362.58334,0.20916778,99376.664,0.010216334,156.33333,290.90668,2.2793305,"{""type"":""Point"",""coordinates"":[118.41928986941254,28.805601063915077]}"
1_00000000000000000047,30,26,24,42,39,193,29,1,294,18,555,-124,14,16,-36,3,4,-1,-14,-121,-21,-24,10,10,-33,-12,0,15,510,-121,-1,22,-29,-14,-2,-1,14.915268,349.91666,0.2025011,96002.0,0.009604334,157.5,288.85666,2.6533306,"{""type"":""Point"",""coordinates"":[118.71249805918185,28.701579154540287]}"
1_00000000000000000051,30,26,22,34,32,195,25,1,208,14,285,-69,-19,5,-31,6,-18,0,-8,162,40,-16,16,10,-11,32,0,13,553,-76,-36,17,-34,-14,12,-1,3.8517568,357.25,0.17500111,97048.664,0.009241334,151.5,289.95334,1.4359972,"{""type"":""Point"",""coordinates"":[119.90797859250965,28.649835745916103]}"
1_0000000000000000005d,38,32,29,30,27,198,23,1,12,3,706,-35,-6,-2,6,-5,-5,-2,-5,94,-4,-19,-32,19,-10,-11,0,2,550,-28,-14,-1,7,0,-8,-2,0.0,369.58334,0.19666779,101232.0,0.011149334,152.25,291.48666,1.5799972,"{""type"":""Point"",""coordinates"":[121.25814534138146,28.644444692742493]}"
