system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
2_000000000000000002dd,27,24,19,70,40,190,17,0,340,31,1069,-302,43,-14,-145,44,22,-4,-25,224,-75,-158,-62,-19,-99,-55,-2,22,1134,-297,12,15,-149,54,20,-4,5.985686,286.16666,0.08083445,97492.664,0.0057143336,146.08333,278.38,2.414664,"{""type"":""Point"",""coordinates"":[127.1633105709546,43.23191666527796]}"
2_000000000000000002de,24,21,14,70,33,190,14,0,674,27,1094,-265,71,39,-100,18,42,-4,-27,414,54,-111,-17,-74,-85,22,-3,20,940,-286,66,42,-116,43,27,-3,18.550322,281.33334,0.076667786,96420.664,0.005512334,148.33333,277.74332,2.4933307,"{""type"":""Point"",""coordinates"":[127.32689269310023,43.366126688784576]}"
2_000000000000000002e0,26,21,17,52,32,186,14,0,511,28,656,-270,111,20,-105,45,7,-2,-27,-568,4,-112,2,-20,-96,-6,1,19,755,-267,55,29,-109,42,29,-2,2.7802885,268.91666,0.07416778,92300.664,0.0049033337,149.91667,275.50333,2.5073307,"{""type"":""Point"",""coordinates"":[127.63330874018989,43.389033090896135]}"
2_000000000000000002e1,29,22,21,45,23,172,13,0,1000,22,-98,-131,16,50,-64,21,44,2,-28,-674,-36,-49,12,-10,-18,-9,2,17,617,-153,-15,57,-95,3,61,-2,11.355971,261.66666,0.07333445,89364.0,0.0045043337,152.41667,274.11,2.312664,"{""type"":""Point"",""coordinates"":[127.79042516580806,43.29874967186701]}"
2_000000000000000002e2,25,22,18,66,48,193,22,0,575,17,591,-139,40,41,-109,122,-62,-2,-22,39,-129,-163,-77,77,-109,30,-1,11,554,-147,15,40,-106,111,-50,-2,4.493703,275.33334,0.07500111,94306.664,0.0051380005,151.66667,277.06,2.312664,"{""type"":""Point"",""coordinates"":[128.07986095608618,43.37475059022193]}"
2_000000000000000002e6,22,20,15,72,42,190,17,0,657,26,289,-211,90,10,-55,17,47,0,-28,-833,-16,-149,-49,-14,-52,-46,3,17,862,-195,29,24,-95,30,42,-3,19.737202,269.25,0.06750111,92516.664,0.0046640006,150.16667,275.79,2.0066638,"{""type"":""Point"",""coordinates"":[128.85061657317428,43.31519037745107]}"
2_000000000000000002e7,24,19,16,51,35,184,15,0,629,23,-315,-297,107,6,-55,22,45,3,-25,-707,55,-139,-37,13,-29,-47,2,18,269,-280,41,26,-82,32,40,0,15.3810005,274.0,0.06750111,94190.0,0.0049006674,151.0,276.8033,2.024664,"{""type"":""Point"",""coordinates"":[128.89966222566113,43.2968634721214]}"
2_000000000000000002e8,29,21,18,48,19,173,10,0,804,27,1241,-78,76,-20,-43,52,3,-5,-29,-1273,-69,-85,21,-1,-4,3,5,20,1672,-106,4,-12,-74,45,9,-7,4.493749,268.5,0.06416778,92599.336,0.004597667,149.83333,275.60666,1.8993306,"{""type"":""Point"",""coordinates"":[129.0699865085996,43.37663678996755]}"
2_000000000000000002ea,26,24,19,63,39,190,20,0,191,20,-135,-178,50,14,-118,86,-11,2,-27,420,-51,-186,-96,-1,-101,-40,-3,13,102,-183,16,0,-128,81,-7,0,2.249589,280.41666,0.058334447,98152.664,0.005164667,148.91667,278.07666,1.484664,"{""type"":""Point"",""coordinates"":[129.5903769788399,43.31384372893292]}"
2_000000000000000002ee,35,26,23,45,18,169,10,0,1092,22,158,-85,42,-21,-60,56,0,0,-30,-903,-92,-88,39,-19,-3,8,3,18,660,-101,-17,-25,-109,50,26,-2,7.811865,264.0,0.06416778,91957.336,0.0044373334,149.75,274.89334,1.5099972,"{""type"":""Point"",""coordinates"":[130.2910667410752,43.23703571328731]}"
2_000000000000000002ef,33,24,21,33,17,170,11,0,801,24,-507,-323,82,-23,-63,52,24,4,-23,-972,-15,-157,4,25,-50,7,3,19,-411,-315,40,-6,-109,78,17,3,17.027279,268.66666,0.065001115,93301.336,0.004673334,149.41667,275.93332,1.5193305,"{""type"":""Point"",""coordinates"":[130.48321386456925,43.31842322571481]}"
2_000000000000000002f0,24,22,17,70,40,190,15,0,598,26,-122,-243,87,4,-102,71,5,2,-27,-886,-67,-175,34,42,-116,-50,3,19,-233,-238,23,10,-119,63,6,2,9.953629,264.16666,0.06750111,91725.336,0.0044923336,149.58333,275.00998,1.6493306,"{""type"":""Point"",""coordinates"":[130.6276619840946,43.30495228143235]}"
2_000000000000000002f1,29,24,22,47,34,180,17,0,505,26,886,-189,88,2,-72,70,-1,-3,-23,-550,-24,-104,-10,3,-64,-15,1,20,778,-157,21,9,-90,63,-2,-2,17.62667,273.33334,0.07083445,95389.336,0.004959667,149.41667,276.94998,1.790664,"{""type"":""Point"",""coordinates"":[130.85754202070288,43.37232483924886]}"
2_000000000000000002f2,28,24,19,71,47,187,18,0,432,28,-376,-107,18,46,-74,16,56,4,-17,-450,29,-133,-54,35,-38,-87,1,21,-276,-97,-25,31,-84,20,37,3,17.979252,266.83334,0.07333445,93224.664,0.004649667,149.25,275.62665,1.9333307,"{""type"":""Point"",""coordinates"":[130.97585088985292,43.33163108303513]}"
2_000000000000000002f3,28,24,22,36,31,173,14,0,507,22,-760,-243,37,3,-81,43,51,5,-21,-485,2,-113,-41,-5,-59,-41,1,16,-621,-218,-6,4,-108,49,46,4,6.862138,270.91666,0.07333445,94891.336,0.004830334,148.91667,276.49,2.0053306,"{""type"":""Point"",""coordinates"":[131.13727926618975,43.35884943586535]}"
2_000000000000000002f5,31,29,31,55,62,199,45,0,130,16,-3,-102,26,14,-64,58,-17,1,-3,1233,-23,-65,-63,68,-82,30,-7,14,455,-107,11,10,-69,47,-8,-1,3.8300564,285.08334,0.05416778,99711.336,0.005799667,161.16667,280.0533,2.7633307,"{""type"":""Point"",""coordinates"":[123.59681898908435,43.49790650221707]}"
2_000000000000000002f7,26,24,20,55,26,192,13,0,141,14,-325,-84,10,22,-116,112,-43,2,-14,1085,89,-103,-51,55,-100,-57,-7,11,-53,-92,-14,31,-129,106,-42,1,3.9382136,287.33334,0.06666778,99435.336,0.0058403336,160.0,280.51334,2.7066638,"{""type"":""Point"",""coordinates"":[124.04525740472624,43.46718775505987]}"
2_000000000000000002f8,30,26,22,49,41,192,23,0,176,17,250,-155,67,8,-102,122,-54,0,-9,551,41,-90,-33,73,-172,8,-3,14,683,-158,45,2,-117,111,-55,-2,1.8543341,287.33334,0.07166778,99198.0,0.0057606674,159.41667,280.6,2.7519972,"{""type"":""Point"",""coordinates"":[124.24144893287576,43.4370041000291]}"
