system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000052a,36,202,200,32,28,28,75,54,39,25,0,1,48,51,-180,-5,33,-85,39,-20,0,33,-10,16,128,87,0,-34,10,-40,-16,0,1309,-154,-29,14,-85,-12,4,-3,3.0061224,338.0,0.058751114,101130.0,0.008365001,158.875,288.38998,2.4009972,"{""type"":""Point"",""coordinates"":[115.66074280741613,35.906786378043435]}"
00000000000000001214,42,204,201,40,38,41,66,63,56,41,0,1,65,541,-112,17,17,-39,8,-40,-1,18,-6,8,-878,52,-17,-2,16,-15,7,2,332,-64,-11,19,-30,0,-12,0,2.2021706,330.125,0.058751114,101011.0,0.0075125005,141.625,286.88,2.1929972,"{""type"":""Point"",""coordinates"":[115.01638040968794,38.725161198873906]}"
000000000000000012a2,41,203,200,38,37,38,72,58,47,40,0,1,59,1146,-150,6,39,-80,33,-61,-2,25,-9,11,-534,92,-33,-20,22,-16,-1,1,869,-77,-27,25,-57,7,-26,-2,1.1887773,330.125,0.058751114,101011.0,0.0075125005,141.625,286.88,2.1929972,"{""type"":""Point"",""coordinates"":[115.07324286632148,38.73081979811073]}"
00000000000000001a6b,35,201,199,29,25,21,74,48,26,22,0,0,128,1866,-236,-3,72,-146,46,-29,-4,32,-9,15,156,172,-3,-31,55,-18,-34,0,2355,-161,-38,78,-145,37,-16,-6,2.192814,330.125,0.058751114,99463.0,0.007188501,152.75,287.925,2.6769972,"{""type"":""Point"",""coordinates"":[114.38091391856139,37.64772198863294]}"
0000000000000000157c,32,200,199,27,24,20,85,41,23,23,0,0,79,1227,-138,-12,31,-69,-11,-90,-2,43,-16,19,-1482,45,24,-15,8,7,28,4,1640,-92,-19,20,-68,-23,-81,-4,2.2581418,346.125,0.058751114,100569.0,0.0084175,159.125,289.87,1.9189973,"{""type"":""Point"",""coordinates"":[113.98502600883434,34.81102026247281]}"
0000000000000000195f,35,201,199,29,25,20,92,43,24,23,0,0,79,1700,-154,1,61,-82,-10,-125,-4,42,-16,18,-1365,48,-8,-28,2,-2,63,3,1709,-106,-9,34,-79,-27,-109,-4,1.4613628,346.125,0.058751114,100569.0,0.0084175,159.125,289.87,1.9189973,"{""type"":""Point"",""coordinates"":[113.97370881036069,34.81587176441896]}"
000000000000000019be,36,202,199,30,26,19,93,41,16,23,0,0,82,2365,-137,32,92,13,42,-205,-6,46,-18,20,-1556,30,-27,-98,-89,-25,105,4,2318,-87,16,45,-3,10,-169,-6,0.0,346.125,0.058751114,100569.0,0.0084175,159.125,289.87,1.9189973,"{""type"":""Point"",""coordinates"":[113.95026285702167,34.83689196678491]}"
00000000000000001997,35,200,198,29,23,19,86,36,18,21,0,0,49,933,-123,-56,183,37,115,-184,-1,49,-15,23,-216,63,56,-160,-85,-67,118,0,1190,-95,-57,126,7,64,-114,-2,1.1451086,338.25,0.058751114,101028.0,0.0083255,157.625,288.39502,2.4219973,"{""type"":""Point"",""coordinates"":[115.55564179558642,35.91864312774455]}"
0000000000000000081c,47,205,203,44,41,56,76,86,78,46,0,1,30,-826,-72,-3,29,-9,10,-20,3,14,-2,8,-1246,12,-10,-8,-1,-15,5,4,-68,-66,-12,26,-19,4,-11,0,0.92740995,332.375,0.058751114,100682.0,0.007688001,154.75,288.085,2.9499972,"{""type"":""Point"",""coordinates"":[114.93580445365218,37.315162232066946]}"
00000000000000001240,43,203,201,38,36,44,67,81,75,39,0,1,40,777,-52,-13,26,28,1,-41,-1,20,0,10,190,-35,-12,-11,-57,-7,-21,0,454,-52,-27,31,-2,-5,-27,0,2.1854837,334.375,0.058751114,100940.0,0.008127,156.25,287.96997,2.7849975,"{""type"":""Point"",""coordinates"":[115.59822175154578,36.75272689799371]}"
00000000000000001292,41,203,201,36,33,37,67,74,64,36,0,1,41,-387,-88,-14,24,-3,16,-33,2,22,-1,11,-120,0,-23,-19,-39,-22,-19,0,147,-90,-29,31,-27,-3,-5,0,1.4823816,334.375,0.058751114,100940.0,0.008127,156.25,287.96997,2.7849975,"{""type"":""Point"",""coordinates"":[115.53785444148424,36.70044839724312]}"
00000000000000001752,30,197,195,26,24,19,74,58,33,21,0,0,668,407,-224,34,56,-117,54,14,0,37,-8,17,966,203,-61,-18,26,-73,-23,-3,52,-163,-12,52,-110,2,57,0,24.56721,282.625,0.058751114,92532.0,0.0051365,163.125,280.145,2.8319974,"{""type"":""Point"",""coordinates"":[116.81040607741978,40.92558041841469]}"
0000000000000000084c,46,205,203,42,40,47,71,70,59,43,0,1,31,184,-81,-6,23,-21,2,-9,0,16,-4,8,-949,31,-12,-5,7,-28,0,2,645,-71,-18,22,-31,-6,1,-1,0.92740995,332.625,0.058751114,100583.0,0.0077310004,154.5,288.075,3.0359974,"{""type"":""Point"",""coordinates"":[114.9398443992066,37.27123562758945]}"
00000000000000001260,47,206,204,44,42,49,79,76,66,52,0,1,33,-173,-99,-4,20,-58,8,2,1,18,-4,9,-955,37,5,-3,52,-37,-3,2,182,-82,-14,14,-48,-3,8,0,1.4887952,332.625,0.058751114,100583.0,0.0077310004,154.5,288.075,3.0359974,"{""type"":""Point"",""coordinates"":[114.98512211130328,37.23916577281307]}"
0000000000000000186a,36,200,200,29,23,18,83,41,20,21,0,0,29,1556,-161,-83,176,-19,14,-130,-3,45,-15,20,-1778,103,55,-141,-32,-30,73,5,1606,-132,-72,141,-40,1,-78,-4,0.92740995,332.625,0.058751114,100583.0,0.0077310004,154.5,288.075,3.0359974,"{""type"":""Point"",""coordinates"":[114.90076929667526,37.242398621076816]}"
00000000000000001408,44,203,201,43,42,41,71,69,57,42,0,1,81,-1162,-141,0,-4,-46,57,-13,4,25,-7,10,89,28,-4,-12,21,-53,24,0,-739,-81,-12,-11,-32,8,8,2,1.1289581,346.625,0.058751114,100616.0,0.008451,157.625,289.825,1.9389973,"{""type"":""Point"",""coordinates"":[114.02733395962943,34.77086605748653]}"
00000000000000001d17,35,199,197,30,26,22,94,46,25,22,0,0,37,2701,-282,-22,100,-80,33,-50,-7,49,-15,24,-1887,141,11,-100,-1,-37,-12,5,2192,-217,-43,75,-97,-4,-19,-5,0.0,336.875,0.058751114,101148.0,0.008214001,155.25,288.235,2.6089973,"{""type"":""Point"",""coordinates"":[115.61708374900188,36.466795961143596]}"
0000000000000000120c,44,207,205,40,37,55,64,91,87,46,0,1,15,246,-56,-11,23,-8,40,-29,0,8,-2,4,168,6,14,0,-18,-73,27,0,345,-46,-7,19,-14,10,-12,0,2.5326052,327.0,0.058751114,101468.0,0.0076815,163.625,287.485,2.3339972,"{""type"":""Point"",""coordinates"":[116.12696857716021,38.137393711716044]}"
00000000000000001238,43,207,204,38,34,35,58,44,38,31,0,1,20,-673,-87,-15,26,-32,-8,3,2,18,-13,7,-13,53,0,9,11,-29,2,0,124,-82,-19,18,-46,-28,21,0,0.92740995,327.0,0.058751114,101468.0,0.0076815,163.625,287.485,2.3339972,"{""type"":""Point"",""coordinates"":[116.1156513786866,38.19048376885837]}"
