system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000037,28,28,30,46,55,192,46,1,3048,11,219,-77,37,-4,-40,50,-21,0,-10,-977,31,-12,-55,76,-76,12,4,11,495,-95,47,-20,-51,45,-26,-1,18.679794,235.58333,0.06333445,65773.336,0.0034553336,186.08333,270.43668,2.2073305,"{""type"":""Point"",""coordinates"":[101.96960811493699,37.31758798304002]}"
1_0000000000000000004a,35,35,37,45,48,202,39,1,1045,5,190,-56,11,0,-21,13,-7,0,-5,-141,3,-12,-34,11,-28,33,0,5,285,-60,15,-7,-18,6,3,-1,9.228245,294.25,0.05083445,89061.336,0.005635667,177.0,282.86667,2.128664,"{""type"":""Point"",""coordinates"":[109.69197741951774,37.147807710430065]}"
1_00000000000000000090,43,52,63,76,94,205,80,1,1368,8,114,-2,-9,3,-18,6,5,0,3,-2286,-59,-43,-10,37,9,16,10,7,-9,-9,-13,4,-17,6,7,0,4.6273675,288.25,0.027501117,85741.336,0.0051990002,198.91667,283.32333,2.5133307,"{""type"":""Point"",""coordinates"":[104.92919820702903,37.43994125684553]}"
1_0000000000000000009e,45,47,51,55,61,203,57,1,688,4,289,-15,-5,2,-9,11,3,-1,-4,460,-33,0,-31,-28,-33,16,-2,3,362,-17,-2,3,-10,5,3,-1,12.098643,309.83334,0.05416778,92672.0,0.006301667,166.25,285.00998,2.338664,"{""type"":""Point"",""coordinates"":[110.74031207718286,37.45557040603785]}"
1_000000000000000000e0,41,46,52,76,79,202,66,1,1787,11,-110,-61,29,-16,-17,-6,18,1,-8,-941,20,-32,-9,-8,12,-29,4,10,-85,-57,17,-16,-24,-6,15,0,2.5193825,281.75,0.027501117,81741.336,0.0051413337,193.75,281.97665,3.4673307,"{""type"":""Point"",""coordinates"":[102.79911238840425,37.69191613917364]}"
1_00000000000000000135,39,45,54,74,86,206,74,1,1184,12,181,-49,-2,23,-53,37,-2,0,0,-1089,51,-45,-35,63,-62,18,5,10,249,-44,-10,17,-50,21,9,0,4.38231,288.91666,0.045001116,87478.664,0.005113667,175.16667,282.07333,2.3033307,"{""type"":""Point"",""coordinates"":[109.06109042517305,37.83124521068961]}"
1_00000000000000000136,41,49,59,69,83,207,79,1,1108,7,501,-23,7,1,-15,16,-7,-2,1,-177,29,-93,-12,41,-54,-7,0,6,614,-19,-2,4,-13,7,-4,-2,13.198785,291.08334,0.045834452,88196.664,0.005196334,175.0,282.52332,2.3086638,"{""type"":""Point"",""coordinates"":[109.2761484098797,37.96734143394183]}"
1_00000000000000000182,43,57,73,87,107,206,102,1,1075,7,-200,-8,14,-9,-18,16,1,1,4,-558,-26,-32,-59,9,-39,-16,2,6,-561,-7,21,-23,-23,19,10,2,2.5352461,296.25,0.05333445,89675.336,0.005498334,174.0,283.34665,2.0819972,"{""type"":""Point"",""coordinates"":[109.73671112128591,38.22524692067104]}"
1_000000000000000001c0,29,32,34,60,58,200,47,1,2425,13,394,-58,3,-4,-33,-4,32,-1,-14,2722,-16,-19,-19,48,-89,-7,-13,12,717,-75,3,-8,-35,-11,31,-2,3.0063624,262.08334,0.044167783,75118.0,0.004089667,188.66667,277.71,1.9259973,"{""type"":""Point"",""coordinates"":[100.57093080570473,38.47264230621727]}"
1_000000000000000001c4,43,49,55,71,74,203,68,1,1730,6,253,-24,13,-5,-4,-21,11,0,-9,647,39,-26,-68,23,-39,35,-3,5,208,-24,8,-11,-4,-24,14,0,0.92740995,269.83334,0.024167784,81184.664,0.004398334,198.75,280.24332,2.8353307,"{""type"":""Point"",""coordinates"":[102.13022939398316,38.33250613741062]}"
