system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_000000000000000000cf,47,203,200,45,41,44,65,62,49,42,0,1,5,16,2769,-93,47,-11,-59,38,-11,-9,-11,463,-21,-78,-8,44,16,23,-1,10,1783,-64,11,-5,-35,25,10,-5,0.0,305.0,0.056667782,101426.664,0.006511334,163.91667,283.59,3.592664,"{""type"":""Point"",""coordinates"":[122.11406087038831,41.12743500490207]}"
1_000000000000000000d1,40,202,201,37,34,37,66,72,59,33,1,1,7,26,10,-137,34,-4,-105,73,-32,0,-9,-613,14,-88,-14,81,9,33,1,16,-552,-92,-11,2,-61,46,12,2,1.8543341,305.25,0.060001116,101451.336,0.0065100007,162.58333,283.47665,3.6733308,"{""type"":""Point"",""coordinates"":[122.50563682939666,41.08512259500592]}"
1_000000000000000000d2,48,204,202,46,39,40,69,76,71,35,0,1,13,25,-486,-133,27,-8,-54,34,8,2,-10,-2762,-59,-126,-40,80,1,34,9,14,-743,-88,-7,-9,-17,15,15,3,0.92740995,304.41666,0.06583445,101372.664,0.006524667,162.66667,283.28333,3.3646638,"{""type"":""Point"",""coordinates"":[122.78510206971926,41.09266739398835]}"
1_000000000000000000d3,42,191,191,37,30,29,31,25,23,34,0,1,53,5,959,-65,27,-2,-30,1,-9,-3,-19,-2654,-54,-81,-30,51,13,43,8,3,382,-47,7,1,-11,1,-4,-1,2.6290615,302.0,0.07166778,100772.664,0.0063936673,163.0,282.91666,2.9513307,"{""type"":""Point"",""coordinates"":[122.98722420226987,41.11018720202734]}"
1_000000000000000000d4,41,202,200,37,32,31,39,31,26,32,0,1,61,12,716,-80,43,4,-28,2,6,-2,-20,-2146,-46,-98,-37,62,-4,24,6,7,-79,-62,10,2,-15,1,8,0,3.9027593,302.0,0.07166778,100772.664,0.0063936673,163.0,282.91666,2.9513307,"{""type"":""Point"",""coordinates"":[123.06645350978746,41.10102374936251]}"
1_000000000000000000d5,39,203,201,34,33,31,63,51,39,33,0,1,32,23,-350,-135,39,-13,-97,22,17,2,-22,-885,-46,-112,-34,95,-13,-7,2,13,-485,-136,-8,-3,-82,29,23,2,1.5426693,299.0,0.07416778,99868.664,0.006120334,162.58333,282.45667,2.6579971,"{""type"":""Point"",""coordinates"":[123.25563979018204,41.22633786626749]}"
1_000000000000000000d7,44,204,201,39,29,29,47,49,46,31,0,1,112,20,-1228,-98,37,-6,-39,6,0,4,-9,-203,-29,-70,-19,46,6,26,0,10,-783,-64,0,0,-13,-1,8,3,2.7802885,289.0,0.08083445,96185.336,0.0054803337,162.08333,280.75333,2.248664,"{""type"":""Point"",""coordinates"":[123.6234977906871,41.23038227092298]}"
1_000000000000000000d8,43,202,200,39,38,39,65,55,43,38,0,1,186,19,-337,-152,60,8,-66,22,-7,1,-18,487,-69,-99,-32,46,-17,-1,-2,12,-536,-127,21,13,-38,11,17,2,8.2347555,294.5,0.08083445,98117.336,0.005678334,161.91667,281.8633,2.1779974,"{""type"":""Point"",""coordinates"":[123.75366340953823,41.26002637472629]}"
1_000000000000000000e5,38,201,197,34,31,32,53,51,41,30,0,1,209,22,-788,-102,53,8,-47,20,-2,3,-17,2473,-106,-140,-13,-49,-174,-96,-9,13,415,-113,12,-15,-31,-4,6,0,0.92740995,291.16666,0.09000111,96388.0,0.0057823337,150.66667,279.76666,2.0099974,"{""type"":""Point"",""coordinates"":[126.17507567728781,41.15627201141471]}"
1_000000000000000000e8,55,204,200,53,28,23,89,120,101,26,1,1,284,66,10146,1590,59,-2693,2014,-1353,1550,-32,1,-265,50,-62,6,3,26,1,0,28,-3425,-87,-6,-4,-6,40,-8,13,1.543306,298.5,0.06166778,97573.336,0.0055280006,166.75,283.29333,3.1966639,"{""type"":""Point"",""coordinates"":[119.87968113722448,41.26865027616364]}"
