system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
2_00000000000000000bbd,35,194,191,28,24,18,89,42,20,25,0,0,149,57,935,-86,-5,28,-64,7,44,-1,-21,165,16,8,-20,13,-17,-18,-1,26,942,-46,0,38,-26,19,73,-1,1.8543341,388.5,0.17875111,98589.0,0.0131105,146.75,293.78,2.0799973,"{""type"":""Point"",""coordinates"":[109.87415399305627,23.97976124432854]}"
2_000000000000000002dd,29,183,183,23,16,11,32,21,11,14,0,0,1376,34,40,-324,8,29,-83,36,39,0,-25,-91,96,-59,-49,54,-22,-60,0,20,-93,-271,-40,16,-138,51,18,1,18.289108,309.25,0.09125112,89800.0,0.0067585004,160.375,283.305,2.2619972,"{""type"":""Point"",""coordinates"":[111.61859445707378,33.88126202002091]}"
2_000000000000000008c3,34,199,196,29,25,20,75,53,26,23,0,0,7,48,1785,-56,-2,28,-103,51,34,-4,-15,-2001,43,-10,-6,145,-13,4,6,30,801,-32,-13,31,-61,75,72,-1,2.7019296,414.375,0.19875112,100842.0,0.0166165,192.25,298.685,2.210997,"{""type"":""Point"",""coordinates"":[108.99371786735654,19.454950877759085]}"
2_000000000000000009bc,33,195,192,27,22,16,58,24,11,18,0,0,23,46,-60,-117,-8,-9,-61,-5,31,1,-26,-2046,64,-8,20,81,20,-5,5,27,-197,-124,7,-31,-75,-38,37,1,6.269945,406.0,0.23625112,101291.0,0.015284,148.125,296.445,3.3319974,"{""type"":""Point"",""coordinates"":[112.35538956053885,22.318326946420928]}"
2_000000000000000002c5,34,202,199,29,25,19,84,47,25,22,0,0,115,45,-1177,-143,19,-17,-73,23,-93,5,-24,619,57,8,-21,-4,-19,-14,-2,24,-1084,-85,14,-16,-96,-4,-97,4,3.4714172,347.125,0.08500111,99874.0,0.008423501,151.125,289.24,2.6599972,"{""type"":""Point"",""coordinates"":[113.10916937991651,33.831404811142335]}"
2_0000000000000000057d,32,196,193,26,21,16,54,31,15,19,0,0,316,44,-727,-153,48,-34,-68,10,17,3,-23,-934,49,23,-25,78,-21,7,2,24,-3300,-75,28,-59,-66,38,0,11,9.251069,373.875,0.17375112,98247.0,0.012103001,140.125,291.5,4.2469974,"{""type"":""Point"",""coordinates"":[113.09138202581431,26.172372577924737]}"
2_00000000000000000873,33,194,192,27,21,15,72,37,15,19,0,0,383,54,1165,-297,28,37,-19,-65,-37,-2,-23,447,102,-14,-21,0,18,-9,-2,26,2756,-201,0,33,-64,-50,-38,-7,23.334387,363.0,0.13000111,98702.0,0.0103075,134.5,289.94,1.9009973,"{""type"":""Point"",""coordinates"":[111.3092131077836,30.298334191667667]}"
2_000000000000000006ce,38,198,194,32,26,21,52,29,19,24,0,0,53,34,150,-106,40,-23,-46,-16,-21,0,-17,-1374,43,-4,-10,-4,31,22,3,17,588,-75,57,-60,-57,11,-51,-1,8.46735,371.625,0.16375111,100611.0,0.0113225,143.125,291.365,2.9529972,"{""type"":""Point"",""coordinates"":[112.95986975844504,28.129440816574757]}"
2_00000000000000000641,34,196,193,28,23,16,87,50,23,20,0,0,422,49,613,-159,64,31,-31,-70,-6,0,-20,-886,52,-19,18,13,36,37,2,19,1458,-131,70,28,5,-79,-23,-3,15.891634,362.75,0.14000112,95966.0,0.0110795,135.5,289.09998,1.5199972,"{""type"":""Point"",""coordinates"":[109.57905960354132,27.44115181436906]}"
2_000000000000000004d9,34,192,190,28,20,15,41,24,17,17,0,0,844,35,68,-132,36,-8,-40,0,22,0,-21,-192,58,-21,22,53,22,21,0,12,-295,-72,29,-87,-51,-35,17,1,16.742365,344.875,0.1862511,87171.0,0.009439001,135.125,286.28998,1.6879972,"{""type"":""Point"",""coordinates"":[108.70697537411469,25.35472505415858]}"
