system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000001412,60,50,44,46,38,199,199,31,48,1,285,16,-400,-148,-92,-137,-93,-85,-5,1,-6,-1047,69,27,21,30,92,47,3,10,-132,-70,-37,-64,-39,-23,-17,0,3.303277,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.62332171116685,28.766793507446934]}"
000000000000000015dd,43,36,32,36,28,191,191,22,38,1,312,33,1588,-118,-22,-90,48,-4,70,-5,-10,-612,-15,-15,-20,-13,16,12,1,18,1063,-70,-12,-48,-14,12,15,-3,3.852061,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.6459605672152,28.760055805755176]}"
000000000000000015e9,36,29,27,47,41,193,193,27,40,1,460,33,-4467,-161,-63,-30,-61,0,-1,17,-12,191,85,-28,-42,26,41,13,-1,18,-936,-52,-11,-16,-36,35,-23,4,6.3800683,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.56511260601518,28.765986410156263]}"
00000000000000001756,44,36,32,36,29,198,198,22,35,1,291,24,4210,-91,-70,-155,61,-50,-3,-15,-14,-2000,18,-3,-1,-2,18,12,7,15,1928,-59,-16,-84,4,-7,-5,-6,4.610601,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.6165840094751,28.756555411428224]}"
0000000000000000177f,43,33,29,33,30,190,190,23,34,1,331,23,2197,-73,-22,-129,23,3,13,-7,-9,-234,18,1,-17,-25,22,0,0,14,887,-51,-3,-55,-10,20,-8,-2,3.4913085,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.6343713635773,28.758169606009574]}"
000000000000000018e9,40,32,29,48,29,194,194,18,36,1,339,35,1214,-216,45,-91,-18,17,-18,-3,-15,-1116,-25,-70,-29,-3,-19,24,3,20,1084,-126,56,-35,-27,-9,-48,-3,11.623282,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.70632787727676,28.764100210410653]}"
00000000000000001924,39,31,27,32,28,194,194,22,31,1,282,26,4292,57,14,-88,-50,-160,-58,-15,-10,-626,4,5,1,-3,44,33,1,14,2542,9,11,-39,-35,-51,-26,-9,7.6696243,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.61954931167566,28.762481556728247]}"
0000000000000000198a,57,46,39,42,28,194,194,22,44,1,326,19,1213,-180,-52,-158,-94,-82,-10,-4,-13,439,51,4,-50,17,77,48,-1,11,674,-102,-23,-76,-47,-30,-22,-2,2.1149778,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.63167806654103,28.756555411428224]}"
000000000000000019cf,41,35,31,42,36,198,198,28,38,1,327,16,850,-76,-45,-72,-30,-47,21,-2,-8,301,81,-13,23,27,5,28,-1,9,521,-38,-21,-35,-18,-15,-6,-1,1.8543341,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.6084996592652,28.795362967896374]}"
00000000000000001a62,45,36,33,36,29,193,193,22,37,1,331,27,3260,-89,-57,-165,3,-36,17,-11,-15,-878,10,-24,-28,-21,9,1,2,16,1280,-56,-12,-73,-6,-3,1,-4,1.406676,378.66666,0.11833445,97471.336,0.010495334,125.166664,291.78333,1.0099971,"{""type"":""Point"",""coordinates"":[104.64461391869708,28.75628340626396]}"
0000000000000000112a,33,29,25,47,37,189,189,24,35,1,424,38,2144,-77,10,-54,-73,-21,21,-6,-11,613,21,-10,24,20,24,31,-2,19,733,-56,24,-5,-62,48,0,-1,6.3814487,379.0,0.11833445,97483.336,0.010713667,125.25,291.77667,1.0686638,"{""type"":""Point"",""coordinates"":[104.57157830254266,28.8586911210574]}"
000000000000000010e4,37,47,59,71,75,200,200,63,67,1,4124,11,302,-65,6,2,-54,12,23,0,0,265,60,24,-26,17,-37,22,-1,11,352,-41,8,-9,-54,7,20,0,4.8709245,249.5,0.035001118,61474.0,0.004241334,247.41667,277.49,2.8933306,"{""type"":""Point"",""coordinates"":[89.64723908182357,28.772991657911227]}"
0000000000000000144e,37,42,49,58,66,201,202,58,53,1,4022,8,-640,-30,-17,0,-7,31,-24,2,1,539,44,12,-20,8,-28,33,-1,9,-5,-23,3,-10,-18,20,-9,0,0.0,242.58333,0.035001118,59796.0,0.0037260004,249.41667,276.14667,2.4839973,"{""type"":""Point"",""coordinates"":[89.5874113229895,28.93226628843926]}"
00000000000000001a64,38,42,47,49,52,199,199,45,48,1,4270,4,-83,-12,-1,-5,2,1,-4,0,-5,91,22,21,-44,-32,1,11,0,5,156,-12,6,-5,-3,0,-4,0,4.216463,234.33333,0.035001118,57140.668,0.003765667,246.41667,273.69333,3.3479974,"{""type"":""Point"",""coordinates"":[89.67553653710874,28.56359673154246]}"
00000000000000000a05,45,38,34,48,38,202,202,28,41,1,532,23,-246,-14,23,16,37,33,-37,1,-12,-1432,-30,18,-11,19,-1,16,4,10,394,-47,21,-1,17,18,-34,-1,0.92740995,363.41666,0.16000111,94948.0,0.008756667,116.333336,289.04333,0.90599716,"{""type"":""Point"",""coordinates"":[103.33513646693794,30.343339898600103]}"
00000000000000001033,44,36,32,47,34,203,202,25,40,1,534,26,-279,-61,90,4,56,3,-18,1,-14,-1237,-9,35,0,38,12,-5,4,11,366,-77,53,-12,27,-3,-18,0,0.92740995,363.41666,0.16000111,94948.0,0.008756667,116.333336,289.04333,0.90599716,"{""type"":""Point"",""coordinates"":[103.3310965213835,30.344146995890775]}"
0000000000000000121e,46,39,36,52,43,202,202,36,42,1,533,20,15,-37,18,9,22,34,-47,0,-11,-582,-20,3,20,20,4,15,1,8,590,-60,16,-5,10,15,-33,-1,2.1428583,363.41666,0.16000111,94948.0,0.008756667,116.333336,289.04333,0.90599716,"{""type"":""Point"",""coordinates"":[103.33055697015604,30.350345146355068]}"
00000000000000001197,30,25,22,45,34,192,192,21,35,1,889,31,2485,-107,-57,46,50,-29,-41,-8,-12,-680,57,29,-34,16,18,3,2,13,886,-93,2,7,38,-56,9,-2,26.836157,358.66666,0.16000111,92938.664,0.008527667,116.083336,288.41,1.0386639,"{""type"":""Point"",""coordinates"":[103.55962545037261,30.892567375353032]}"
0000000000000000138a,48,40,35,50,38,200,200,27,43,1,622,29,3568,7,-37,33,24,38,-58,-12,-11,-420,35,-5,-4,-8,28,-4,1,12,2034,-20,2,-5,18,-6,-32,-7,1.8543341,358.66666,0.16000111,92938.664,0.008527667,116.083336,288.41,1.0386639,"{""type"":""Point"",""coordinates"":[103.55666460727312,30.81387761906287]}"
00000000000000001605,47,39,35,50,38,200,200,31,44,1,625,26,2511,1,-50,15,36,17,-61,-8,-9,-277,9,22,-6,-13,2,2,0,11,1160,-28,-10,-3,30,-15,-28,-3,2.9820132,358.66666,0.16000111,92938.664,0.008527667,116.083336,288.41,1.0386639,"{""type"":""Point"",""coordinates"":[103.55639260210886,30.816303370035946]}"
