system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_0000000000000000018b,30,27,24,47,37,199,25,1,18,13,404,-132,-3,19,-46,15,6,-1,-10,-200,68,0,-3,23,-12,-7,0,9,210,-139,4,8,-36,12,1,0,3.6955893,364.75,0.1700011,100990.0,0.010417667,148.58333,290.85333,1.8786639,"{""type"":""Point"",""coordinates"":[120.22894468633667,29.667447197323]}"
1_00000000000000000190,36,32,31,39,39,203,32,1,27,11,493,-67,-11,11,-37,15,-9,-1,-9,-131,42,-20,-20,-10,0,-26,0,9,344,-59,-22,0,-29,8,0,-1,2.1317246,364.75,0.16250111,101064.0,0.0105386665,147.0,290.72,1.9546639,"{""type"":""Point"",""coordinates"":[120.82075657815004,29.56719322833836]}"
1_00000000000000000195,36,30,27,31,23,196,21,1,15,3,-211,-49,1,-7,8,0,-19,1,-14,2133,54,20,-79,-14,-60,-41,-11,3,158,-42,-1,-7,4,-1,-8,0,3.1987698,365.58334,0.17333445,101408.0,0.010596001,147.33333,290.80334,2.116664,"{""type"":""Point"",""coordinates"":[121.4106778111167,29.66286324144005]}"
1_00000000000000000196,34,28,25,31,25,196,21,1,9,6,313,-53,1,-11,12,-10,-13,-1,-13,395,35,-20,-28,13,-3,-15,-2,5,1692,-39,16,-37,16,-41,-24,-8,2.3266718,365.58334,0.17333445,101408.0,0.010596001,147.33333,290.80334,2.116664,"{""type"":""Point"",""coordinates"":[121.48883247528045,29.685234551425182]}"
1_0000000000000000019d,39,35,34,42,39,202,33,1,31,6,83,-55,0,-6,-4,-1,10,0,-14,-266,39,-20,-50,2,-2,12,0,5,-199,-46,1,0,-2,-12,9,1,5.092457,373.75,0.21333446,101093.336,0.012168667,141.75,292.47665,3.3319974,"{""type"":""Point"",""coordinates"":[116.22749009220807,29.742364554121934]}"
1_000000000000000001ae,36,30,27,33,26,193,22,1,133,5,-508,-44,1,-4,-4,-6,0,2,-18,91,-5,21,-25,-24,-1,9,-1,5,-641,-43,1,-10,-11,3,-9,3,1.4141315,361.33334,0.20500112,99440.0,0.010144333,139.83333,289.85666,1.3099972,"{""type"":""Point"",""coordinates"":[118.30232764878062,29.710027153282343]}"
1_000000000000000001af,31,28,25,36,34,195,27,1,143,12,-318,-40,-16,12,-21,0,5,2,-11,-191,27,0,3,-22,15,-1,0,10,-471,-39,-9,17,-27,11,-17,3,2.1370656,363.66666,0.20500112,99651.336,0.010768,140.08333,290.19,1.6073306,"{""type"":""Point"",""coordinates"":[118.36080875909659,29.818900564603275]}"
1_000000000000000001ba,35,29,27,36,29,188,24,1,25,10,205,-80,14,1,-12,10,-22,0,-9,-923,8,-24,5,12,-2,15,4,7,-110,-83,7,5,-11,5,-4,1,0.92740995,340.16666,0.18416779,93710.0,0.008631334,149.25,286.96332,1.8666639,"{""type"":""Point"",""coordinates"":[119.6996583094948,29.79599416249173]}"
1_000000000000000001be,36,30,28,31,26,197,23,1,33,5,870,-52,-3,0,-8,3,-6,-4,-10,-384,14,0,7,22,-13,34,1,4,715,-59,-11,6,-6,6,-4,-3,2.9775963,354.66666,0.17083445,98028.664,0.009669,149.08333,289.28333,1.8873305,"{""type"":""Point"",""coordinates"":[120.15618107534655,29.691160696725213]}"
1_000000000000000001bf,32,29,28,36,35,200,31,1,14,6,999,-63,2,13,-28,0,-14,-4,-7,-303,12,13,3,37,-36,7,1,4,611,-65,-2,7,-23,3,-2,-2,1.4143456,365.5,0.17416778,101232.0,0.010538334,148.08333,290.90332,1.8619972,"{""type"":""Point"",""coordinates"":[120.25400929335811,29.736705954885107]}"
