system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_000000000000000001a4,30,27,25,59,37,195,20,1,2,-1010,-70,-22,19,-27,-14,-19,7,18,3,5,-227,133,-23,-15,55,-9,-20,0,-921,-45,-29,16,-24,-27,-2,7,2.4251602,336.16666,0.09333445,101336.0,0.008975667,170.75,287.92334,2.3539972,"{""type"":""Point"",""coordinates"":[119.30673570196826,34.183366116391866]}"
1_000000000000000001c1,30,25,22,38,32,194,23,1,361,910,-121,-21,23,-51,6,-22,-4,17,5,6,-520,53,8,-42,3,-5,11,2,846,-111,-43,-2,-60,-11,11,-4,2.4293532,327.83334,0.07166778,96992.0,0.007642667,159.5,286.53,2.6539974,"{""type"":""Point"",""coordinates"":[113.03532666647143,34.35368594022929]}"
1_000000000000000001c2,31,28,27,42,42,197,30,1,251,932,-75,-12,0,-39,1,-23,-5,13,9,3,-28,27,-2,-39,-5,-27,38,0,1040,-77,-22,-13,-50,5,-22,-5,1.1219777,333.08334,0.072501116,98745.336,0.007990333,159.5,287.32666,2.682664,"{""type"":""Point"",""coordinates"":[113.21723569394678,34.253975981573184]}"
1_000000000000000001ce,33,31,29,64,47,201,33,1,63,37,-143,-22,31,-24,20,0,1,18,6,8,-1041,79,5,-6,-3,7,37,6,-198,-134,-35,43,-25,14,7,2,1.4570253,336.0,0.07750112,100634.664,0.008743334,164.16667,287.76334,2.3933306,"{""type"":""Point"",""coordinates"":[114.62776975288014,34.40165694936227]}"
1_000000000000000001cf,34,32,32,61,50,201,37,1,58,21,-152,-17,24,-39,24,-1,1,19,8,9,-786,56,9,-21,-16,-7,8,4,-165,-142,-12,16,-18,-3,0,2,1.8543341,337.08334,0.07750112,100711.336,0.008855,162.5,287.82,2.2399971,"{""type"":""Point"",""coordinates"":[114.8080601266731,34.32431384159025]}"
1_000000000000000001d1,32,32,29,54,45,197,31,1,58,205,-159,-13,31,-32,9,-17,0,23,8,13,-317,84,6,-26,-8,-6,26,1,-46,-144,-30,34,-31,2,0,1,2.1676571,337.33334,0.07833445,100699.336,0.008875334,161.5,287.80334,2.2339973,"{""type"":""Point"",""coordinates"":[114.98161725787529,34.357458339720516]}"
1_000000000000000001d3,35,34,35,60,57,202,46,1,56,619,-123,-19,21,-22,6,-11,-2,19,13,10,-235,32,-12,-15,-12,-15,-4,1,297,-119,-25,27,-21,-6,4,0,1.8543341,338.08334,0.07750112,100710.664,0.008887334,157.83333,287.76334,2.2933304,"{""type"":""Point"",""coordinates"":[115.27213215060833,34.3032936392243]}"
1_000000000000000001d6,38,36,36,46,44,202,37,1,56,-76,-61,-18,19,-1,1,-8,1,9,10,0,-689,-2,4,10,14,-9,29,3,64,-59,-17,14,-2,-6,-2,0,1.1236978,338.91666,0.076667786,100795.336,0.008796,154.5,287.77667,2.454664,"{""type"":""Point"",""coordinates"":[115.61169269582825,34.38252294674193]}"
1_000000000000000001d7,32,32,31,58,51,199,34,1,49,-53,-156,-9,30,-29,4,27,1,21,8,10,-641,90,-7,8,41,-14,6,3,33,-147,-10,25,-31,-4,31,1,1.4560012,338.75,0.076667786,100792.664,0.008757667,155.25,287.80334,2.5019972,"{""type"":""Point"",""coordinates"":[115.71167911874967,34.302482082832576]}"
1_000000000000000001d8,34,33,34,55,52,200,40,1,47,-30,-87,-42,33,-19,12,0,1,16,10,5,-840,34,10,6,34,-18,17,4,105,-86,-37,30,-22,6,-1,0,0.92740995,338.66666,0.075834446,100815.336,0.008723667,156.58333,287.86334,2.5493307,"{""type"":""Point"",""coordinates"":[115.85478058975683,34.35638369636663]}"
1_000000000000000001d9,34,32,30,58,49,197,36,1,48,92,-100,-54,41,-12,2,31,0,15,6,3,-746,32,1,9,28,-9,24,4,39,-97,-35,28,3,-25,46,0,2.4286942,338.41666,0.07500111,100826.0,0.008684667,158.25,287.93,2.586664,"{""type"":""Point"",""coordinates"":[115.95017859769426,34.32700713862652]}"
1_000000000000000001db,35,33,33,54,47,197,35,1,49,68,-87,-39,30,-5,3,6,0,15,10,4,-1282,-6,18,8,61,-1,-2,7,-65,-86,-37,33,-8,-9,28,1,0.0,337.58334,0.07500111,100825.336,0.008552333,163.0,288.10666,2.612664,"{""type"":""Point"",""coordinates"":[116.21670798586084,34.3865673513974]}"
1_000000000000000001dc,31,28,27,54,44,197,28,1,45,153,-148,-11,26,-41,9,24,0,19,10,7,-910,43,-17,1,55,13,15,5,68,-143,-10,23,-19,-17,47,0,0.92740995,337.08334,0.07666778,100873.336,0.008508667,165.41667,288.15,2.506664,"{""type"":""Point"",""coordinates"":[116.42368162035758,34.394919247670515]}"
1_000000000000000001dd,36,35,37,57,57,200,43,1,47,434,-84,-20,20,-40,9,2,-1,13,12,3,-994,-13,-17,9,54,5,31,6,83,-85,-17,22,-21,0,24,0,1.4569161,337.08334,0.07666778,100873.336,0.008508667,165.41667,288.15,2.506664,"{""type"":""Point"",""coordinates"":[116.48270228190098,34.39114684817929]}"
1_000000000000000001de,40,42,45,59,62,201,55,1,45,287,-50,-23,17,-6,21,-20,-1,11,13,1,-991,-18,-14,9,40,-4,21,6,67,-50,-21,20,3,10,-3,0,0.0,336.58334,0.07833445,100838.0,0.008485667,166.33333,288.10333,2.4193306,"{""type"":""Point"",""coordinates"":[116.56920884233784,34.341022093237505]}"
1_000000000000000001df,32,31,29,58,48,199,34,1,40,-300,-135,-21,47,-19,35,-35,3,20,9,9,-564,49,8,-14,40,-12,7,3,-394,-123,-29,48,0,13,2,3,0.92740995,335.91666,0.08250111,100888.664,0.008481666,167.83333,288.04666,2.2493305,"{""type"":""Point"",""coordinates"":[116.76755857539723,34.38144384428699]}"
1_000000000000000001e0,30,27,26,58,44,198,30,1,44,230,-133,-3,36,-32,28,-46,0,22,6,11,-1075,68,-23,4,41,-28,-4,6,176,-123,-16,38,-11,1,-14,0,1.4572412,335.0,0.08583445,100854.0,0.008411334,168.16667,287.90665,2.1513307,"{""type"":""Point"",""coordinates"":[116.8874816391286,34.42240960566501]}"
1_000000000000000001e2,40,38,39,46,47,200,41,1,38,107,-55,-1,-1,-6,14,-23,0,6,12,-2,-885,13,-19,-12,19,-7,-1,5,34,-42,-9,3,4,7,-16,0,1.4565226,335.41666,0.09500112,100966.0,0.008542334,169.5,288.02,2.0933306,"{""type"":""Point"",""coordinates"":[117.10092097015286,34.353146389001836]}"
1_000000000000000001e6,34,28,25,46,34,188,22,1,32,-180,-141,-27,7,-64,31,-12,2,18,5,6,-1140,59,4,-45,38,30,-27,6,-600,-109,-43,1,-60,38,8,5,1.1239885,332.75,0.105001114,100698.664,0.008404001,172.41667,287.81665,2.2479973,"{""type"":""Point"",""coordinates"":[117.5668791938337,34.40408270033534]}"
1_000000000000000001ea,41,35,31,48,33,196,23,1,24,195,-91,-15,22,-22,22,-35,0,13,9,2,-1027,36,0,-64,16,7,-35,6,-151,-65,-13,7,-9,17,-24,1,1.4561901,333.58334,0.10750111,101095.336,0.0084976675,174.58333,288.10666,2.4939973,"{""type"":""Point"",""coordinates"":[118.01909000896683,34.32080898816224]}"
1_000000000000000001ee,30,27,24,52,43,197,30,1,24,-242,-109,-13,33,-50,51,-32,2,16,13,4,-405,67,-3,-42,52,-17,-25,2,-167,-82,-19,19,-39,32,-23,2,1.4567006,333.16666,0.105001114,101136.664,0.008541667,174.66667,287.98666,2.4779973,"{""type"":""Point"",""coordinates"":[118.54918794220046,34.37039419187656]}"
1_000000000000000001f0,28,25,22,55,37,195,22,1,15,65,-88,-7,8,-64,30,-52,0,16,8,4,-717,62,2,-37,56,-8,-21,3,-121,-66,-20,10,-57,30,-40,1,1.4569621,332.83334,0.10333445,101016.664,0.008612334,174.5,287.82333,2.3959973,"{""type"":""Point"",""coordinates"":[118.75561756636868,34.39545879889798]}"
1_00000000000000000212,30,26,23,37,29,194,22,1,265,574,-119,-7,8,-41,0,-16,-2,16,5,6,69,71,1,-55,32,-27,27,-1,484,-125,-20,-7,-64,5,-4,-2,2.24677,328.16666,0.07166778,97246.0,0.007680667,159.83333,286.57666,2.6353307,"{""type"":""Point"",""coordinates"":[113.11105557966211,34.39141885334355]}"
