system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000b4b,42,207,204,39,36,71,81,98,83,57,0,1,725,9,-22,7,42,4,-14,8,19,0,-16,146,-249,-148,-7,-66,-99,-62,-1,5,-195,-32,10,0,-18,1,5,0,1.5878158,284.08334,0.027501117,92224.0,0.0045730006,170.25,280.35333,1.8679972,"{""type"":""Point"",""coordinates"":[89.21685556634708,43.99566257551006]}"
1_00000000000000000b4c,46,205,202,44,33,33,81,78,70,34,0,1,815,38,-649,-175,43,0,-53,15,36,3,-21,226,-224,-169,-3,-40,-134,-40,-1,15,-323,-172,-2,3,-46,1,13,1,2.737278,282.66666,0.027501117,91848.664,0.004737667,169.16667,279.81665,2.0939972,"{""type"":""Point"",""coordinates"":[89.53647501165598,43.97329572462597]}"
1_00000000000000000b4d,35,202,200,32,32,33,82,62,41,41,0,1,915,29,-202,-136,69,3,-94,49,11,1,-32,703,-199,-189,14,-14,-138,-10,-3,15,-151,-186,19,-2,-84,31,13,1,1.5862143,279.08334,0.027501117,89874.0,0.004669334,169.41667,279.13998,2.2413306,"{""type"":""Point"",""coordinates"":[89.67661563956368,43.90457651829132]}"
1_00000000000000000b5c,45,206,202,44,46,51,79,82,69,51,0,1,637,20,170,-61,17,6,-20,-11,-4,0,-21,1227,-134,-145,-53,-41,-63,-27,-4,9,285,-73,-4,-3,-25,-2,9,0,1.8543341,302.91666,0.044167783,94458.664,0.0053860005,179.83333,285.07333,1.5493306,"{""type"":""Point"",""coordinates"":[80.7490672568639,44.084059794793575]}"
1_00000000000000000b69,40,207,204,36,32,33,41,42,39,32,0,1,542,11,-500,-26,24,17,-31,2,-9,2,-24,383,-214,-109,6,-77,-77,-10,-1,5,97,-59,8,4,-26,4,-1,0,2.2600772,298.08334,0.027501117,94862.664,0.005153667,173.41667,283.16666,1.9939972,"{""type"":""Point"",""coordinates"":[86.58955322565677,44.17433875472164]}"
1_00000000000000000b6a,41,206,202,38,36,37,57,46,37,33,0,1,531,17,-634,-68,28,8,-37,4,17,2,-24,1500,-116,-77,-11,-32,-61,-18,-6,9,431,-94,4,6,-40,1,20,-1,0.92740995,297.75,0.026667783,95273.336,0.0049920003,173.5,283.32,2.0419972,"{""type"":""Point"",""coordinates"":[86.8921968732552,44.184581309841406]}"
1_00000000000000000b6b,51,209,206,48,38,39,72,86,67,38,0,1,558,27,825,-134,25,-11,-49,22,-1,-1,-20,2088,-273,-139,-29,-121,-109,-35,-7,11,1210,-117,0,-8,-44,5,-5,-3,1.5894257,297.25,0.029167783,94739.336,0.0050853337,174.08333,283.29333,2.0286639,"{""type"":""Point"",""coordinates"":[87.11749295398054,44.086753091829856]}"
1_00000000000000000b6c,43,208,205,41,35,34,70,66,52,33,0,1,478,25,-761,-107,47,9,-58,16,13,3,-23,266,-189,-141,-5,-73,-96,-34,-1,11,-165,-128,7,3,-47,6,7,1,1.5903078,296.58334,0.02083445,96166.0,0.00461,173.25,283.47,2.1119971,"{""type"":""Point"",""coordinates"":[87.5885702256708,44.13634275464523]}"
1_00000000000000000b6f,41,209,205,39,40,45,65,69,60,43,0,1,683,14,-578,-32,24,0,-11,26,14,2,-19,16,-234,-150,-6,-83,-63,-36,0,7,-320,-73,0,-3,-28,10,-6,1,1.5894552,284.66666,0.026667783,92654.0,0.0041150004,172.08333,281.11334,1.9839972,"{""type"":""Point"",""coordinates"":[88.90289472027501,44.08837174551225]}"
1_00000000000000000b70,40,205,203,38,38,41,78,70,54,43,0,1,710,23,-600,-90,43,7,-34,8,6,2,-26,267,-232,-149,9,-71,-110,-40,-1,11,-1197,-137,2,6,-44,11,8,4,5.4704595,284.75,0.027501117,93142.0,0.004667667,169.08333,280.34332,2.210664,"{""type"":""Point"",""coordinates"":[89.55965341893179,44.07624299064688]}"
1_00000000000000000b7e,40,204,203,39,40,47,79,77,61,40,0,1,1048,22,-488,-69,30,16,-17,-6,13,2,-26,-282,-215,-135,-11,-44,-53,-8,0,10,-307,-103,-3,0,-28,4,7,1,4.8038373,283.0,0.047501117,88072.664,0.004637334,180.33333,281.28665,1.5239972,"{""type"":""Point"",""coordinates"":[80.54020742262155,44.29992487679089]}"
1_00000000000000000b88,42,204,201,39,37,39,61,48,38,36,0,1,744,17,-513,-63,20,16,-23,-7,21,2,-26,-284,-153,-86,0,-43,-68,-23,0,8,-226,-96,0,16,-31,2,14,1,1.8543341,286.5,0.027501116,94096.0,0.0041823336,168.66667,280.00998,2.342664,"{""type"":""Point"",""coordinates"":[84.89550952174531,44.33091562911235]}"
1_00000000000000000b8a,40,207,203,36,32,31,47,39,30,28,0,1,528,17,-687,-61,41,1,-2,31,33,3,-31,-1610,-181,-86,38,-68,-74,-9,4,7,142,-99,17,9,-23,5,21,0,1.5936921,294.33334,0.025001116,95887.336,0.004499667,169.83333,281.97665,2.1339972,"{""type"":""Point"",""coordinates"":[85.62260608041915,44.325796581102985]}"
1_00000000000000000b8b,43,208,204,40,37,40,61,58,49,38,0,1,429,19,-338,-48,33,-7,-37,-2,6,1,-25,1222,-205,-89,17,-74,-84,-27,-5,9,179,-88,1,-2,-38,-4,9,0,0.92740995,297.75,0.024167784,96650.0,0.0046583335,171.25,282.92667,2.1159973,"{""type"":""Point"",""coordinates"":[86.01714734162803,44.32876188330353]}"
1_00000000000000000b90,41,211,208,38,38,46,75,73,58,46,0,1,499,19,-627,-35,50,9,-34,17,7,2,-23,1295,-211,-117,-26,-49,-116,-47,-5,9,-196,-95,2,-3,-40,6,-1,1,1.5950471,289.83334,0.025001116,95898.664,0.0039473334,170.91667,282.26334,2.4033306,"{""type"":""Point"",""coordinates"":[88.34557843421113,44.400985943066196]}"
1_00000000000000000bcb,45,207,203,42,42,46,71,71,58,47,0,1,319,19,-280,-46,54,12,-46,22,9,1,-25,143,-207,-122,-9,-91,-95,-22,-1,8,173,-99,12,0,-53,20,0,0,1.6009554,295.16666,0.026667783,97850.0,0.0041600005,167.08333,281.77,2.4259973,"{""type"":""Point"",""coordinates"":[84.6322129818425,44.72545689032123]}"
1_00000000000000000bcd,45,205,202,40,42,44,82,63,47,37,0,1,348,28,-104,-149,69,12,-120,80,-14,1,-29,-466,-163,-83,49,-48,-155,-59,0,12,373,-167,32,-9,-93,40,-9,0,0.92740995,296.41666,0.022501117,97488.664,0.0041713337,169.25,282.66998,2.1806638,"{""type"":""Point"",""coordinates"":[85.78807440231041,44.72033784231187]}"
1_00000000000000000be3,38,204,202,36,36,35,66,55,42,37,0,1,1347,23,-401,-83,44,14,-31,-5,38,2,-31,-175,-201,-143,23,-49,-71,-49,0,11,-655,-127,-1,15,-48,0,32,2,3.0729241,270.25,0.03083445,85055.336,0.004407667,178.75,278.27,1.5266639,"{""type"":""Point"",""coordinates"":[81.03607729616894,44.97285227586746]}"
1_00000000000000000be6,38,204,202,35,36,37,78,62,46,38,0,1,462,26,260,-86,66,5,-51,15,-6,0,-24,-408,-149,-129,-28,-73,-86,-37,0,13,711,-155,12,1,-65,18,5,-1,2.7762434,298.75,0.01833445,96517.336,0.005166,171.58333,282.81665,2.3979974,"{""type"":""Point"",""coordinates"":[82.15636846753353,44.905747264114154]}"
