system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
0000000000000000114e,26,190,189,21,16,11,43,21,10,14,0,0,2082,35,-1706,-101,0,6,-10,21,11,6,-21,872,-15,18,6,5,-4,-7,-3,19,-4339,-6,6,-67,106,-5,39,15,14.523168,332.625,0.11000112,80705.0,0.009157,186.125,288.285,3.2919974,"{""type"":""Point"",""coordinates"":[103.35534957201321,25.440692063367962]}"
00000000000000001199,31,190,189,25,20,13,62,29,13,17,0,0,1302,42,84,-335,42,-4,-47,-25,45,1,-24,-1719,73,-40,-12,27,-12,-6,4,16,485,-281,31,0,-27,-7,-8,0,39.31638,331.0,0.11000112,84299.0,0.0077525005,140.5,285.45502,1.8729973,"{""type"":""Point"",""coordinates"":[104.17030379874308,32.07861245085172]}"
00000000000000000cd8,32,192,191,27,21,20,32,26,17,21,0,0,1218,21,657,-100,-33,-9,-85,36,11,-1,-16,-1346,-24,-76,-5,104,-31,25,3,18,1043,-26,-50,-22,-61,12,-15,-2,27.384548,353.375,0.11000112,87391.0,0.010125501,207.5,293.275,1.4539973,"{""type"":""Point"",""coordinates"":[101.86342800065235,26.68575780041007]}"
00000000000000000dc9,28,195,193,24,24,26,71,65,42,23,0,0,2003,39,2326,-15,38,-5,-97,90,24,-6,-12,-2905,44,-3,-1,89,-69,-21,9,30,661,66,44,-42,-1,-10,24,0,20.249208,336.25,0.11000112,80773.0,0.0094220005,180.5,288.46,2.1719973,"{""type"":""Point"",""coordinates"":[102.04425792567272,24.73569480951501]}"
00000000000000001376,31,196,192,25,19,13,78,37,16,17,0,0,808,50,96,-263,90,36,-42,0,-35,0,-21,608,87,19,35,-7,-27,47,-2,24,-307,-205,76,-6,6,66,-93,1,32.96598,376.375,0.11000112,95637.0,0.011872001,122.125,290.805,1.3799973,"{""type"":""Point"",""coordinates"":[106.8418002899741,28.789971914722752]}"
0000000000000000003d,30,175,175,27,19,10,4,1,1,16,0,0,4570,-9,-1086,-26,7,-18,-28,20,0,3,-58,666,-154,89,-65,-157,-4,17,-3,-5,-2237,28,17,-10,172,104,5,6,0.0,223.5,0.022501118,56846.0,0.0035455003,247.875,270.57,3.0119972,"{""type"":""Point"",""coordinates"":[81.29802718755361,30.678048941873858]}"
00000000000000000621,41,200,199,43,50,61,76,89,77,46,3,0,4585,9,-331,-24,-2,-4,-13,1,-1,1,-3,1533,-26,-7,-6,-77,-122,-18,-5,8,68,-19,-4,3,-30,-6,2,0,13.487551,223.5,0.022501118,56846.0,0.0035455003,247.875,270.57,3.0119972,"{""type"":""Point"",""coordinates"":[81.32928994503932,30.642206687606258]}"
00000000000000000273,45,180,180,46,43,42,41,43,37,39,3,0,4932,7,-62,-4,4,0,2,9,-4,0,-5,570,-20,30,-3,2,-6,-3,-2,5,113,0,2,0,-2,1,3,0,3.0027976,211.625,0.022501118,55636.0,0.0020365003,220.875,266.275,4.4299974,"{""type"":""Point"",""coordinates"":[83.86819506644613,35.28990987920867]}"
000000000000000005e4,29,195,195,30,35,41,55,61,49,36,4,0,5730,9,564,-7,13,9,-29,15,-10,-1,-27,3061,-127,-47,18,-111,-77,-5,-10,4,710,-22,0,1,-24,-2,-5,-2,5.121927,210.5,0.022501118,51294.0,0.0015010005,245.75,268.43,2.7889972,"{""type"":""Point"",""coordinates"":[80.42405675838138,32.786035455677755]}"
0000000000000000143f,24,185,184,19,14,9,42,20,9,12,0,0,2454,36,-781,-95,58,-50,-11,-17,23,3,-26,-293,34,-52,22,18,-19,-20,0,15,-36,2,79,-71,-9,-67,31,1,28.86835,305.0,0.2725011,73141.0,0.0067690006,138.5,280.46,1.3749971,"{""type"":""Point"",""coordinates"":[95.47532874968788,28.83389851920024]}"
