system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
00000000000000000bdb,28,25,19,54,36,196,19,0,541,117,-185,1,3,-51,-12,51,0,29,0,15,-189,19,-9,17,0,2,29,0,-1140,-131,-21,2,-60,-62,55,6,31.140583,364.33334,0.18000111,97742.664,0.012063334,146.25,290.97665,3.8313305,"{""type"":""Point"",""coordinates"":[118.44974107050652,30.101603112290693]}"
00000000000000000a5d,29,25,23,62,41,197,24,1,14,477,-84,-62,81,-30,33,-42,0,23,2,8,786,83,-7,-22,2,3,17,-4,446,-69,-66,69,-57,41,-22,0,0.0,344.58334,0.18000111,101236.0,0.008939667,155.83333,288.76,2.570664,"{""type"":""Point"",""coordinates"":[118.81544532520277,33.70690225062908]}"
00000000000000001c32,28,25,23,33,33,185,20,0,971,437,-121,-13,19,-79,56,0,-1,11,10,2,102,11,-37,-18,22,-67,-17,0,898,-121,-36,27,-78,41,20,-3,15.350337,289.83334,0.040001117,91802.664,0.004818334,166.5,282.11667,2.5326638,"{""type"":""Point"",""coordinates"":[115.24545334900556,40.66956113143109]}"
00000000000000001b3d,30,32,36,56,59,200,45,0,1098,276,-54,15,14,-51,31,2,0,13,12,2,-1174,61,-10,40,29,-76,13,4,-60,-46,-1,23,-50,20,19,0,8.581229,278.33334,0.040001117,88536.0,0.004603334,169.83333,280.05,2.7573307,"{""type"":""Point"",""coordinates"":[114.68301801493234,40.9503774793729]}"
00000000000000001ed7,34,38,39,57,56,202,42,0,1065,335,-48,19,9,-30,32,-5,0,10,11,0,-1262,38,3,44,8,-72,-8,5,98,-41,3,18,-33,19,2,0,9.151442,278.33334,0.040001117,88536.0,0.004603334,169.83333,280.05,2.7573307,"{""type"":""Point"",""coordinates"":[114.66495865566591,40.91183746896796]}"
000000000000000016c2,27,24,25,45,48,194,31,0,1217,237,-74,-8,20,-54,47,9,0,12,16,2,-214,53,-40,2,2,-78,-46,0,194,-77,-35,23,-71,34,30,0,22.291183,274.5,0.040001117,86685.336,0.0040306672,173.83333,279.67,1.7779973,"{""type"":""Point"",""coordinates"":[114.83581803073076,40.169918858392485]}"
0000000000000000171d,29,27,27,41,40,190,27,0,1300,-173,-75,2,13,-38,20,6,1,9,17,1,550,67,-9,32,57,-29,14,-2,118,-85,-16,19,-52,16,14,0,29.241966,274.5,0.040001117,86685.336,0.0040306672,173.83333,279.67,1.7779973,"{""type"":""Point"",""coordinates"":[114.8226146325115,40.16129495695511]}"
00000000000000000875,42,46,52,65,69,205,64,1,506,-633,-51,7,0,-37,37,-13,3,9,15,0,5,62,-8,20,9,-21,-9,0,-268,-41,-8,10,-36,24,2,1,1.8543341,300.83334,0.040001117,95473.336,0.005381667,169.41667,284.46664,2.4419973,"{""type"":""Point"",""coordinates"":[115.32926661240613,40.34616928663098]}"
00000000000000001914,28,26,25,44,22,194,14,0,491,335,-121,-21,71,-149,105,-36,0,14,0,5,-731,166,14,-18,38,-77,-45,2,1048,-117,-36,80,-148,89,-12,-3,1.5303181,300.83334,0.040001117,95473.336,0.005381667,169.41667,284.46664,2.4419973,"{""type"":""Point"",""coordinates"":[115.378312264893,40.38686304284472]}"
00000000000000001ae7,33,33,35,54,57,201,42,0,987,268,-50,8,20,-54,33,-6,0,11,13,1,-1178,69,-7,45,36,-70,0,5,111,-40,-2,27,-55,21,5,0,16.44912,287.75,0.040001117,91116.0,0.0047206674,166.83333,281.79,2.5019972,"{""type"":""Point"",""coordinates"":[114.73502896961975,40.87922806296412]}"
00000000000000001b0c,30,29,32,51,46,197,38,0,853,247,-118,3,60,-110,116,-41,0,12,6,1,37,69,-3,36,22,-144,18,0,-33,-85,-18,60,-94,82,-14,0,1.5367568,287.75,0.040001117,91116.0,0.0047206674,166.83333,281.79,2.5019972,"{""type"":""Point"",""coordinates"":[114.75227677249445,40.829370854085525]}"
00000000000000001567,33,33,34,52,55,201,43,0,1116,414,-65,0,18,-38,19,11,-1,10,14,0,-192,37,-21,11,20,-91,-22,0,322,-66,-13,20,-40,11,19,0,9.966116,274.83334,0.040001117,87134.0,0.004455667,179.66667,280.00665,1.9993306,"{""type"":""Point"",""coordinates"":[114.47873767747187,39.927102969628145]}"
00000000000000001919,37,39,42,64,67,202,53,0,848,443,-74,0,20,-84,56,-15,-1,12,16,3,375,82,-16,26,34,-52,-25,-1,926,-71,-11,30,-88,49,-6,-3,4.0942793,285.41666,0.040001117,89722.0,0.004259334,167.83333,281.57333,1.9439973,"{""type"":""Point"",""coordinates"":[114.95493845627252,40.4741811596733]}"
00000000000000001d39,46,50,55,72,81,202,68,0,895,389,-76,18,30,-58,61,-13,-1,12,17,1,-408,-2,-13,-8,32,-92,-27,1,545,-79,4,25,-57,45,-16,-1,11.243879,287.58334,0.040001117,91446.0,0.0046910006,176.25,282.47,1.7353306,"{""type"":""Point"",""coordinates"":[114.76709882439611,40.02789648984023]}"
00000000000000000282,41,33,31,41,32,194,24,1,40,1146,-159,12,79,-26,61,-53,-4,18,2,4,1142,134,-7,-20,68,24,9,-5,1444,-77,-7,59,-2,28,-22,-5,0.92740995,335.0,0.09250111,100936.0,0.008908333,161.08333,287.43665,1.4999973,"{""type"":""Point"",""coordinates"":[116.31049625831795,34.94333962713276]}"
000000000000000003b9,46,42,41,58,56,201,44,1,37,647,-118,21,47,14,9,-28,-2,15,5,2,1637,129,-10,-47,35,14,8,-7,1057,-62,4,30,21,2,-18,-4,2.1719193,335.0,0.09250111,100936.0,0.008908333,161.08333,287.43665,1.4999973,"{""type"":""Point"",""coordinates"":[116.37948301071583,34.96139898639921]}"
0000000000000000040f,48,44,44,59,59,202,48,1,40,684,-96,-5,60,-9,21,-15,-2,14,5,1,1234,104,0,-47,63,9,3,-5,891,-55,-5,36,8,5,-13,-3,0.0,335.0,0.09250111,100936.0,0.008908333,161.08333,287.43665,1.4999973,"{""type"":""Point"",""coordinates"":[116.38514606905369,34.9999345377031]}"
000000000000000004da,49,44,45,61,62,203,46,1,39,959,-98,8,63,4,5,-26,-3,16,4,3,1810,114,7,-56,49,8,-8,-8,1165,-60,-1,41,12,3,-19,-4,1.1319333,335.0,0.09250111,100936.0,0.008908333,161.08333,287.43665,1.4999973,"{""type"":""Point"",""coordinates"":[116.37598261638885,34.987270690711306]}"
0000000000000000051f,42,37,35,49,46,195,34,1,40,867,-144,18,76,-22,48,-59,-2,18,2,4,1340,138,13,-37,55,-1,-4,-6,1282,-58,-3,49,1,12,-26,-5,1.4626113,335.0,0.09250111,100936.0,0.008908333,161.08333,287.43665,1.4999973,"{""type"":""Point"",""coordinates"":[116.30213990294381,34.933369077177254]}"
