system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,Mean_EVI,Mean_NDBI,Mean_NDVI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000001,36,35,36,61,67,201,51,1,25,-112,-73,-28,24,-24,12,-13,2,15,13,5,29,30,-23,-29,-16,3,-11,0,-110,-76,-26,20,-31,18,-19,2,2.1623466,338.41666,0.112501115,101100.0,0.008646,163.83333,288.18,2.366664,"{""type"":""Point"",""coordinates"":[117.48737788115182,33.5740388756406]}"
1_00000000000000000002,34,35,37,63,66,201,48,1,23,89,-82,-29,36,-44,22,-5,0,16,15,6,183,44,-11,-47,-50,-11,-13,-1,-62,-85,-20,20,-38,20,-7,1,1.1121691,338.41666,0.11583445,101088.664,0.008643,163.83333,288.19333,2.406664,"{""type"":""Point"",""coordinates"":[117.54935938579472,33.504508112914216]}"
1_00000000000000000003,34,37,42,66,79,200,55,1,24,-216,-78,-17,37,-25,16,-20,2,16,16,6,306,6,10,-56,-49,7,-29,-2,-224,-83,-17,33,-39,22,-19,2,2.161902,338.66666,0.11750112,101124.664,0.008668334,163.91667,288.21667,2.4413307,"{""type"":""Point"",""coordinates"":[117.68761381395683,33.5069338638873]}"
1_00000000000000000004,51,55,58,65,62,201,54,1,21,-26,-36,-24,21,13,0,-9,0,8,13,-1,-35,44,-1,-35,-12,-10,-23,0,-84,-26,-22,15,11,6,-14,1,1.448626,338.83334,0.12416778,101152.0,0.008720334,163.58333,288.19666,2.4933307,"{""type"":""Point"",""coordinates"":[117.8511959361025,33.57215267589499]}"
1_00000000000000000008,35,34,35,58,55,200,40,1,16,101,-67,-23,27,-5,-1,6,0,14,8,4,-376,55,-37,-30,-12,-45,-7,2,118,-67,-22,23,-15,-5,12,0,3.813304,339.33334,0.13250111,101218.0,0.0088760005,161.08333,288.03,2.4953306,"{""type"":""Point"",""coordinates"":[118.34167475647625,33.536577967690604]}"
1_00000000000000000009,34,33,35,63,58,200,38,1,13,355,-86,-29,20,-23,-10,0,-1,19,6,8,-339,60,-34,-23,-21,-37,1,1,247,-83,-39,20,-31,-15,10,0,3.4594634,339.33334,0.13250111,101218.0,0.0088760005,161.08333,288.03,2.4953306,"{""type"":""Point"",""coordinates"":[118.38371516120814,33.51097826854277]}"
1_0000000000000000000c,30,30,29,61,47,199,31,1,14,460,-87,-36,7,-48,7,3,-2,16,6,3,-1112,56,-11,-16,7,-71,-5,7,282,-83,-34,17,-50,-12,23,0,1.4488847,339.58334,0.13250111,101174.0,0.008965667,158.75,287.83334,2.3913307,"{""type"":""Point"",""coordinates"":[118.79119227457306,33.59829638537135]}"
1_0000000000000000000d,31,30,28,59,44,199,30,1,20,592,-113,-24,36,-44,-9,40,-2,17,6,6,-1105,69,-60,-9,-1,-37,-5,7,664,-104,-35,30,-44,-25,45,-3,1.4478194,340.25,0.13416778,101184.0,0.009058667,157.5,287.82333,2.3793306,"{""type"":""Point"",""coordinates"":[118.8979119400852,33.490497617404294]}"
1_00000000000000000014,35,32,29,50,40,199,29,1,4,1053,-79,-51,15,7,28,-54,-6,19,6,7,-1115,27,-6,-51,-33,-38,22,7,1075,-71,-47,15,-8,12,-30,-6,2.161847,339.16666,0.14083445,101346.0,0.0091636665,160.5,287.57333,2.6479974,"{""type"":""Point"",""coordinates"":[119.7902092745871,33.498581967614186]}"
1_0000000000000000002d,34,31,31,57,49,199,36,1,134,534,-105,-33,16,-2,5,-19,-2,14,5,4,-223,23,22,-33,19,11,30,0,815,-108,-26,10,-15,4,-4,-4,2.162708,340.25,0.087501116,100133.336,0.0086,150.5,287.63666,2.1919973,"{""type"":""Point"",""coordinates"":[113.10916937991651,33.62847558130106]}"
1_00000000000000000031,32,27,24,49,32,195,22,1,73,117,-108,-34,35,10,-9,-20,0,14,3,4,20,58,25,-11,5,-29,15,-1,353,-116,-33,39,1,-12,-22,-1,0.92740995,339.83334,0.08666778,100542.664,0.008654334,151.25,287.52,2.2786639,"{""type"":""Point"",""coordinates"":[113.66190171009744,33.6311733374384]}"
1_00000000000000000032,33,31,33,59,52,200,38,1,74,148,-78,-23,22,8,-14,0,0,14,8,3,-117,34,32,10,0,-35,12,0,306,-83,-24,27,3,-20,-4,-1,0.0,339.83334,0.08666778,100542.664,0.008654334,151.25,287.52,2.2786639,"{""type"":""Point"",""coordinates"":[113.67295136250787,33.69881344131812]}"
