Region,Year,Sample_size,Accuracy
huabei,1990_1992,0.10,0.5
huabei,1990_1992,0.40,0.6153846153846154
huabei,1990_1992,0.70,0.625
huabei,1990_1992,1.00,0.7307692307692307
huabei,1990_1992,1.50,0.7596153846153846
huabei,1990_1992,10.00,0.7980769230769231
huabei,1990_1992,15.00,0.7788461538461539
huabei,1990_1992,2.00,0.7692307692307693
huabei,1990_1992,20.00,0.7692307692307693
huabei,1990_1992,25.00,0.7692307692307693
huabei,1990_1992,30.00,0.7980769230769231
huabei,1990_1992,35.00,0.8076923076923077
huabei,1990_1992,40.00,0.7980769230769231
huabei,1990_1992,45.00,0.7980769230769231
huabei,1990_1992,5.00,0.7692307692307693
huabei,1990_1992,50.00,0.7884615384615384
huabei,1990_1992,55.00,0.7884615384615384
huabei,1990_1992,60.00,0.7788461538461539
huabei,1990_1992,65.00,0.7884615384615384
huabei,1990_1992,70.00,0.7788461538461539
huabei,1990_1992,75.00,0.7884615384615384
huabei,1990_1992,80.00,0.7884615384615384
huabei,1990_1992,85.00,0.7884615384615384
huabei,1990_1992,90.00,0.7980769230769231
huabei,1990_1992,95.00,0.7980769230769231
huabei,1993_1995,0.10,0.5384615384615384
huabei,1993_1995,0.40,0.6826923076923077
huabei,1993_1995,0.70,0.75
huabei,1993_1995,1.00,0.7596153846153846
huabei,1993_1995,1.50,0.7403846153846154
huabei,1993_1995,10.00,0.8076923076923077
huabei,1993_1995,15.00,0.8076923076923077
huabei,1993_1995,2.00,0.7596153846153846
huabei,1993_1995,20.00,0.8076923076923077
huabei,1993_1995,25.00,0.7980769230769231
huabei,1993_1995,30.00,0.8173076923076923
huabei,1993_1995,35.00,0.8173076923076923
huabei,1993_1995,40.00,0.8076923076923077
huabei,1993_1995,45.00,0.7980769230769231
huabei,1993_1995,5.00,0.7884615384615384
huabei,1993_1995,50.00,0.8173076923076923
huabei,1993_1995,55.00,0.8076923076923077
huabei,1993_1995,60.00,0.8269230769230769
huabei,1993_1995,65.00,0.8173076923076923
huabei,1993_1995,70.00,0.8173076923076923
huabei,1993_1995,75.00,0.8173076923076923
huabei,1993_1995,80.00,0.8269230769230769
huabei,1993_1995,85.00,0.8365384615384616
huabei,1993_1995,90.00,0.8365384615384616
huabei,1993_1995,95.00,0.8269230769230769
huabei,1996_1998,0.10,0.5384615384615384
huabei,1996_1998,0.40,0.5576923076923077
huabei,1996_1998,0.70,0.75
huabei,1996_1998,1.00,0.7788461538461539
huabei,1996_1998,1.50,0.7980769230769231
huabei,1996_1998,10.00,0.7980769230769231
huabei,1996_1998,15.00,0.7884615384615384
huabei,1996_1998,2.00,0.7884615384615384
huabei,1996_1998,20.00,0.7884615384615384
huabei,1996_1998,25.00,0.7788461538461539
huabei,1996_1998,30.00,0.7980769230769231
huabei,1996_1998,35.00,0.7884615384615384
huabei,1996_1998,40.00,0.7884615384615384
huabei,1996_1998,45.00,0.7788461538461539
huabei,1996_1998,5.00,0.7884615384615384
huabei,1996_1998,50.00,0.7884615384615384
huabei,1996_1998,55.00,0.7884615384615384
huabei,1996_1998,60.00,0.7884615384615384
huabei,1996_1998,65.00,0.7884615384615384
huabei,1996_1998,70.00,0.7980769230769231
huabei,1996_1998,75.00,0.7980769230769231
huabei,1996_1998,80.00,0.8076923076923077
huabei,1996_1998,85.00,0.7980769230769231
huabei,1996_1998,90.00,0.8173076923076923
huabei,1996_1998,95.00,0.7980769230769231
huabei,1999_2001,0.10,0.5096153846153846
huabei,1999_2001,0.40,0.6730769230769231
huabei,1999_2001,0.70,0.6634615384615384
huabei,1999_2001,1.00,0.6923076923076923
huabei,1999_2001,1.50,0.7019230769230769
huabei,1999_2001,10.00,0.8269230769230769
huabei,1999_2001,15.00,0.8173076923076923
huabei,1999_2001,2.00,0.7019230769230769
huabei,1999_2001,20.00,0.8173076923076923
huabei,1999_2001,25.00,0.8076923076923077
huabei,1999_2001,30.00,0.8269230769230769
huabei,1999_2001,35.00,0.8076923076923077
huabei,1999_2001,40.00,0.8076923076923077
huabei,1999_2001,45.00,0.8269230769230769
huabei,1999_2001,5.00,0.7884615384615384
huabei,1999_2001,50.00,0.8269230769230769
huabei,1999_2001,55.00,0.8365384615384616
huabei,1999_2001,60.00,0.8269230769230769
huabei,1999_2001,65.00,0.8269230769230769
huabei,1999_2001,70.00,0.8365384615384616
huabei,1999_2001,75.00,0.8365384615384616
huabei,1999_2001,80.00,0.8461538461538461
huabei,1999_2001,85.00,0.8365384615384616
huabei,1999_2001,90.00,0.8461538461538461
huabei,1999_2001,95.00,0.8365384615384616
