Year,In_Bands,Tree,Accuracy
1990_1992,Spectrum,1,0.8283062645011601
1990_1992,Spectrum,2,0.8190255220417634
1990_1992,Spectrum,3,0.8625290023201856
1990_1992,Spectrum,4,0.8428074245939675
1990_1992,Spectrum,5,0.8700696055684455
1990_1992,Spectrum,6,0.8631090487238979
1990_1992,Spectrum,7,0.8776102088167054
1990_1992,Spectrum,8,0.867169373549884
1990_1992,Spectrum,9,0.8723897911832946
1990_1992,Spectrum,10,0.8660092807424594
1990_1992,Spectrum,11,0.8700696055684455
1990_1992,Spectrum,12,0.8642691415313225
1990_1992,Spectrum,13,0.8758700696055685
1990_1992,Spectrum,14,0.8799303944315545
1990_1992,Spectrum,15,0.8776102088167054
1990_1992,Spectrum,16,0.8747099767981439
1990_1992,Spectrum,17,0.8834106728538283
1990_1992,Spectrum,18,0.8723897911832946
1990_1992,Spectrum,19,0.8764501160092807
1990_1992,Spectrum,20,0.8776102088167054
1990_1992,Spectrum,21,0.8816705336426914
1990_1992,Spectrum,22,0.872969837587007
1990_1992,Spectrum,23,0.8758700696055685
1990_1992,Spectrum,24,0.877030162412993
1990_1992,Spectrum,25,0.8793503480278422
1990_1992,Spectrum,26,0.8793503480278422
1990_1992,Spectrum,27,0.8781902552204176
1990_1992,Spectrum,28,0.877030162412993
1990_1992,Spectrum,29,0.8723897911832946
1990_1992,Spectrum,30,0.87877030162413
1990_1992,Spectrum,31,0.8822505800464037
1990_1992,Spectrum,32,0.8781902552204176
1990_1992,Spectrum,33,0.8805104408352669
1990_1992,Spectrum,34,0.8752900232018561
1990_1992,Spectrum,35,0.87877030162413
1990_1992,Spectrum,36,0.8758700696055685
1990_1992,Spectrum,37,0.8764501160092807
1990_1992,Spectrum,38,0.8834106728538283
1990_1992,Spectrum,39,0.8839907192575406
1990_1992,Spectrum,40,0.8793503480278422
1990_1992,Spectrum,41,0.8805104408352669
1990_1992,Spectrum,42,0.8845707656612529
1990_1992,Spectrum,43,0.8810904872389791
1990_1992,Spectrum,44,0.8810904872389791
1990_1992,Spectrum,45,0.8805104408352669
1990_1992,Spectrum,46,0.8776102088167054
1990_1992,Spectrum,47,0.8816705336426914
1990_1992,Spectrum,48,0.87877030162413
1990_1992,Spectrum,49,0.8816705336426914
1990_1992,Spectrum,50,0.87877030162413
1990_1992,Spectrum,51,0.8816705336426914
1990_1992,Spectrum,52,0.8799303944315545
1990_1992,Spectrum,53,0.8851508120649652
1990_1992,Spectrum,54,0.8758700696055685
1990_1992,Spectrum,55,0.8857308584686775
1990_1992,Spectrum,56,0.8764501160092807
1990_1992,Spectrum,57,0.8834106728538283
1990_1992,Spectrum,58,0.8793503480278422
1990_1992,Spectrum,59,0.872969837587007
1990_1992,Spectrum,60,0.8810904872389791
1990_1992,Spectrum,61,0.8799303944315545
1990_1992,Spectrum,62,0.8799303944315545
1990_1992,Spectrum,63,0.8805104408352669
1990_1992,Spectrum,64,0.8816705336426914
1990_1992,Spectrum,65,0.8799303944315545
1990_1992,Spectrum,66,0.8776102088167054
1990_1992,Spectrum,67,0.87877030162413
1990_1992,Spectrum,68,0.8834106728538283
1990_1992,Spectrum,69,0.87877030162413
1990_1992,Spectrum,70,0.8781902552204176
1990_1992,Spectrum,71,0.8839907192575406
1990_1992,Spectrum,72,0.8799303944315545
1990_1992,Spectrum,73,0.8758700696055685
1990_1992,Spectrum,74,0.8834106728538283
1990_1992,Spectrum,75,0.8805104408352669
1990_1992,Spectrum,76,0.8863109048723898
1990_1992,Spectrum,77,0.8781902552204176
1990_1992,Spectrum,78,0.8816705336426914
1990_1992,Spectrum,79,0.882830626450116
1990_1992,Spectrum,80,0.8839907192575406
1990_1992,Spectrum,81,0.8822505800464037
1990_1992,Spectrum,82,0.8781902552204176
1990_1992,Spectrum,83,0.8874709976798144
1990_1992,Spectrum,84,0.8810904872389791
1990_1992,Spectrum,85,0.877030162412993
1990_1992,Spectrum,86,0.8810904872389791
1990_1992,Spectrum,87,0.8805104408352669
1990_1992,Spectrum,88,0.877030162412993
1990_1992,Spectrum,89,0.8805104408352669
1990_1992,Spectrum,90,0.8781902552204176
1990_1992,Spectrum,91,0.8822505800464037
1990_1992,Spectrum,92,0.8793503480278422
1990_1992,Spectrum,93,0.8834106728538283
1990_1992,Spectrum,94,0.8793503480278422
1990_1992,Spectrum,95,0.8776102088167054
1990_1992,Spectrum,96,0.8758700696055685
1990_1992,Spectrum,97,0.8839907192575406
1990_1992,Spectrum,98,0.8764501160092807
1990_1992,Spectrum,99,0.87877030162413
1990_1992,Spectrum,100,0.87877030162413
1990_1992,Spectrum,101,0.882830626450116
1990_1992,Spectrum,102,0.8781902552204176
1990_1992,Spectrum,103,0.8822505800464037
1990_1992,Spectrum,104,0.8805104408352669
1990_1992,Spectrum,105,0.8805104408352669
1990_1992,Spectrum,106,0.8839907192575406
1990_1992,Spectrum,107,0.87877030162413
1990_1992,Spectrum,108,0.8810904872389791
1990_1992,Spectrum,109,0.882830626450116
1990_1992,Spectrum,110,0.8793503480278422
1990_1992,Spectrum,111,0.8822505800464037
1990_1992,Spectrum,112,0.8793503480278422
1990_1992,Spectrum,113,0.8834106728538283
1990_1992,Spectrum,114,0.8868909512761021
1990_1992,Spectrum,115,0.8799303944315545
1990_1992,Spectrum,116,0.8781902552204176
1990_1992,Spectrum,117,0.8822505800464037
1990_1992,Spectrum,118,0.8816705336426914
1990_1992,Spectrum,119,0.8845707656612529
1990_1992,Spectrum,120,0.8810904872389791
1990_1992,Spectrum_Normalize,1,0.8723897911832946
1990_1992,Spectrum_Normalize,2,0.8422273781902552
1990_1992,Spectrum_Normalize,3,0.8863109048723898
1990_1992,Spectrum_Normalize,4,0.8747099767981439
1990_1992,Spectrum_Normalize,5,0.8868909512761021
1990_1992,Spectrum_Normalize,6,0.8816705336426914
1990_1992,Spectrum_Normalize,7,0.8996519721577726
1990_1992,Spectrum_Normalize,8,0.8938515081206496
1990_1992,Spectrum_Normalize,9,0.8961716937354989
1990_1992,Spectrum_Normalize,10,0.8897911832946636
1990_1992,Spectrum_Normalize,11,0.898491879350348
1990_1992,Spectrum_Normalize,12,0.8909512761020881
1990_1992,Spectrum_Normalize,13,0.9019721577726219
1990_1992,Spectrum_Normalize,14,0.8990719257540604
1990_1992,Spectrum_Normalize,15,0.9037122969837587
1990_1992,Spectrum_Normalize,16,0.892691415313225
1990_1992,Spectrum_Normalize,17,0.9060324825986079
1990_1992,Spectrum_Normalize,18,0.8996519721577726
1990_1992,Spectrum_Normalize,19,0.9037122969837587
1990_1992,Spectrum_Normalize,20,0.904292343387471
1990_1992,Spectrum_Normalize,21,0.9025522041763341
1990_1992,Spectrum_Normalize,22,0.9013921113689095
1990_1992,Spectrum_Normalize,23,0.8979118329466357
1990_1992,Spectrum_Normalize,24,0.9002320185614849
1990_1992,Spectrum_Normalize,25,0.9071925754060325
1990_1992,Spectrum_Normalize,26,0.8903712296983759
1990_1992,Spectrum_Normalize,27,0.9013921113689095
1990_1992,Spectrum_Normalize,28,0.8990719257540604
1990_1992,Spectrum_Normalize,29,0.904292343387471
1990_1992,Spectrum_Normalize,30,0.9008120649651972
1990_1992,Spectrum_Normalize,31,0.8996519721577726
1990_1992,Spectrum_Normalize,32,0.9031322505800464
1990_1992,Spectrum_Normalize,33,0.9048723897911833
1990_1992,Spectrum_Normalize,34,0.9031322505800464
1990_1992,Spectrum_Normalize,35,0.9008120649651972
1990_1992,Spectrum_Normalize,36,0.9037122969837587
1990_1992,Spectrum_Normalize,37,0.9031322505800464
1990_1992,Spectrum_Normalize,38,0.9025522041763341
1990_1992,Spectrum_Normalize,39,0.9008120649651972
1990_1992,Spectrum_Normalize,40,0.9083526682134571
1990_1992,Spectrum_Normalize,41,0.9031322505800464
1990_1992,Spectrum_Normalize,42,0.9025522041763341
1990_1992,Spectrum_Normalize,43,0.9066125290023201
1990_1992,Spectrum_Normalize,44,0.9066125290023201
1990_1992,Spectrum_Normalize,45,0.9025522041763341
1990_1992,Spectrum_Normalize,46,0.9060324825986079
1990_1992,Spectrum_Normalize,47,0.9066125290023201
1990_1992,Spectrum_Normalize,48,0.9013921113689095
1990_1992,Spectrum_Normalize,49,0.9019721577726219
1990_1992,Spectrum_Normalize,50,0.9025522041763341
1990_1992,Spectrum_Normalize,51,0.9019721577726219
1990_1992,Spectrum_Normalize,52,0.8996519721577726
1990_1992,Spectrum_Normalize,53,0.9037122969837587
1990_1992,Spectrum_Normalize,54,0.9048723897911833
1990_1992,Spectrum_Normalize,55,0.9060324825986079
1990_1992,Spectrum_Normalize,56,0.9060324825986079
1990_1992,Spectrum_Normalize,57,0.9060324825986079
1990_1992,Spectrum_Normalize,58,0.9037122969837587
1990_1992,Spectrum_Normalize,59,0.9060324825986079
1990_1992,Spectrum_Normalize,60,0.9031322505800464
1990_1992,Spectrum_Normalize,61,0.9048723897911833
1990_1992,Spectrum_Normalize,62,0.9025522041763341
1990_1992,Spectrum_Normalize,63,0.9037122969837587
1990_1992,Spectrum_Normalize,64,0.9008120649651972
1990_1992,Spectrum_Normalize,65,0.9066125290023201
1990_1992,Spectrum_Normalize,66,0.9060324825986079
1990_1992,Spectrum_Normalize,67,0.9025522041763341
1990_1992,Spectrum_Normalize,68,0.9008120649651972
1990_1992,Spectrum_Normalize,69,0.9060324825986079
1990_1992,Spectrum_Normalize,70,0.9060324825986079
1990_1992,Spectrum_Normalize,71,0.9031322505800464
1990_1992,Spectrum_Normalize,72,0.8996519721577726
1990_1992,Spectrum_Normalize,73,0.9037122969837587
1990_1992,Spectrum_Normalize,74,0.9037122969837587
1990_1992,Spectrum_Normalize,75,0.9071925754060325
1990_1992,Spectrum_Normalize,76,0.9054524361948956
1990_1992,Spectrum_Normalize,77,0.9083526682134571
1990_1992,Spectrum_Normalize,78,0.9037122969837587
1990_1992,Spectrum_Normalize,79,0.9031322505800464
