NDVI,region,lon,lat
-14,huadong,117.82512072381637,38.23003123186452
-13,huadong,118.86263200266094,37.99238369105803
-13,huadong,118.25443624643407,38.03515699418407
-12,huadong,118.1543384817614,37.90527877999093
-12,huadong,118.80464557172473,37.23273242477416
-11,huadong,116.21191339936861,29.20647848081938
-11,huadong,120.32251918322586,31.95902959064361
-11,huadong,120.32251918322586,31.95902959064361
-11,huadong,118.59266011933362,33.49326621504476
-10,huadong,118.00961981035351,38.144422916397225
-10,huadong,118.70680422324179,33.092486679590905
-9,huadong,120.18591412863611,30.96969124133836
-9,huadong,117.5754702509475,31.454278747485283
-9,huadong,118.113618869293,38.09249495479115
-9,huadong,118.60424637452823,33.276291524792164
-9,huadong,118.22393927905892,38.07129530533572
-8,huadong,116.7915710667954,30.09587636920057
-8,huadong,119.44735583089656,36.45084005480894
-8,huadong,117.64834976210497,31.47310354943247
-7,huadong,116.13357282451705,29.909107671423307
-7,huadong,119.19106604462961,32.8125672509556
-7,huadong,118.9334913603872,37.63802662477454
-7,huadong,118.72876120117182,38.13989376718405
-7,huadong,120.23471689828587,30.985550387546358
-7,huadong,116.21799901265484,29.937572274406097
-7,huadong,119.26804123237481,32.746331071813984
-6,huadong,117.94034459863119,38.03464735895178
-6,huadong,118.79773725151078,37.9506984419602
-6,huadong,119.65441798291717,32.209153229520346
-6,huadong,120.13756446634055,31.203527437177133
-6,huadong,120.22860848796711,31.313799284506494
-6,huadong,121.52072477263845,31.39534594285918
-6,huadong,117.4162910157851,31.54115555938138
-6,huadong,116.878152667369,32.41145532651497
-5,huadong,118.92187541160531,37.55394077444021
-5,huadong,119.82515841739037,31.64525574981608
-5,huadong,117.45714423278037,31.475461066943588
-5,huadong,116.37099063923046,30.00589683270334
-4,huadong,116.12898549602806,29.956414797673077
-4,huadong,120.97316647689884,31.17809028256862
-4,huadong,120.63971577498357,30.963539053482307
-4,huadong,120.18024927335198,31.26259032463376
-4,huadong,118.90338729948833,31.485316663947295
-4,huadong,119.21431509001982,32.79362143208176
-4,huadong,116.49852366434476,30.17343618881518
-4,huadong,118.12605206548514,35.69612138644746
-4,huadong,118.8534358904162,38.09543129125354
-3,huadong,117.10177434536115,30.806963739636686
-3,huadong,117.1191657929616,30.37643365009082
-3,huadong,119.9840836331055,31.247956275170115
-3,huadong,119.17584428261915,35.85634753888085
-2,huadong,118.81417702868264,38.146813967216325
-2,huadong,119.45635925938612,32.63532715788389
-2,huadong,115.8718108721142,29.6884158465838
-2,huadong,120.38553152267043,31.243179667444092
-2,huadong,118.93370789762525,34.97135530654077
-2,huadong,117.56528816027989,31.518866676441146
-2,huadong,120.66049518487957,37.53772486177432
-2,huadong,116.21652861752342,35.93542344069622
-1,huadong,116.67858580466883,30.255398024570614
-1,huadong,118.88990807490731,31.512937904773775
-1,huadong,119.3591412476655,32.91786151138291
-1,huadong,119.79539581421704,34.44291351192587
0,huadong,120.13994124637497,31.390112546565202
0,huadong,120.73653429305433,31.984843177135023
0,huadong,118.55331818277054,33.6027857850909
0,huadong,117.42946035366717,31.51418167668693
0,huadong,120.18053737428332,23.704080754623217
0,huadong,116.19691717634099,29.656614249291597
0,huadong,120.80347901526433,31.39886196512604
0,huadong,118.57802867307147,33.56267204585933
0,huadong,116.63800280872326,30.27731966247134
0,huadong,120.07137355244964,31.442624227862606
0,huadong,117.52621544321232,31.477069815819306
0,huadong,116.3457277790323,28.596963913021646
0,huadong,116.30560048741255,28.49857114748867
0,huadong,118.82404901040287,34.763236744929124
0,huadong,118.641188429115,33.246130782433255
0,huadong,115.68053257717806,29.79764228315582
1,huadong,117.36859764952652,30.566652257805618
1,huadong,118.82520575679587,31.50057791259804
1,huadong,119.4611967688509,25.985084189426203
2,huadong,121.61767974782494,28.493299731509634
2,huadong,119.21607043464437,26.09405278358697
2,huadong,116.12095109830099,29.539686735624798
2,huadong,117.01473747576587,32.288746092151555
2,huadong,116.2884511837096,28.847510494504387
2,huadong,115.39206573413715,27.772803488890986
3,huadong,119.12376169622098,37.06911712369418
3,huadong,121.11566636458257,25.07139724132895
3,huadong,116.91065599512027,32.465320212453214
4,huadong,118.33684791446137,31.28657615705482
4,huadong,119.65000129455342,26.717173983408742
4,huadong,116.5454818132747,30.1984936487349
4,huadong,118.79074146078752,38.09128937432759
4,huadong,122.40256340004004,29.87603816783667
4,huadong,116.04841765351728,28.556247574517613
5,huadong,118.94872510117263,37.57505280348672
5,huadong,118.53535155140541,33.1059006172568
5,huadong,118.19362515756471,38.1246643061416
6,huadong,115.89996439670563,29.29262493199192
6,huadong,118.64068376147209,38.00729524518478
6,huadong,116.48479656344546,30.204254874986233
6,huadong,118.00252248351906,37.99994349554031
6,huadong,115.41087345442617,29.254230653440324
