NDVI,Freq,Select_num
-19,1,0
-19,7,0
-18,11,0
-18,18,0
-17,27,0
-16,52,0
-16,99,0
-15,172,0
-15,310,0
-14,452,1
-13,668,1
-13,826,1
-12,1180,2
-11,1355,2
-11,1503,2
-10,1626,2
-9,1713,2
-9,1932,3
-8,2082,3
-7,2351,3
-7,2597,4
-6,2651,4
-6,2971,4
-5,3058,4
-4,3132,4
-4,3247,5
-3,3155,4
-2,3099,4
-2,2877,4
-1,2897,4
0,2993,4
0,2743,4
0,2850,4
0,2616,4
1,2253,3
2,2120,3
2,1954,3
3,1835,3
4,1777,3
4,1815,3
5,1771,3
6,1907,3
6,1952,3
7,1977,3
8,2023,3
8,1991,3
9,1993,3
9,1948,3
10,2026,3
11,1976,3
11,2118,3
12,2170,3
13,2336,3
13,2472,3
14,2519,4
15,2671,4
15,2888,4
16,3234,5
16,3433,5
17,3794,5
18,4214,6
18,4735,7
19,5168,7
20,5785,8
20,6500,9
21,7294,10
22,8053,11
22,8989,13
23,9822,14
24,10585,15
24,11844,17
25,12367,18
25,13147,19
26,14285,20
27,15249,22
27,16261,23
28,17314,25
29,18524,26
29,19647,28
30,21208,30
31,22723,32
31,24527,35
32,26348,37
32,27791,39
33,30053,43
34,32157,46
34,34057,48
35,36059,51
36,37989,54
36,39965,57
37,41311,58
38,43291,61
38,45447,64
39,46836,66
40,48142,68
40,49706,70
41,50999,72
41,52181,74
42,53115,75
43,54015,76
43,54804,78
44,55087,78
45,55395,78
45,55421,78
46,55268,78
47,54645,77
47,54391,77
48,54051,77
48,53290,75
49,52663,75
50,51031,72
50,50440,71
51,48686,69
52,46855,66
52,45332,64
53,43835,62
54,41750,59
54,39674,56
55,37505,53
56,36125,51
56,34259,48
57,33025,47
57,31378,44
58,30401,43
59,28676,41
59,28345,40
60,27761,39
61,27845,39
61,27520,39
62,27763,39
63,28010,40
63,28676,41
64,29023,41
64,30153,43
65,30774,44
66,32088,45
66,33961,48
67,35138,50
68,37298,53
68,39402,56
69,41181,58
70,43830,62
70,45972,65
71,48886,69
71,52180,74
72,54499,77
73,57685,82
73,60022,85
74,62784,89
75,65049,92
75,66343,94
76,66615,94
77,65686,93
77,63357,90
78,58828,83
79,53605,76
79,47029,67
80,39212,56
80,30903,44
81,23171,33
82,16398,23
82,11420,16
83,8756,12
84,7481,11
84,6917,10
85,6576,9
86,6084,9
86,5670,8
87,5042,7
87,4329,6
88,3477,5
89,2534,4
89,1520,2
90,625,1
91,180,0
91,25,0
