year,type,path,region
1990_1992,Fourier,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/01_Fourier_img/Fourier_1990_1992,huadong
1993_1995,Fourier,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/01_Fourier_img/Fourier_1993_1995,huadong
1996_1998,Fourier,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/01_Fourier_img/Fourier_1996_1998,huadong
1999_2001,Fourier,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/01_Fourier_img/Fourier_1999_2001,huadong
2002_2004,Fourier,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/01_Fourier_img/Fourier_2002_2004,huadong
1990_1992,Landsat_cloud_free,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/02_Landsat_cloud_free_img/Landsat_cloud_free_1990_1992,huadong
1993_1995,Landsat_cloud_free,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/02_Landsat_cloud_free_img/Landsat_cloud_free_1993_1995,huadong
1996_1998,Landsat_cloud_free,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/02_Landsat_cloud_free_img/Landsat_cloud_free_1996_1998,huadong
1999_2001,Landsat_cloud_free,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/02_Landsat_cloud_free_img/Landsat_cloud_free_1999_2001,huadong
2002_2004,Landsat_cloud_free,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/02_Landsat_cloud_free_img/Landsat_cloud_free_2002_2004,huadong
1990_1992,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/03_Normalized_img/NDVI_NDBI_EVI_1990_1992,huadong
1993_1995,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/03_Normalized_img/NDVI_NDBI_EVI_1993_1995,huadong
1996_1998,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/03_Normalized_img/NDVI_NDBI_EVI_1996_1998,huadong
1999_2001,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/03_Normalized_img/NDVI_NDBI_EVI_1999_2001,huadong
2002_2004,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/Built_up_china/Built_up_mapping/01_Data_preparation/03_Normalized_img/NDVI_NDBI_EVI_2002_2004,huadong
