year,type,path,region
1990_1992,Fourier,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Fourier_1990_1992,zhongnan
1993_1995,Fourier,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Fourier_1993_1995,zhongnan
1996_1998,Fourier,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Fourier_1996_1998,zhongnan
1999_2001,Fourier,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Fourier_1999_2001,zhongnan
2002_2004,Fourier,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Fourier_2002_2004,zhongnan
1990_1992,Landsat_cloud_free,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Landsat_cloud_free_1990_1992,zhongnan
1993_1995,Landsat_cloud_free,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Landsat_cloud_free_1993_1995,zhongnan
1996_1998,Landsat_cloud_free,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Landsat_cloud_free_1996_1998,zhongnan
1999_2001,Landsat_cloud_free,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Landsat_cloud_free_1999_2001,zhongnan
2002_2004,Landsat_cloud_free,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/Landsat_cloud_free_2002_2004,zhongnan
1990_1992,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/NDVI_NDBI_EVI_1990_1992,zhongnan
1993_1995,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/NDVI_NDBI_EVI_1993_1995,zhongnan
1996_1998,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/NDVI_NDBI_EVI_1996_1998,zhongnan
1999_2001,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/NDVI_NDBI_EVI_1999_2001,zhongnan
2002_2004,NDVI_NDBI_EVI,projects/earthengine-legacy/assets/users/China_bulit/01_Data_preparation/NDVI_NDBI_EVI_2002_2004,zhongnan
