year,type,path,region
1990_1992,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_1990_1992,xibei
1993_1995,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_1993_1995,xibei
1996_1998,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_1996_1998,xibei
1999_2001,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_1999_2001,xibei
2002_2004,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_2002_2004,xibei
2005_2007,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_2005_2007,xibei
2008_2010,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_2008_2010,xibei
2011_2013,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_2011_2013,xibei
2014_2016,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_2014_2016,xibei
2017_2019,Landsat_cloud_free,projects/earthengine-legacy/assets/users/llewis45/01_Data_preparation/Landsat_cloud_free_2017_2019,xibei
